"Year","X15_ArrowtoothFlounderBiomass_predAK","X15_sablefishBiomass_predAK","X15_sablefishRecruitment_predAK","X15_PacificCodBiomass_predAK","X15_spinyDogfishGoA_predAK","X15_halibutBiomassAge8plus_2yrLead_predAK","X15_DFA_sleeperSharkBSAI_predAK","X15_spinyDogfishBSAI_predAK","X15_salmonSharkBSAI_predAK","X15_salmonSharkGoA_predAK","X15_sharkCatchGoA_predAK","X10_ssl_seak_pup_pred"
1998,0.227604033068666,-0.531358509577416,-0.48566167148153,1.12224973684601,-0.392655821872594,2.40456125458959,1.7142052680326,NA,NA,0.185369206026512,0.974731275881706,-1.9072737342462
1999,0.367666248391776,-0.459569671164835,-0.129196271167895,0.855407380753362,-0.724514837558185,2.02339694456286,3.34027037883426,NA,NA,0.344103389546775,0.053500715885523,-1.7924597322389
2000,0.564240303655323,-0.413394608006837,-0.264583098335614,0.566208901218634,-0.810309640453922,1.70025265367316,3.78289992146707,NA,NA,-0.0673272729337111,-0.333739740941125,-1.64244210704775
2001,0.746714569023261,-0.366652811876444,-0.228780947301,0.38773296809573,-0.849441633184148,1.39096859216461,2.86974562331623,NA,NA,-0.214828601265472,-0.687593624984874,-1.45163097614929
2002,0.904633119430891,-0.272602486643262,0.0140123329705588,0.330510086838971,-1.01087892245463,1.06251005749453,2.56706551629901,NA,NA,-0.179650602363781,-0.987816677541509,-1.24091363265963
2003,1.01765103219712,-0.243803708027966,-0.357980687717917,0.285122026349586,-0.946181558277731,0.751559994417971,2.92226134942368,0.233670241326412,2.21480793046243,-0.257871884409383,-0.930973584460728,-0.995953081912356
2004,1.08191343531046,-0.264787400702607,-0.538121172036162,0.192870859195249,-0.915242461415402,0.534874742169384,3.34002121441783,-0.0294595077616734,0.46411751080139,-0.22295765093204,-0.868328317477707,-0.728548478070436
2005,1.12241783430924,-0.316548147479787,-0.592488456752223,0.0517847058853171,-0.651794578424638,0.394066855678635,3.26380358818718,-0.0909816504893076,0.00672059119923607,-0.119495254154191,-0.494922039874949,-0.459263135527516
2006,1.10738266414002,-0.390863030343632,-0.651490591615627,-0.0443171459867014,-0.244029501665116,0.244398862898541,2.3505306991418,-0.310569444580414,-0.0905364630939317,-0.0957773186806412,-0.160038067994626,-0.18849526356512
2007,1.01422987142815,-0.468739009146566,-0.622048181422843,-0.0229273226059705,-0.291764497208383,0.0668058095699935,1.38090513427764,-0.311508454133521,-0.287392013150512,0.216420962327894,-0.241562754964844,0.0746674890671294
2008,0.857921322739836,-0.54140899132378,-0.588779963531288,0.164765278371512,-0.30986550948973,-0.0537317095095959,-0.23290466971022,0.501564541290842,-0.350255057226747,-0.288480408432879,-0.509272335465851,0.322196741150044
2009,0.637070909445278,-0.588235036041067,-0.480397337532676,0.485680322331629,0.0392633031216711,-0.150910449586491,-1.16287814223097,0.854664732143016,-0.274023394377767,-0.339847387761873,-0.210608727958757,0.541085358814614
2010,0.379617649309563,-0.609389226510004,-0.416639972528793,0.859570088647588,-0.412708828851985,-0.179681758002693,-1.39932656483453,0.653665636780737,-0.662117811965651,-0.0155474835546761,-0.63965950845431,0.708801778014577
2011,0.110002589547189,-0.646020308130547,-0.56187279861616,1.11701388756115,-0.46234358419613,-0.170868299800386,-1.6320967620314,0.442945947332451,-0.565982908829867,-0.303056955650542,-0.773011077460704,0.840796425230334
2012,-0.156058819904859,-0.694770252661201,-0.605084051681339,1.25690449729947,-0.236365910927889,-0.243524513130271,-1.39593738567131,1.05531487683688,-0.6824116404142,-0.151608583532291,-0.470526589020863,0.91835534441292
2013,-0.394813653782698,-0.757735043126913,-0.665525749822979,1.36309819870403,0.5277182712766,-0.349276570389173,-1.44085653064171,1.31423466482074,-0.65207602315524,0.0204846407365354,0.31804560663408,0.940716924199002
2014,-0.626692182073191,-0.7979066953383,-0.537496913565582,1.36104027822839,0.442230047381251,-0.458486991521045,-1.49444492820221,0.882322869275275,-0.421985358120328,1.00807836273975,0.319486804786772,0.931561101423707
2015,-0.863069314027613,-0.762148938495333,-0.207029854201954,0.698739065788498,0.388689750704424,-0.605149788038345,-1.5464911102244,0.0730454821457664,-0.419046348811907,1.89072824768572,0.348618256382825,0.893867967223518
2016,-1.0567516779823,-0.581379757536679,0.428220192531134,-0.15762610190511,0.838311378553797,-0.739681305905898,-1.41758729940414,-0.283043751217706,-0.232528515794921,0.702277359611455,0.708059827981765,0.834456385613384
2017,-1.21620195029152,-0.321429482319577,0.63476950276436,-0.896759054415413,1.1114128590956,-0.835923460622504,-1.27614274251346,-0.243882949182327,0.0522249938631935,-0.14165330450038,0.96087749942361,0.781309227663498
2018,-1.34062604005547,0.164349684430635,1.68373809719949,-1.24279410342722,1.71507116993172,-0.877977578017641,-1.13694766565148,-0.366613539705295,0.108280484630597,-0.464724058947723,1.61353881924068,0.717527729857672
2019,-1.44046669082246,0.728576003315256,1.81058626403338,-1.29629311800228,1.19720615061881,-0.960549262220035,-1.37640725315656,-0.773966113309578,0.535415407443541,-0.497253808194833,0.997596176109273,0.667587428450228
2020,-1.52425376166688,1.20900696405857,1.21820293513337,-1.21991289628098,0.745404237293569,-1.01235845048328,-1.38013535990387,-0.978839898610592,0.831906336493188,-0.391024680038498,0.510718521007286,0.626295273964238
2021,-1.59016259905133,1.67285272549618,1.25324428995287,-1.09645374092382,0.788314664527447,-1.02982770216904,-1.35838282013129,-1.18610868090935,0.977073057397359,-0.331313360554926,0.560179441537143,0.607754966332333
