Dataset:,pinkSalmonAsia_2025
Region:,Asia,
Source:, updated data from Ruggerone; 28may25 e-mail 
Contact:,
Year,Value
1952,142.2
1953,281.6
1954,120.9
1955,228.5
1956,198.1
1957,318.8
1958,131.1
1959,200.3
1960,82
1961,126.3
1962,60.3
1963,143.1
1964,57.3
1965,147.5
1966,71.8
1967,151.4
1968,65.8
1969,166.4
1970,62.4
1971,148
1972,73.1
1973,121.7
1974,91.6
1975,180.8
1976,118.2
1977,212
1978,113
1979,212.3
1980,127
1981,174
1982,113.9
1983,292.2
1984,163.8
1985,134.9
1986,99
1987,153.3
1988,93.2
1989,184.6
1990,138.1
1991,267
1992,150.9
1993,209.5
1994,279.8
1995,203.4
1996,222.5
1997,251.2
1998,262.5
1999,233
2000,237.7
2001,178.3
2002,202.4
2003,223.3
2004,171.3
2005,301.8
2006,222.2
2007,320.2
2008,201
2009,467.3
2010,246.7
2011,439.6
2012,315.6
2013,210.2
2014,193.1
2015,250.1
2016,335.2
2017,286.7
2018,614.3
2019,435.6
2020,202.3
2021,548.4
2022,179.9
2023,622.1
