"predator","region","stage","model_type","active_interactions","aic","bic","cfi","pvalue","sar_r2"
"x08_dfa_dc_corm_3_ws","NCC","x07_dfa_cpue_intsprjunhw","Full","int_1, int_2, int_3",141.179319242079,151.781803715211,0.353784812173989,0.00480180094305838,0.29511915235536
"x08_dfa_dc_corm_3_ws","NCC","x07_dfa_cpue_intsprjunhw","Pruned","None (Main Effect Only)",136.414670923576,143.482993905664,1,0.533533749907909,0.29511915235536
"x08_large_gulls_7_ws","NCC","x07_dfa_cpue_intsprjunhw","Full","int_1, int_2",139.637869663785,149.062300306569,0.464246871255521,0.014463409218363,0.29511915235536
"x08_large_gulls_7_ws","NCC","x07_dfa_cpue_intsprjunhw","Pruned","None (Main Effect Only)",136.837462305862,143.90578528795,1,0.339483223146952,0.29511915235536
"x09_dfa_hakeage5plus","NCC","x07_dfa_cpue_intsprjunhw","Full","int_1, int_2",127.984106887202,137.408537529985,0.661988629526755,0.00645780436306365,0.29511915235536
"x09_dfa_hakeage5plus","NCC","x07_dfa_cpue_intsprjunhw","Pruned","None (Main Effect Only)",126.923367893076,133.991690875163,0.723226497746413,0.00582982669277055,0.29511915235536
"x10_dfa_ssl.est.wholerange_2yrlead","NCC","x16_sar","Full","int_1, int_2, int_3",119.364637974252,130.275062507835,0.58464281271247,0.00219506642421141,0.514098736351918
"x10_dfa_ssl.est.wholerange_2yrlead","NCC","x16_sar","Pruned","int_2",115.688269178603,124.416608805469,0.717538303066312,0.0104699270520642,0.516747867293966
"x10_californian_s_l_2yrlead_ws","NCC","x16_sar","Full","int_1, int_2",121.157425268208,130.976807348433,0.624599691633351,0.00761114658793194,0.433381403494668
"x10_californian_s_l_2yrlead_ws","NCC","x16_sar","Pruned","None (Main Effect Only)",126.83281684175,135.079193654185,0.754012649040196,0.0184628517634383,0.362970709840142
"x10_harbour_s_2yrlead_ws","NCC","x16_sar","Full","int_1, int_2",110.06419720792,119.883579288145,0.770144152824015,0.0157304517687872,0.636909827853775
"x10_harbour_s_2yrlead_ws","NCC","x16_sar","Pruned","int_1",109.733714058372,118.462053685238,0.712331179383474,0.00309687895809985,0.606309382274787
"x10_northern_f_s_2yrlead_ws","NCC","x16_sar","Full","int_1, int_2",118.46963756205,128.289019642275,0.669694474869909,0.00926454978308566,0.492477621430749
"x10_northern_f_s_2yrlead_ws","NCC","x16_sar","Pruned","None (Main Effect Only)",126.115146454029,134.361523266465,0.832282239014089,0.0539093262388011,0.375577016254498
"x11_dfa_harbour_p_ws","NCC","x07_dfa_cpue_intsprjunhw","Full","int_1, int_2",133.226919583506,142.651350226289,0.63727228314644,0.0156690035935014,0.29511915235536
"x11_dfa_harbour_p_ws","NCC","x07_dfa_cpue_intsprjunhw","Pruned","int_2",133.286427241992,141.532804054428,0.599691578272174,0.00695682442428802,0.29511915235536
"x15_arrowtoothflounderbiomass_predak","AK","x16_sar","Full","int_1, int_2, int_3",123.325404164899,135.105942468379,0.802809039893953,0.049360890223526,0.557429211018463
"x15_arrowtoothflounderbiomass_predak","AK","x16_sar","Pruned","int_1, int_2, int_3",123.325404164899,135.105942468379,0.802809039893953,0.049360890223526,0.557429211018463
"x15_sablefishbiomass_predak","AK","x16_sar","Full","int_1, int_2, int_3",112.157218589828,123.937756893307,1,0.583863948685461,0.742282164322102
"x15_sablefishbiomass_predak","AK","x16_sar","Pruned","int_1",114.43243732851,123.856867971293,0.960327210563714,0.22974737019663,0.654133928512876
"x15_sablefishrecruitment_predak","AK","x16_sar","Full","int_1, int_2, int_3",123.885834672362,135.666372975842,0.819826681955159,0.0662033484661322,0.593279688410563
"x15_sablefishrecruitment_predak","AK","x16_sar","Pruned","int_2, int_3",123.57578930317,134.178273776301,0.767731718850345,0.0250376371604335,0.563234112405797
"x15_pacificcodbiomass_predak","AK","x16_sar","Full","int_1, int_2, int_3",124.865571744892,136.646110048372,0.717375693131012,0.0144860352753162,0.543507954023357
"x15_pacificcodbiomass_predak","AK","x16_sar","Pruned","int_1, int_2",122.989146623909,133.59163109704,0.706272907237624,0.00711038667451536,0.540804562943111
"x15_spinydogfishgoa_predak","AK","x16_sar","Full","int_1, int_2, int_3",125.425142210555,137.205680514034,0.706094514932287,0.0128865719575346,0.560874491154416
"x15_spinydogfishgoa_predak","AK","x16_sar","Pruned","int_1, int_2",123.433733181924,134.036217655056,0.711800845833796,0.00863972925275491,0.560292866386351
"x15_halibutbiomassage8plus_2yrlead_predak","AK","x16_sar","Full","int_1, int_2",121.000472666843,131.602957139974,0.783203392041094,0.0239404649076517,0.599922872038949
"x15_halibutbiomassage8plus_2yrlead_predak","AK","x16_sar","Pruned","int_1, int_2",121.000472666843,131.602957139974,0.783203392041094,0.0239404649076517,0.599922872038949
"x15_dfa_sleepersharks","AK","x16_sar","Full","int_1, int_2",109.393967267475,119.996451740606,0.971394386066587,0.27593966364727,0.759088255841521
