"pair_id","ncc_predator","ak_predator","active_ncc_terms","active_ak_terms","aic","bic","cfi","pvalue","cpue_r2","sar_r2"
1,"x08_dfa_dc_corm_3_ws","x10_dfa_ssl.est.wholerange_2yrlead","None","x10_dfa_ssl.est.wholerange_2yrlead, ak_int_1, ak_int_2",118.452332216351,127.180671843218,1,0.526513869851547,NA,0.585837801846992
2,"x08_dfa_dc_corm_3_ws","x10_californian_s_l_2yrlead_ws","None","x10_californian_s_l_2yrlead_ws, ak_int_1",120.392935998994,128.030233172502,0.943849331811938,0.23378293664461,NA,0.495006557944649
3,"x08_dfa_dc_corm_3_ws","x10_harbour_s_2yrlead_ws","x08_dfa_dc_corm_3_ws, ncc_int_1, ncc_int_3","x10_harbour_s_2yrlead_ws",130.41896698898,141.021451462111,0.628869464462868,0.00765855253041525,0.244050669014506,0.423306996893931
4,"x08_dfa_dc_corm_3_ws","x10_northern_f_s_2yrlead_ws","None","x10_northern_f_s_2yrlead_ws, ak_int_1, ak_int_2",121.431743436013,130.16008306288,1,0.501202891891965,NA,0.533922140242644
5,"x08_dfa_dc_corm_3_ws","x15_arrowtoothflounderbiomass_predak","x08_dfa_dc_corm_3_ws, ncc_int_1, ncc_int_3","ak_int_1, ak_int_2",122.065974672755,133.846512976234,1,0.639609807015183,0.244050669014506,0.644823099248023
6,"x08_dfa_dc_corm_3_ws","x15_sablefishbiomass_predak","x08_dfa_dc_corm_3_ws, ncc_int_1, ncc_int_3","x15_sablefishbiomass_predak, ak_int_2, ak_int_3",128.936255627469,141.894847761297,0.718448105975774,0.0304115327392431,0.244050669014506,0.597110283816762
7,"x08_dfa_dc_corm_3_ws","x15_sablefishrecruitment_predak","x08_dfa_dc_corm_3_ws, ncc_int_1, ncc_int_3","x15_sablefishrecruitment_predak, ak_int_2, ak_int_3",131.82440825848,144.783000392307,0.691948897287467,0.0328700159124978,0.244050669014462,0.564481227130731
8,"x08_dfa_dc_corm_3_ws","x15_pacificcodbiomass_predak","x08_dfa_dc_corm_3_ws, ncc_int_1, ncc_int_3","ak_int_2",132.657826054916,143.260310528048,0.697269908497994,0.0356223118431255,0.244050669014367,0.403672060154837
9,"x08_dfa_dc_corm_3_ws","x15_spinydogfishgoa_predak","x08_dfa_dc_corm_3_ws, ncc_int_1, ncc_int_3","x15_spinydogfishgoa_predak, ak_int_1, ak_int_2, ak_int_3",127.239423691116,141.376069655292,0.692593747684175,0.0162715869885681,0.244050669014529,0.635259111584395
10,"x08_dfa_dc_corm_3_ws","x15_halibutbiomassage8plus_2yrlead_predak","x08_dfa_dc_corm_3_ws, ncc_int_1, ncc_int_3","None",135.067059412945,144.491490055728,0.631876718443833,0.0236366834257046,0.244050669014506,0.295119152355355
11,"x08_dfa_dc_corm_3_ws","x15_dfa_sleepersharks","x08_dfa_dc_corm_3_ws, ncc_int_1, ncc_int_3","ak_int_1",129.218990807185,139.821475280317,0.701324508836571,0.0201779391186483,0.244050669014256,0.462919248278554
12,"x08_dfa_dc_corm_3_ws","x15_salmonsharkgoa_predak","x08_dfa_dc_corm_3_ws, ncc_int_1, ncc_int_3","None",135.067059412945,144.491490055728,0.631876718443833,0.0236366834257046,0.244050669014506,0.295119152355355
13,"x08_dfa_dc_corm_3_ws","x11_ssl_seak_pup_pred","x08_dfa_dc_corm_3_ws, ncc_int_1, ncc_int_3","x11_ssl_seak_pup_pred, ak_int_1, ak_int_2, ak_int_3",126.247222625607,140.383868589782,0.662003029358653,0.00753447645697791,0.244050669014506,0.647212260368206
14,"x08_large_gulls_7_ws","x10_dfa_ssl.est.wholerange_2yrlead","x08_large_gulls_7_ws, ncc_int_1","x10_dfa_ssl.est.wholerange_2yrlead, ak_int_1, ak_int_2",112.617322073689,123.527746607272,0.900762580847935,0.16375970670704,0.360485456077131,0.6361321029546
