Dataset:,pinkSalmonNorthAmerica
Region:,North America,
Source:,Ruggerone et al.
Contact:,
Year,Value
1952,55.7887957028656
1953,54.9269643251289
1954,58.9315300259892
1955,65.8738466709387
1956,62.6800838215852
1957,43.2186124447327
1958,55.9146137034831
1959,39.7097358392156
1960,43.0997161795133
1961,55.7886362797969
1962,102.58173480524
1963,81.149242572075
1964,88.8712609578823
1965,57.6174385044385
1966,89.3344734276963
1967,23.8549689729382
1968,106.280791388155
1969,54.348833641117
1970,69.8004710144061
1971,54.7810003267395
1972,53.1275212949766
1973,36.945181686266
1974,42.3778641421678
1975,47.4193038685149
1976,80.8344467127241
1977,67.1620778036906
1978,121.118895658123
1979,107.614867036638
1980,117.50812630652
1981,123.922978654808
1982,109.281502104831
1983,138.836373296058
1984,144.981062972601
1985,191.419129257236
1986,162.746992063038
1987,117.029836735963
1988,118.969624551898
1989,179.82605940562
1990,164.948662857
1991,219.011512979685
1992,126.349726567316
1993,189.128221157156
1994,173.90286344515
1995,231.469313096616
1996,201.716599143883
1997,150.779358782855
1998,181.110132319941
1999,268.029487512056
2000,144.111069163276
2001,223.526926842087
2002,180.478090611786
2003,242.980858289745
2004,189.981875582736
2005,292.694696005719
2006,121.84198961113
2007,228.535653945839
2008,127.126281393335
2009,189.868514831478
2010,160.518328045316
2011,214.176675088358
2012,119.973905110096
2013,367.588778063479
2014,162.748003495788
2015,299.350878985505
2016,97
2017,226
2018,87
2019,203
2020,110
