shark_col,shark_temp_col,Q10,overlap_form,overlap_slope,shark_transform,n,aic,bic,cfi,rmsea,b_hake_cpue,p_hake_cpue,b_cpue_sar,p_cpue_sar,b_shark_sar,p_shark_sar,model_group,sig_shark,sig_hake,sig_cpue
goa_pacific_sleeper_shark_2y_avg_backward,egoa_clim_1985_t2,2,linear,0.4,log1p_z,24,101.05283266613793,109.29920947857354,0.8834959243560483,0.2547620250481867,-0.37201497826753877,1.4367408689697214e-4,0.7292750150406587,7.891055525899304e-5,-0.3022423789045248,0.005365036907452048,long,TRUE,TRUE,TRUE
goa_pacific_sleeper_shark_2y_avg_backward,egoa_clim_1985_t2,2,logistic,0.6,log1p_z,24,101.14429771678101,109.39067452921662,0.876904412119401,0.26234283253930896,-0.37201497826753915,1.436740869356079e-4,0.7375141637775419,6.956538471780682e-5,-0.3182464189260352,0.0057363517718374,long,TRUE,TRUE,TRUE
goa_pacific_sleeper_shark_2y_avg_backward,egoa_clim_1985_t2,2,logistic,0.8,log1p_z,24,101.14446881567181,109.39084562810743,0.8819516341830145,0.2561710886308678,-0.37201497826753915,1.4367408696025485e-4,0.7306983802358683,7.928458175632258e-5,-0.30444376993955063,0.005737069023886487,long,TRUE,TRUE,TRUE
goa_pacific_sleeper_shark_2y_avg_backward,egoa_clim_1985_t2,2,linear,0.2,log1p_z,24,101.20142574004834,109.44780255248395,0.8709137696220036,0.2692456540002922,-0.3720149782675389,1.4367408688520378e-4,0.7447554227181729,6.200668849620783e-5,-0.33159808185055284,0.0059806957072015,long,TRUE,TRUE,TRUE
goa_pacific_sleeper_shark_2y_avg_backward,egoa_clim_1985_t2,2,linear,0.6,log1p_z,24,101.21643164182814,109.46280845426375,0.8910810780386487,0.24442776421542126,-0.37201497826753915,1.4367408690052486e-4,0.7170862578719028,1.0618242144144752e-4,-0.2693520670552317,0.006046521872796307,long,TRUE,TRUE,TRUE
goa_pacific_sleeper_shark_2y_avg_backward,egoa_clim_1985_t2,2,logistic,0.4,log1p_z,24,101.2209753371493,109.46735214958491,0.8706445026965225,0.2694557370943275,-0.37201497826753915,1.4367408685012073e-4,0.7449394166288363,6.224555260758713e-5,-0.3317158751850484,0.006066590900722257,long,TRUE,TRUE,TRUE
goa_pacific_sleeper_shark_2y_avg_backward,egoa_clim_1985_t2,2,logistic,0.2,log1p_z,24,101.39828114075598,109.6446579531916,0.8630974844741435,0.2773598601827393,-0.37201497826753893,1.4367408691340344e-4,0.7526231600966681,5.78589793120976e-5,-0.34342467380969927,0.006901852280653875,long,TRUE,TRUE,TRUE
goa_pacific_sleeper_shark_2y_avg_backward,egoa_clim_1985_t2,2,linear,0.8,log1p_z,24,101.509608100803,109.75598491323862,0.8953602838528159,0.23750691694607903,-0.37201497826753915,1.4367408686877248e-4,0.7077067900897139,1.4106903467236975e-4,-0.2384757369629888,0.0074818239116063445,long,TRUE,TRUE,TRUE
goa_pacific_sleeper_shark_2y_avg_backward,egoa_clim_1985_t2,2,constant,0,log1p_z,24,101.69056541775976,109.93694223019537,0.85435729105809,0.2857253755905492,-0.37201497826753904,1.436740868887565e-4,0.7600037113673972,5.693254073091403e-5,-0.35162738486640094,0.008526176959086973,long,TRUE,TRUE,TRUE
goa_pacific_sleeper_shark_2y_avg_backward,sst_egoa_coastwatch_junjulaug,2,constant,0,log1p_z,24,102.19397836108521,110.44035517352083,0.84909822158218,0.28852546597256545,-0.37201497826753915,1.436740868370201e-4,0.7575736718625651,7.196919240759492e-5,-0.3451632196218608,0.012226794762534077,long,TRUE,TRUE,TRUE
goa_pacific_sleeper_shark_2y_avg_backward,sst_wgoa_coastwatch_junjulaug,2,constant,0,log1p_z,24,102.21847234373885,110.46484915617447,0.8464736695803736,0.29131574445628006,-0.3720149782675391,1.4367408692272932e-4,0.7589027471295468,7.109384039671873e-5,-0.3459669144711211,0.012441811613538745,long,TRUE,TRUE,TRUE
goa_pacific_sleeper_shark_2y_avg_backward,akclim_goa_wgoa_win_sst,2,constant,0,log1p_z,24,102.23900364649833,110.48538045893395,0.8423603118946021,0.29577706056137026,-0.37201497826753915,1.4367408692628203e-4,0.766273020527204,6.372567672463525e-5,-0.3542171480083988,0.012624860899745682,long,TRUE,TRUE,TRUE
goa_pacific_sleeper_shark_2y_avg_backward,wgoa_clim_1985_t2,2,constant,0,log1p_z,24,102.27206627587881,110.51844308831443,0.8444557952263468,0.2932235987580786,-0.37201497826753915,1.4367408693916062e-4,0.7629298443484697,6.80498539258334e-5,-0.3510785135715897,0.01292513253076022,long,TRUE,TRUE,TRUE
goa_pacific_sleeper_shark_2y_avg_backward,akclim_goa_egoa_win_sst,2,constant,0,log1p_z,24,102.32705813794144,110.57343495037705,0.8428285036387984,0.2946755744713653,-0.37201497826753893,1.4367408692494976e-4,0.7644844009276078,6.78515083276654e-5,-0.3496612217088882,0.01343995951254584,long,TRUE,TRUE,TRUE
goa_pacific_sleeper_shark_2y_avg_backward,pdo_djf,2,constant,0,log1p_z,24,102.34696032381822,110.59333713625384,0.843559264142485,0.2937315076078653,-0.37201497826753915,1.436740868991926e-4,0.7614116597434405,7.176643155171192e-5,-0.3495918334149711,0.013631136948508038,long,TRUE,TRUE,TRUE
goa_pacific_sleeper_shark_2y_avg_backward,akclim_goa_egoa_spr_sst,2,constant,0,log1p_z,24,102.35777351702345,110.60415032945906,0.8474533241228184,0.28931550975656095,-0.3720149782675391,1.4367408686299932e-4,0.7583223645066386,7.56984073704281e-5,-0.3419673782406411,0.013736109835142507,long,TRUE,TRUE,TRUE
goa_pacific_sleeper_shark_2y_avg_backward,akclim_goa_wgoa_spr_sst,2,constant,0,log1p_z,24,102.36072083186741,110.60709764430302,0.8455099357719227,0.29146773043480184,-0.3720149782675389,1.4367408701887463e-4,0.7590850983233118,7.486545255352972e-5,-0.34378371191839735,0.013764857642063033,long,TRUE,TRUE,TRUE
goa_pacific_sleeper_shark_2y_avg_backward,enso_dj,2,constant,0,log1p_z,24,102.42994448709814,110.67632129953375,0.8435075091837055,0.2932427208169058,-0.37201497826753915,1.4367408688054084e-4,0.7604770510121722,7.520950221029388e-5,-0.34041487901694406,0.014457090760420899,long,TRUE,TRUE,TRUE
