pair_id,model_type,ncc_predator,ak_predator,aic,bic,cfi,global_p,cpue_r2,sar_r2,delta_aic_in_pair
1,Thermal Moderation (Pred*SST),x08_dfa_dc_corm_3_ws,x10_dfa_ssl.est.wholerange_2yrlead,123.86312116433169,134.4656056374632,0.9608913301182598,0.28909680661685155,0.3222574014481362,0.5431039725429887,0
1,Baseline DAG 1A (Main Effects),x08_dfa_dc_corm_3_ws,x10_dfa_ssl.est.wholerange_2yrlead,137.84343139325802,146.08980820569363,1,0.386542727591884,0.05537171802443264,0.31885204882790086,13.98
2,Thermal Moderation (Pred*SST),x08_dfa_dc_corm_3_ws,x10_californian_s_l_2yrlead_ws,123.41944046053811,134.02192493366962,0.8420035865333273,0.0761823345178072,0.32225740144653925,0.5470767271048302,0
2,Baseline DAG 1A (Main Effects),x08_dfa_dc_corm_3_ws,x10_californian_s_l_2yrlead_ws,136.3241198722502,144.57049668468582,1,0.4355127168095182,0.05537171802443264,0.34689104416328187,12.9
3,Thermal Moderation (Pred*SST),x08_dfa_dc_corm_3_ws,x10_harbour_s_2yrlead_ws,115.64113910720829,126.2436235803398,1,0.9389572456815022,0.3222574014478583,0.6730177114755738,0
3,Baseline DAG 1A (Main Effects),x08_dfa_dc_corm_3_ws,x10_harbour_s_2yrlead_ws,131.76657849960267,140.0129553120383,1,0.7174028107615944,0.05537171802443264,0.4360848974540016,16.13
4,Thermal Moderation (Pred*SST),x08_dfa_dc_corm_3_ws,x10_northern_f_s_2yrlead_ws,124.96014373646199,135.5626282095935,0.6126989220721084,0.0012106238644638,0.3222574014469025,0.51524163272794965,0
4,Baseline DAG 1A (Main Effects),x08_dfa_dc_corm_3_ws,x10_northern_f_s_2yrlead_ws,135.6064494845296,143.85282629696522,0.8935457336705034,0.2080456256349923,0.05537171802443264,0.325138744204412,10.65
5,Thermal Moderation (Pred*SST),x08_dfa_dc_corm_3_ws,x15_arrowtoothflounderbiomass_predak,122.74242676117609,133.3449112343076,0.7578222038342359,0.018837534870437378,0.3222574014469025,0.5630208464484124,0
5,AltPrey Moderation (Pred*Prey),x08_dfa_dc_corm_3_ws,x15_arrowtoothflounderbiomass_predak,126.96054250347538,137.5630269766069,0.6967188458812581,0.012298498578588779,0.10734299199539732,0.5376334777506253,4.22
5,Baseline DAG 1A (Main Effects),x08_dfa_dc_corm_3_ws,x15_arrowtoothflounderbiomass_predak,129.36418882275552,138.78861946553909,0.7839183396460034,0.05421721802947954,0.05537171802443264,0.49602439638854934,6.62
6,Thermal Moderation (Pred*SST),x08_dfa_dc_corm_3_ws,x15_sablefishbiomass_predak,124.41889368993293,135.02137816306444,0.97607570139103506,0.33575184906691513,0.3222574014469025,0.5384697185552326,0
6,Baseline DAG 1A (Main Effects),x08_dfa_dc_corm_3_ws,x15_sablefishbiomass_predak,138.03222243360165,147.4566530763852,0.7863944021825152,0.15692505914697896,0.05537171802443264,0.35309500251078896,13.61
6,AltPrey Moderation (Pred*Prey),x08_dfa_dc_corm_3_ws,x15_sablefishbiomass_predak,139.4256281546331,150.0281126277646,0.5743513151288155,0.04498301066121457,0.10734299199534414,0.36070913648661485,15.01
7,Thermal Moderation (Pred*SST),x08_dfa_dc_corm_3_ws,x15_sablefishrecruitment_predak,126.39945943850108,137.0019439116326,0.9865701909609618,0.3690822272110985,0.3222574014469025,0.4963477495201625,0
7,Baseline DAG 1A (Main Effects),x08_dfa_dc_corm_3_ws,x15_sablefishrecruitment_predak,138.39310440503073,147.8175350478143,0.7496726045910306,0.1328601384552528,0.05537171802443264,0.3125513659340964,11.99
7,AltPrey Moderation (Pred*Prey),x08_dfa_dc_corm_3_ws,x15_sablefishrecruitment_predak,139.46408838743145,150.06657286056296,0.6032317665632976,0.05932691642987464,0.10734299199539121,0.3214645021888185,13.06
8,Thermal Moderation (Pred*SST),x08_dfa_dc_corm_3_ws,x15_pacificcodbiomass_predak,125.24750553884667,135.84999001197818,0.9736907311224077,0.3317209201138518,0.3222574014469025,0.5140955401507966,0
8,Baseline DAG 1A (Main Effects),x08_dfa_dc_corm_3_ws,x15_pacificcodbiomass_predak,140.2912844477292,149.71571509051276,0.7026428847157578,0.13923328792218959,0.05537171802443264,0.27853734677196296,15.04
8,AltPrey Moderation (Pred*Prey),x08_dfa_dc_corm_3_ws,x15_pacificcodbiomass_predak,140.378089644233,150.9805741173645,0.3943784714062727,0.006020857932299339,0.10734299199539876,0.2918433597031135,15.13
9,Thermal Moderation (Pred*SST),x08_dfa_dc_corm_3_ws,x15_spinydogfishgoa_predak,123.34509808102302,133.94758255415454,0.9953215652943999,0.391054396300745,0.3222574014469025,0.5567274481528115,0
9,Baseline DAG 1A (Main Effects),x08_dfa_dc_corm_3_ws,x15_spinydogfishgoa_predak,133.59766695328653,143.0220975960701,1,0.44637412919393715,0.05537171802443264,0.49077865737021487,10.25
9,AltPrey Moderation (Pred*Prey),x08_dfa_dc_corm_3_ws,x15_spinydogfishgoa_predak,134.1674662099541,144.76995068308563,1,0.8239341946315428,0.10734299199539121,0.48420997427036816,10.82
10,Thermal Moderation (Pred*SST),x08_dfa_dc_corm_3_ws,x15_halibutbiomassage8plus_2yrlead_predak,122.93269891865236,133.53518339178387,0.8602437887156398,0.09385825433826944,0.322257401446852,0.556992195902396,0
10,Baseline DAG 1A (Main Effects),x08_dfa_dc_corm_3_ws,x15_halibutbiomassage8plus_2yrlead_predak,139.16377473352827,148.58820537631183,0.33887074703801356,8.226295250292059e-4,0.05537171802443264,0.2848203387759879,16.23
10,AltPrey Moderation (Pred*Prey),x08_dfa_dc_corm_3_ws,x15_halibutbiomassage8plus_2yrlead_predak,139.68426486783198,150.2867493409635,0.38929319713723154,0.003371365289123074,0.10734299199539121,0.2912585259989027,16.75
11,Thermal Moderation (Pred*SST),x08_dfa_dc_corm_3_ws,x15_dfa_sleepersharks,120.42626790409918,131.0287523772307,0.8650949329845091,0.08550096232942028,0.32225740147173876,0.6053309550754061,0
11,Baseline DAG 1A (Main Effects),x08_dfa_dc_corm_3_ws,x15_dfa_sleepersharks,132.0964442843499,141.52087492713346,0.4775295418693457,3.6306684259257427e-4,0.05537171802443264,0.42942121909052233,11.67
11,AltPrey Moderation (Pred*Prey),x08_dfa_dc_corm_3_ws,x15_dfa_sleepersharks,132.50640612211737,143.10889059524888,0.42590164374948014,8.869397921573707e-5,0.10734299199538355,0.42234002617251676,12.08
12,Thermal Moderation (Pred*SST),x08_dfa_dc_corm_3_ws,x15_salmonsharkgoa_predak,125.78397885665748,136.386463329789,0.9789292700904414,0.347265151315599,0.32225740144046844,0.5034045997954494,0
12,Baseline DAG 1A (Main Effects),x08_dfa_dc_corm_3_ws,x15_salmonsharkgoa_predak,139.36069845812207,148.78512910090564,0.7406524130958414,0.14560667418288054,0.05537171802443264,0.30858305038094413,13.58
12,AltPrey Moderation (Pred*Prey),x08_dfa_dc_corm_3_ws,x15_salmonsharkgoa_predak,139.94603421328236,150.54851868641387,0.5203061680460921,0.030599380026265388,0.10734299199539121,0.32394392103927017,14.16
13,Thermal Moderation (Pred*SST),x08_dfa_dc_corm_3_ws,x11_ssl_seak_pup_pred,123.93611253844188,134.5385970115734,0.7244095491996851,0.009080145685977703,0.3222574014469025,0.5395338235023506,0
13,AltPrey Moderation (Pred*Prey),x08_dfa_dc_corm_3_ws,x11_ssl_seak_pup_pred,135.09443191958763,145.69691639271915,0.6062647288976123,0.018535442771678956,0.10734299199539121,0.46815577553776044,11.16
13,Baseline DAG 1A (Main Effects),x08_dfa_dc_corm_3_ws,x11_ssl_seak_pup_pred,135.3861717777659,144.81060242054946,0.846254409361118,0.17473977645678462,0.055371718024432526,0.46117501618032963,11.45
14,Thermal Moderation (Pred*SST),x08_large_gulls_7_ws,x10_dfa_ssl.est.wholerange_2yrlead,119.66618427986731,130.26866875299882,0.9007734600785254,0.13429481264250653,0.43099159956893107,0.5550345308981297,0
14,Baseline DAG 1A (Main Effects),x08_large_gulls_7_ws,x10_dfa_ssl.est.wholerange_2yrlead,138.26622277554384,146.51259958797945,0.9895935277446202,0.35475521065096327,0.0385834158617816,0.33426981474302375,18.6
15,Thermal Moderation (Pred*SST),x08_large_gulls_7_ws,x10_californian_s_l_2yrlead_ws,119.22250357591804,129.82498804904955,0.977542935565669,0.32602245093463034,0.4309915995686102,0.5568152708485749,0
15,Baseline DAG 1A (Main Effects),x08_large_gulls_7_ws,x10_californian_s_l_2yrlead_ws,136.74691125453603,144.99328806697164,1,0.7171843771245161,0.0385834158617816,0.367663814708835,17.52
16,Thermal Moderation (Pred*SST),x08_large_gulls_7_ws,x10_harbour_s_2yrlead_ws,111.4442022227019,122.04668669583342,1,0.6382365975011255,0.4309915995688558,0.6772998703389794,0
16,Baseline DAG 1A (Main Effects),x08_large_gulls_7_ws,x10_harbour_s_2yrlead_ws,132.1893698818885,140.4357466943241,1,0.8078714484518136,0.0385834158617816,0.44251861850542784,20.75
17,Thermal Moderation (Pred*SST),x08_large_gulls_7_ws,x10_northern_f_s_2yrlead_ws,120.76320685207185,131.36569132520336,1,0.8432354875729178,0.4309915995686102,0.524460347419117,0
17,Baseline DAG 1A (Main Effects),x08_large_gulls_7_ws,x10_northern_f_s_2yrlead_ws,136.0292408668154,144.275617679251,1,0.6400249946149672,0.0385834158617816,0.3462420585971675,15.27
18,AltPrey Moderation (Pred*Prey),x08_large_gulls_7_ws,x15_arrowtoothflounderbiomass_predak,118.54187946442067,129.14436393755219,0.9854945944923039,0.35196313046811034,0.3714442100683082,0.610532062206675,0
18,Thermal Moderation (Pred*SST),x08_large_gulls_7_ws,x15_arrowtoothflounderbiomass_predak,118.54548987673115,129.14797434986266,1,0.8141429449829675,0.4309915995686504,0.5686966497216536,0
18,Baseline DAG 1A (Main Effects),x08_large_gulls_7_ws,x15_arrowtoothflounderbiomass_predak,129.7869802050414,139.21141084782496,0.8325790062904183,0.09808725818364827,0.0385834158617816,0.5046536192555442,11.25
19,Thermal Moderation (Pred*SST),x08_large_gulls_7_ws,x15_sablefishbiomass_predak,120.22195680547964,130.82444127861115,1,0.690834244883686,0.4309915995680451,0.5456809231737543,0
19,AltPrey Moderation (Pred*Prey),x08_large_gulls_7_ws,x15_sablefishbiomass_predak,131.006965115578,141.6094495887095,0.6824805479345551,0.02128174571965291,0.3714442100683082,0.35515909255895073,10.79
19,Baseline DAG 1A (Main Effects),x08_large_gulls_7_ws,x15_sablefishbiomass_predak,138.45501381588744,147.879444458671,0.6247287272305616,0.054128823648470714,0.0385834158617816,0.3313707881641458,18.23
20,Thermal Moderation (Pred*SST),x08_large_gulls_7_ws,x15_sablefishrecruitment_predak,122.2025225540259,132.80500702715742,1,0.6566641899254639,0.4309915995686102,0.5046903631438606,0
20,AltPrey Moderation (Pred*Prey),x08_large_gulls_7_ws,x15_sablefishrecruitment_predak,131.04542534837685,141.64790982150836,0.75577805892252925,0.05600927293879443,0.3714442100683082,0.339037019712803,8.84
20,Baseline DAG 1A (Main Effects),x08_large_gulls_7_ws,x15_sablefishrecruitment_predak,138.81589578731655,148.2403264301001,0.613541262604071,0.05417675656710741,0.0385834158617816,0.29702799977121896,16.61
21,Thermal Moderation (Pred*SST),x08_large_gulls_7_ws,x15_pacificcodbiomass_predak,121.0505686543745,131.653053127506,1,0.8662951817542467,0.4309915995686102,0.5224126593784122,0
21,AltPrey Moderation (Pred*Prey),x08_large_gulls_7_ws,x15_pacificcodbiomass_predak,131.95942660517812,142.56191107830963,0.750256622648902,0.059495222993082186,0.3714442100683033,0.31856273678548785,10.91
21,Baseline DAG 1A (Main Effects),x08_large_gulls_7_ws,x15_pacificcodbiomass_predak,140.71407583001496,150.13850647279853,0.6680665988740182,0.12641684582651014,0.0385834158617816,0.2794157107816636,19.66
22,Thermal Moderation (Pred*SST),x08_large_gulls_7_ws,x15_spinydogfishgoa_predak,119.14816119649396,129.75064566962547,1,0.47783551575333916,0.4309915995686321,0.5662160541344959,0
22,AltPrey Moderation (Pred*Prey),x08_large_gulls_7_ws,x15_spinydogfishgoa_predak,125.74880317089924,136.35128764403075,0.7599017590515833,0.02927559720119166,0.3714442100683082,0.527042872692393,6.6
22,Baseline DAG 1A (Main Effects),x08_large_gulls_7_ws,x15_spinydogfishgoa_predak,134.0204583355723,143.44488897835586,1,0.4645464332578617,0.0385834158617816,0.5189530769846038,14.87
23,Thermal Moderation (Pred*SST),x08_large_gulls_7_ws,x15_halibutbiomassage8plus_2yrlead_predak,118.73576203422022,129.33824650735173,1,0.9910574063458567,0.43099159956863,0.5653362406674566,0
23,AltPrey Moderation (Pred*Prey),x08_large_gulls_7_ws,x15_halibutbiomassage8plus_2yrlead_predak,131.26560182877728,141.8680863019088,0.7350537591680466,0.045144705899804904,0.3714442100683082,0.3426150136790882,12.53
23,Baseline DAG 1A (Main Effects),x08_large_gulls_7_ws,x15_halibutbiomassage8plus_2yrlead_predak,139.58656611581412,149.01099675859768,0.7456836077417024,0.1545736986765741,0.0385834158617816,0.3176870464242779,20.85
24,Thermal Moderation (Pred*SST),x08_large_gulls_7_ws,x15_dfa_sleepersharks,116.22933101967533,126.83181549280684,1,0.8505515492361678,0.4309915995686102,0.6131581250140286,0
24,AltPrey Moderation (Pred*Prey),x08_large_gulls_7_ws,x15_dfa_sleepersharks,124.08774308306255,134.69022755619406,0.8993816994342644,0.15964060258871693,0.3714442100683082,0.5216227152584373,7.86
24,Baseline DAG 1A (Main Effects),x08_large_gulls_7_ws,x15_dfa_sleepersharks,132.51923566663564,141.9436663094192,0.8807046310410104,0.18313437149447087,0.0385834158617816,0.48021116260194485,16.29
25,Thermal Moderation (Pred*SST),x08_large_gulls_7_ws,x15_salmonsharkgoa_predak,121.58704197212899,132.1895264452605,1,0.521436616510104,0.4309915995686102,0.5124513231032344,0
25,AltPrey Moderation (Pred*Prey),x08_large_gulls_7_ws,x15_salmonsharkgoa_predak,131.52737117422743,142.12985564735894,0.7227764466607871,0.040397430795961586,0.3714442100683085,0.3396351648491478,9.94
25,Baseline DAG 1A (Main Effects),x08_large_gulls_7_ws,x15_salmonsharkgoa_predak,139.78348984040787,149.20792048319143,0.6111234842603833,0.0697844588958283,0.0385834158617816,0.29746491691309684,18.2
26,Thermal Moderation (Pred*SST),x08_large_gulls_7_ws,x11_ssl_seak_pup_pred,119.73917565394044,130.34166012707195,0.962837344981711,0.28130213385797553,0.4309915995686102,0.55381025406457,0
26,AltPrey Moderation (Pred*Prey),x08_large_gulls_7_ws,x11_ssl_seak_pup_pred,126.67576888053276,137.27825335366427,0.759540489089406,0.03293730233757386,0.37144421006835815,0.4811462593214706,6.94
26,Baseline DAG 1A (Main Effects),x08_large_gulls_7_ws,x11_ssl_seak_pup_pred,135.8089631600517,145.23339380283525,0.951297630736777,0.3168010644155923,0.0385834158617816,0.46958550846577307,16.07
27,Thermal Moderation (Pred*SST),x09_dfa_hakeage5plus,x10_dfa_ssl.est.wholerange_2yrlead,122.33977980118055,132.94226427431207,0.9439051297200917,0.24185300277017385,0.36393865638984857,0.5383092681390911,0
27,Baseline DAG 1A (Main Effects),x09_dfa_hakeage5plus,x10_dfa_ssl.est.wholerange_2yrlead,128.35212836275758,136.5985051751932,0.6884035052214091,0.008169268164945676,0.36392241932175307,0.3150164757153928,6.01
28,Thermal Moderation (Pred*SST),x09_dfa_hakeage5plus,x10_californian_s_l_2yrlead_ws,121.89609909738215,132.49858357051366,0.9050946898845187,0.1555399467243549,0.36393865638984857,0.5463559189910892,0
28,Baseline DAG 1A (Main Effects),x09_dfa_hakeage5plus,x10_californian_s_l_2yrlead_ws,126.8328168417498,135.07919365418542,0.7540126490401946,0.018462851763437982,0.36392241932175273,0.3629707098401427,4.94
29,Thermal Moderation (Pred*SST),x09_dfa_hakeage5plus,x10_harbour_s_2yrlead_ws,114.11779774405488,124.7202822171864,0.9414329368525189,0.19496678234412035,0.36393865639655065,0.6702972026311508,0
29,Baseline DAG 1A (Main Effects),x09_dfa_hakeage5plus,x10_harbour_s_2yrlead_ws,122.27527546910221,130.52165228153783,0.7342318779971604,0.005831262581712626,0.36392241932175307,0.44586254919611557,8.16
30,Thermal Moderation (Pred*SST),x09_dfa_hakeage5plus,x10_northern_f_s_2yrlead_ws,123.4368023734051,134.0392868465366,0.7528719564052269,0.018966337528928734,0.36393865638984857,0.5136154119553182,0
30,Baseline DAG 1A (Main Effects),x09_dfa_hakeage5plus,x10_northern_f_s_2yrlead_ws,126.11514645402914,134.36152326646476,0.8322822390140884,0.053909326238800515,0.36392241932175273,0.37557701625449813,2.68
31,AltPrey Moderation (Pred*Prey),x09_dfa_hakeage5plus,x15_arrowtoothflounderbiomass_predak,118.75656573911351,129.35905021224502,0.796787580429723,0.02391491374586352,0.3657963912466825,0.6150971213287184,0
31,Baseline DAG 1A (Main Effects),x09_dfa_hakeage5plus,x15_arrowtoothflounderbiomass_predak,119.87288579225515,129.2973164350387,0.9110964182275858,0.13471201089074292,0.36392241932175273,0.5616390822931357,1.12
31,Thermal Moderation (Pred*SST),x09_dfa_hakeage5plus,x15_arrowtoothflounderbiomass_predak,121.2190853980627,131.8215698711942,0.646911455609031,0.001144694730037532,0.36393865638984857,0.5543905455745082,2.46
32,Thermal Moderation (Pred*SST),x09_dfa_hakeage5plus,x15_sablefishbiomass_predak,122.89555232680647,133.49803679993798,0.6429207701290237,0.0015369856336087118,0.3639386563867414,0.5242171178318996,0
32,Baseline DAG 1A (Main Effects),x09_dfa_hakeage5plus,x15_sablefishbiomass_predak,128.54091940310116,137.96535004588472,0.671732683477769,0.008814494151423435,0.36392241932175273,0.3634708263210652,5.65
32,AltPrey Moderation (Pred*Prey),x09_dfa_hakeage5plus,x15_sablefishbiomass_predak,131.22165139027072,141.82413586340223,0.6127062181537053,0.00703075116438201,0.3657963912466805,0.33761697881924924,8.33
33,Thermal Moderation (Pred*SST),x09_dfa_hakeage5plus,x15_sablefishrecruitment_predak,124.87611807537951,135.47860254851102,0.6976158511374266,0.008442343902072436,0.36393865638984857,0.48242033878062407,0
33,Baseline DAG 1A (Main Effects),x09_dfa_hakeage5plus,x15_sablefishrecruitment_predak,128.90180137453027,138.32623201731383,0.7280461012138728,0.02384416336011208,0.3639224193217534,0.34682051554148974,4.03
33,AltPrey Moderation (Pred*Prey),x09_dfa_hakeage5plus,x15_sablefishrecruitment_predak,131.2601116230697,141.8625960962012,0.6381674768096101,0.011160734254223925,0.3657963912466874,0.3315475692750254,6.38
34,Thermal Moderation (Pred*SST),x09_dfa_hakeage5plus,x15_pacificcodbiomass_predak,123.72416417571475,134.32664864884626,0.8357722606492471,0.07167761986077104,0.36393865638984857,0.5086258771482892,0
34,Baseline DAG 1A (Main Effects),x09_dfa_hakeage5plus,x15_pacificcodbiomass_predak,130.7999814172287,140.22441206001227,0.6615792518188244,0.012478855928653942,0.36392241932175295,0.2980626798285332,7.08
34,AltPrey Moderation (Pred*Prey),x09_dfa_hakeage5plus,x15_pacificcodbiomass_predak,132.17411287987113,142.77659735300264,0.5398709954512444,0.0021276107865428884,0.36579639124668506,0.3107847355747032,8.45
35,Thermal Moderation (Pred*SST),x09_dfa_hakeage5plus,x15_spinydogfishgoa_predak,121.82175671788752,132.42424119101904,0.8499351918146947,0.07560526264752043,0.3639386563897501,0.5454278610116022,0
35,Baseline DAG 1A (Main Effects),x09_dfa_hakeage5plus,x15_spinydogfishgoa_predak,124.10636392278604,133.5307945655696,0.7586457672582247,0.01838886637420245,0.36392241932175307,0.5277802666143262,2.28
35,AltPrey Moderation (Pred*Prey),x09_dfa_hakeage5plus,x15_spinydogfishgoa_predak,125.96348944559224,136.56597391872376,0.702222851428851,0.011301091922159778,0.36579639124668517,0.528049680804512,4.14
