pair_id,ncc_predator,ak_predator,ncc_altprey,ak_altprey,ncc_final_stage,ak_final_stage,aic,bic,cfi,global_p,cpue_r2,sar_r2
165,X10_DFA_ssl.est.wholerange_2yrLead,X15_halibutBiomassAge8plus_2yrLead_predAK,X09_DFA_HakeAge5Plus_2yrLead,NA,AltPrey Interaction,Predator Main Effect (Negative),11.882400465739465,12.597374340857986,0.8619789832626122,0.10103799011879244,0.7217579334037543,0.8910425778740915
112,X09_DFA_HakeAge5Plus,X15_spinyDogfishGoA_predAK,X09_DFA_HakeAge5Plus,X12_egoa.krill,Additive (Pred + Prey),AltPrey Interaction,12.873916077180048,13.588889952298569,1,0.44088043255848275,0.3628388801889899,0.9583818198726667
10,X08_DFA_DC_corm_3_WS,X15_spinyDogfishGoA_predAK,X04_marketsquid_GAM,X12_egoa.krill,Null (Dropped),AltPrey Interaction,14.479777837659746,15.115310171098432,1,0.4980506999668828,NA,0.942747728619031
27,X08_commonMurre_JSOES,X15_spinyDogfishGoA_predAK,X04_marketsquid_GAM,X12_egoa.krill,Null (Dropped),AltPrey Interaction,14.479777837659746,15.115310171098432,1,0.4980506999668828,NA,0.942747728619031
61,X09_DFA_ChinAbundSnakeFall,X15_spinyDogfishGoA_predAK,X12_DFA_biomassEuphShelfSum,X12_egoa.krill,Null (Dropped),AltPrey Interaction,14.479777837659746,15.115310171098432,1,0.4980506999668828,NA,0.942747728619031
78,X09_DFA_ChinAbundSnakeFall,X15_spinyDogfishGoA_predAK,X09_DFA_HakeAge5Plus,X12_egoa.krill,Null (Dropped),AltPrey Interaction,14.479777837659746,15.115310171098432,1,0.4980506999668828,NA,0.942747728619031
129,X09_canaryRockfish,X15_spinyDogfishGoA_predAK,X12_DFA_biomassEuphShelfSum,X12_egoa.krill,Null (Dropped),AltPrey Interaction,14.479777837659746,15.115310171098432,1,0.4980506999668828,NA,0.942747728619031
146,X10_DFA_ssl.est.wholerange_2yrLead,X15_spinyDogfishGoA_predAK,eulachon_during_chinook_2yrlead,X12_egoa.krill,Null (Dropped),AltPrey Interaction,14.479777837659746,15.115310171098432,1,0.4980506999668828,NA,0.942747728619031
180,X10_DFA_ssl.est.wholerange_smoltYear,X15_spinyDogfishGoA_predAK,eulachon_during_chinook,X12_egoa.krill,Null (Dropped),AltPrey Interaction,14.479777837659746,15.115310171098432,1,0.4980506999668828,NA,0.942747728619031
197,X10_DFA_ssl.est.wholerange_smoltYear,X15_spinyDogfishGoA_predAK,X09_DFA_HakeAge5Plus,X12_egoa.krill,Null (Dropped),AltPrey Interaction,14.479777837659746,15.115310171098432,1,0.4980506999668828,NA,0.942747728619031
