model_id,path_label,H_code,rhs,LisaName,Expected_Sign,N_Top100_Runs,Pct_Significant,Pct_Positive,Pct_Negative,Pct_Supported,Mean_Beta
DAG1A_long,PreyNCC -> Growth,H1a,PreyNCC,05.ForageFishNCC_DFA1,Positive (+),99,100,0,100,0,-0.934
DAG1A_long,PreyNCC -> Growth,H1a,PreyNCC,04.CompFishNCC_smoothed,Positive (+),1,100,100,0,100,0.91
DAG1A_short,PreyNCC -> Growth,H1a,PreyNCC,05.ForageFishNCC_DFA1,Positive (+),61,100,0,100,0,-0.943
DAG1A_short,PreyNCC -> Growth,H1a,PreyNCC,01.ZooPreyNCC_JSOES_DFA1,Positive (+),39,100,100,0,100,0.931
DAG1B_long,PreyNCC -> Growth,H1a,PreyNCC,05.ForageFishNCC_DFA1,Positive (+),93,100,0,100,0,-0.934
DAG1B_long,PreyNCC -> Growth,H1a,PreyNCC,04.CompFishNCC_smoothed,Positive (+),7,100,100,0,100,0.91
DAG1B_short,PreyNCC -> Growth,H1a,PreyNCC,05.ForageFishNCC_DFA1,Positive (+),71,100,0,100,0,-0.945
DAG1B_short,PreyNCC -> Growth,H1a,PreyNCC,01.ZooPreyNCC_JSOES_DFA1,Positive (+),29,100,100,0,100,0.931
DAG1A_long,Growth -> CPUE,H1b,Growth,06.Cond1NCC_DFA1,Positive (+),100,0,0,100,0,-0.05
DAG1A_short,Growth -> CPUE,H1b,Growth,06.Cond1NCC_DFA1,Positive (+),74,0,35.1,64.9,35.1,-0.031
DAG1A_short,Growth -> CPUE,H1b,Growth,06.Cond1NCC_0_smoothed,Positive (+),26,0,88.5,11.5,88.5,0.097
DAG1B_long,Growth -> SAR,H1c,Growth,06.Cond1NCC_DFA1,Positive (+),100,41,57,43,57,0.194
DAG1B_short,Growth -> SAR,H1c,Growth,06.Cond1NCC_DFA1,Positive (+),88,56.8,70.5,29.5,70.5,0.1
DAG1B_short,Growth -> SAR,H1c,Growth,06.Cond1NCC_0_smoothed,Positive (+),12,33.3,83.3,16.7,83.3,0.224
DAG1A_long,PreyAK -> SAR,H1e,PreyAK,12.ZooPreyAK_0_smoothed,Positive (+),28,100,0,100,0,-0.418
DAG1A_long,PreyAK -> SAR,H1e,PreyAK,12.ZooPreyAK_DFA1,Positive (+),13,92.3,0,100,0,-0.374
DAG1A_long,PreyAK -> SAR,H1e,PreyAK,13.FishPreyAK_b_2_smoothed,Positive (+),9,88.9,0,100,0,-0.302
DAG1A_long,PreyAK -> SAR,H1e,PreyAK,13.FishPreyAK_b_DFA1,Positive (+),9,66.7,0,100,0,-0.319
DAG1A_long,PreyAK -> SAR,H1e,PreyAK,13.FishPreyAK_b_0_smoothed,Positive (+),8,50,0,100,0,-0.289
DAG1A_long,PreyAK -> SAR,H1e,PreyAK,12.ZooPreyAK_1_smoothed,Positive (+),5,40,100,0,100,0.199
DAG1A_long,PreyAK -> SAR,H1e,PreyAK,14.CompAK_1_smoothed,Positive (+),5,20,0,100,0,-0.237
DAG1A_long,PreyAK -> SAR,H1e,PreyAK,13.FishPreyAK_b_3_smoothed,Positive (+),4,50,100,0,100,0.226
DAG1A_long,PreyAK -> SAR,H1e,PreyAK,13.FishPreyAK_b_4_smoothed,Positive (+),4,50,0,100,0,-0.341
DAG1A_long,PreyAK -> SAR,H1e,PreyAK,14.CompAK_smoothed,Positive (+),4,50,100,0,100,0.307
DAG1A_long,PreyAK -> SAR,H1e,PreyAK,12.ZooPreyAK_2_smoothed,Positive (+),3,0,0,100,0,-0.125
DAG1A_long,PreyAK -> SAR,H1e,PreyAK,13.FishPreyAK_DFA1,Positive (+),3,0,33.3,66.7,33.3,-0.068
DAG1A_long,PreyAK -> SAR,H1e,PreyAK,13.FishPreyAK_b_1_smoothed,Positive (+),3,0,100,0,100,0.118
DAG1A_long,PreyAK -> SAR,H1e,PreyAK,14.CompAK_0_smoothed,Positive (+),2,0,50,50,50,0.026
DAG1A_short,PreyAK -> SAR,H1e,PreyAK,12.ZooPreyAK_DFA1,Positive (+),14,78.6,0,100,0,-0.435
DAG1A_short,PreyAK -> SAR,H1e,PreyAK,12.ZooPreyAK_0_smoothed,Positive (+),13,100,0,100,0,-0.342
DAG1A_short,PreyAK -> SAR,H1e,PreyAK,13.FishPreyAK_b_2_smoothed,Positive (+),11,100,0,100,0,-0.247
DAG1A_short,PreyAK -> SAR,H1e,PreyAK,13.FishPreyAK_b_DFA1,Positive (+),10,70,30,70,30,-0.596
DAG1A_short,PreyAK -> SAR,H1e,PreyAK,12.ZooPreyAK_1_smoothed,Positive (+),9,100,100,0,100,0.221
DAG1A_short,PreyAK -> SAR,H1e,PreyAK,13.FishPreyAK_b_0_smoothed,Positive (+),9,100,0,100,0,-0.202
DAG1A_short,PreyAK -> SAR,H1e,PreyAK,13.FishPreyAK_DFA1,Positive (+),6,0,100,0,100,0.184
DAG1A_short,PreyAK -> SAR,H1e,PreyAK,13.FishPreyAK_b_4_smoothed,Positive (+),6,50,0,100,0,-0.307
DAG1A_short,PreyAK -> SAR,H1e,PreyAK,14.CompAK_1_smoothed,Positive (+),5,0,0,100,0,-0.142
DAG1A_short,PreyAK -> SAR,H1e,PreyAK,14.CompAK_smoothed,Positive (+),5,0,100,0,100,0.16
DAG1A_short,PreyAK -> SAR,H1e,PreyAK,12.ZooPreyAK_2_smoothed,Positive (+),3,0,100,0,100,0.131
DAG1A_short,PreyAK -> SAR,H1e,PreyAK,13.FishPreyAK_b_1_smoothed,Positive (+),3,0,0,100,0,-0.028
DAG1A_short,PreyAK -> SAR,H1e,PreyAK,13.FishPreyAK_b_3_smoothed,Positive (+),3,0,0,100,0,-0.028
DAG1A_short,PreyAK -> SAR,H1e,PreyAK,14.CompAK_0_smoothed,Positive (+),3,0,100,0,100,0.125
DAG1B_long,PreyAK -> SAR,H1e,PreyAK,12.ZooPreyAK_DFA1,Positive (+),43,100,0,100,0,-0.611
DAG1B_long,PreyAK -> SAR,H1e,PreyAK,12.ZooPreyAK_0_smoothed,Positive (+),20,100,0,100,0,-0.436
DAG1B_long,PreyAK -> SAR,H1e,PreyAK,13.FishPreyAK_b_2_smoothed,Positive (+),6,83.3,0,100,0,-0.313
DAG1B_long,PreyAK -> SAR,H1e,PreyAK,13.FishPreyAK_b_DFA1,Positive (+),6,83.3,0,100,0,-0.476
DAG1B_long,PreyAK -> SAR,H1e,PreyAK,12.ZooPreyAK_1_smoothed,Positive (+),4,75,100,0,100,0.28
DAG1B_long,PreyAK -> SAR,H1e,PreyAK,13.FishPreyAK_b_0_smoothed,Positive (+),4,25,0,100,0,-0.254
DAG1B_long,PreyAK -> SAR,H1e,PreyAK,13.FishPreyAK_b_4_smoothed,Positive (+),4,50,0,100,0,-0.426
DAG1B_long,PreyAK -> SAR,H1e,PreyAK,14.CompAK_1_smoothed,Positive (+),4,25,0,100,0,-0.237
DAG1B_long,PreyAK -> SAR,H1e,PreyAK,13.FishPreyAK_b_3_smoothed,Positive (+),3,66.7,100,0,100,0.316
DAG1B_long,PreyAK -> SAR,H1e,PreyAK,13.FishPreyAK_b_1_smoothed,Positive (+),2,0,100,0,100,0.159
DAG1B_long,PreyAK -> SAR,H1e,PreyAK,14.CompAK_smoothed,Positive (+),2,50,100,0,100,0.408
DAG1B_long,PreyAK -> SAR,H1e,PreyAK,12.ZooPreyAK_2_smoothed,Positive (+),1,0,0,100,0,-0.202
DAG1B_long,PreyAK -> SAR,H1e,PreyAK,13.FishPreyAK_DFA1,Positive (+),1,100,0,100,0,-1.079
DAG1B_short,PreyAK -> SAR,H1e,PreyAK,12.ZooPreyAK_DFA1,Positive (+),36,100,0,100,0,-0.689
DAG1B_short,PreyAK -> SAR,H1e,PreyAK,12.ZooPreyAK_0_smoothed,Positive (+),11,100,0,100,0,-0.318
DAG1B_short,PreyAK -> SAR,H1e,PreyAK,13.FishPreyAK_b_4_smoothed,Positive (+),10,50,0,100,0,-0.369
DAG1B_short,PreyAK -> SAR,H1e,PreyAK,12.ZooPreyAK_1_smoothed,Positive (+),7,42.9,100,0,100,0.276
DAG1B_short,PreyAK -> SAR,H1e,PreyAK,13.FishPreyAK_b_1_smoothed,Positive (+),7,71.4,100,0,100,0.284
DAG1B_short,PreyAK -> SAR,H1e,PreyAK,13.FishPreyAK_b_2_smoothed,Positive (+),7,100,0,100,0,-0.222
DAG1B_short,PreyAK -> SAR,H1e,PreyAK,13.FishPreyAK_b_DFA1,Positive (+),5,60,40,60,40,-0.534
DAG1B_short,PreyAK -> SAR,H1e,PreyAK,13.FishPreyAK_b_0_smoothed,Positive (+),3,0,0,100,0,-0.268
DAG1B_short,PreyAK -> SAR,H1e,PreyAK,13.FishPreyAK_b_3_smoothed,Positive (+),3,0,0,100,0,-0.144
DAG1B_short,PreyAK -> SAR,H1e,PreyAK,14.CompAK_1_smoothed,Positive (+),3,0,0,100,0,-0.117
DAG1B_short,PreyAK -> SAR,H1e,PreyAK,12.ZooPreyAK_2_smoothed,Positive (+),2,0,100,0,100,0.047
DAG1B_short,PreyAK -> SAR,H1e,PreyAK,13.FishPreyAK_DFA1,Positive (+),2,0,100,0,100,0.14
DAG1B_short,PreyAK -> SAR,H1e,PreyAK,14.CompAK_0_smoothed,Positive (+),2,0,100,0,100,0.039
DAG1B_short,PreyAK -> SAR,H1e,PreyAK,14.CompAK_smoothed,Positive (+),2,0,100,0,100,0.104
DAG1A_long,PredNCC -> CPUE,H2a,PredNCC,09.PredFishNCC_b_DFA1,Negative (-),73,100,0,100,100,-0.606
DAG1A_long,PredNCC -> CPUE,H2a,PredNCC,08.PredBirdNCC_b_2_smoothed,Negative (-),27,100,100,0,0,0.529
DAG1A_short,PredNCC -> CPUE,H2a,PredNCC,08.PredBirdNCC_b_0_smoothed,Negative (-),40,100,100,0,0,0.755
DAG1A_short,PredNCC -> CPUE,H2a,PredNCC,09.PredFishNCC_b_DFA1,Negative (-),33,100,0,100,100,-0.661
DAG1A_short,PredNCC -> CPUE,H2a,PredNCC,08.PredBirdNCC_b_2_smoothed,Negative (-),25,100,100,0,0,0.611
DAG1A_short,PredNCC -> CPUE,H2a,PredNCC,08.PredBirdNCC_b_1_smoothed,Negative (-),1,0,100,0,0,0.282
DAG1A_short,PredNCC -> CPUE,H2a,PredNCC,09.PredFishNCC_b_0_smoothed,Negative (-),1,0,0,100,100,-0.297
DAG1B_long,PredNCC -> CPUE,H2a,PredNCC,09.PredFishNCC_b_DFA1,Negative (-),64,100,0,100,100,-0.613
DAG1B_long,PredNCC -> CPUE,H2a,PredNCC,08.PredBirdNCC_b_2_smoothed,Negative (-),28,100,100,0,0,0.545
DAG1B_long,PredNCC -> CPUE,H2a,PredNCC,08.PredBirdNCC_DFA1,Negative (-),2,0,0,100,100,-0.228
DAG1B_long,PredNCC -> CPUE,H2a,PredNCC,08.PredBirdNCC_b_1_smoothed,Negative (-),2,0,100,0,0,0.196
DAG1B_long,PredNCC -> CPUE,H2a,PredNCC,09.PredFishNCC_DFA1,Negative (-),2,0,0,100,100,-0.144
DAG1B_long,PredNCC -> CPUE,H2a,PredNCC,11.PredMammalSmolt_DFA1,Negative (-),2,0,100,0,0,0.011
DAG1B_short,PredNCC -> CPUE,H2a,PredNCC,08.PredBirdNCC_b_0_smoothed,Negative (-),43,100,100,0,0,0.67
DAG1B_short,PredNCC -> CPUE,H2a,PredNCC,09.PredFishNCC_b_DFA1,Negative (-),41,100,0,100,100,-0.67
DAG1B_short,PredNCC -> CPUE,H2a,PredNCC,08.PredBirdNCC_b_2_smoothed,Negative (-),16,100,100,0,0,0.599
DAG1A_long,PredAK -> SAR,H2c,PredAK,10.PredMammalNCC_1_smoothed,Negative (-),19,68.4,100,0,0,0.325
DAG1A_long,PredAK -> SAR,H2c,PredAK,10.PredMammalNCC_2_smoothed,Negative (-),18,72.2,0,100,100,-0.353
DAG1A_long,PredAK -> SAR,H2c,PredAK,15.PredFishAK_b_DFA1,Negative (-),16,62.5,0,100,100,-0.352
DAG1A_long,PredAK -> SAR,H2c,PredAK,10.PredMammalNCC_3_smoothed,Negative (-),5,40,100,0,0,0.212
DAG1A_long,PredAK -> SAR,H2c,PredAK,15.PredFishAK_0_smoothed,Negative (-),5,40,0,100,100,-0.206
DAG1A_long,PredAK -> SAR,H2c,PredAK,15.PredFishAK_1_smoothed,Negative (-),5,40,100,0,0,0.223
DAG1A_long,PredAK -> SAR,H2c,PredAK,15.PredFishAK_b_2_smoothed,Negative (-),5,0,0,100,100,-0.136
DAG1A_long,PredAK -> SAR,H2c,PredAK,15.PredFishAK_b_3_smoothed,Negative (-),5,0,100,0,0,0.188
DAG1A_long,PredAK -> SAR,H2c,PredAK,10.PredMammalNCC_0_smoothed,Negative (-),4,50,100,0,0,0.196
DAG1A_long,PredAK -> SAR,H2c,PredAK,10.PredMammalNCC_DFA1,Negative (-),4,25,25,75,75,0.012
DAG1A_long,PredAK -> SAR,H2c,PredAK,15.PredFishAK_2_smoothed,Negative (-),4,0,25,75,75,-0.017
DAG1A_long,PredAK -> SAR,H2c,PredAK,15.PredFishAK_3_smoothed,Negative (-),4,0,100,0,0,0.18
DAG1A_long,PredAK -> SAR,H2c,PredAK,15.PredFishAK_4_smoothed,Negative (-),3,0,100,0,0,0.114
DAG1A_long,PredAK -> SAR,H2c,PredAK,15.PredFishAK_5_smoothed,Negative (-),3,0,100,0,0,0.134
DAG1A_short,PredAK -> SAR,H2c,PredAK,10.PredMammalNCC_1_smoothed,Negative (-),79,100,100,0,0,0.561
DAG1A_short,PredAK -> SAR,H2c,PredAK,15.PredFishAK_b_DFA1,Negative (-),14,100,0,100,100,-0.671
DAG1A_short,PredAK -> SAR,H2c,PredAK,15.PredFishAK_1_smoothed,Negative (-),7,100,100,0,0,0.76
DAG1B_long,PredAK -> SAR,H2c,PredAK,10.PredMammalNCC_2_smoothed,Negative (-),14,64.3,0,100,100,-0.338
DAG1B_long,PredAK -> SAR,H2c,PredAK,15.PredFishAK_b_DFA1,Negative (-),14,85.7,0,100,100,-0.6
DAG1B_long,PredAK -> SAR,H2c,PredAK,10.PredMammalNCC_1_smoothed,Negative (-),12,58.3,100,0,0,0.286
DAG1B_long,PredAK -> SAR,H2c,PredAK,15.PredFishAK_3_smoothed,Negative (-),11,81.8,100,0,0,0.387
DAG1B_long,PredAK -> SAR,H2c,PredAK,15.PredFishAK_5_smoothed,Negative (-),10,80,100,0,0,0.471
DAG1B_long,PredAK -> SAR,H2c,PredAK,15.PredFishAK_1_smoothed,Negative (-),6,50,66.7,33.3,33.3,0.23
DAG1B_long,PredAK -> SAR,H2c,PredAK,15.PredFishAK_0_smoothed,Negative (-),5,20,40,60,60,-0.283
DAG1B_long,PredAK -> SAR,H2c,PredAK,15.PredFishAK_2_smoothed,Negative (-),5,20,40,60,60,-0.074
DAG1B_long,PredAK -> SAR,H2c,PredAK,15.PredFishAK_b_2_smoothed,Negative (-),5,0,40,60,60,-0.046
