pair_id,ncc_predator,ak_predator,ncc_final_stage,ak_final_stage,aic,bic,cfi,global_p,cpue_r2,sar_r2
46,X09_DFA_HakeAge5Plus,X11_ssl_seak_pup_pred,Predator Main Effect (Negative),Stage Link Only,126.37306382399306,133.44138680608074,0.7728128132357013,0.01253639776744564,0.3731244642731405,0.3009851639631427
55,X09_DFA_HakeAge5Plus,X11_ssl_seak_pup_pred,Predator Main Effect (Negative),Stage Link Only,126.37306382399306,133.44138680608074,0.7728128132357013,0.01253639776744564,0.3731244642731405,0.3009851639631427
28,X09_DFA_ChinAbundSnakeFall,X11_ssl_seak_pup_pred,Thermal Interaction,Stage Link Only,127.57725176230883,137.0016824050924,0.8956724193583272,0.16001801523464265,0.44205753704660167,0.30098516396314356
37,X09_DFA_ChinAbundSnakeFall,X11_ssl_seak_pup_pred,Thermal Interaction,Stage Link Only,127.57725176230883,137.0016824050924,0.8956724193583272,0.16001801523464265,0.44205753704660167,0.30098516396314356
1,X08_DFA_DC_corm_3_WS,X11_ssl_seak_pup_pred,Null (Dropped),Stage Link Only,135.5812382000042,141.47150735174392,1,NA,NA,0.3009851645421441
19,X08_Large_gulls_7_WS,X11_ssl_seak_pup_pred,Null (Dropped),Stage Link Only,135.5812382000042,141.47150735174392,1,NA,NA,0.3009851645421441
127,X11_DFA_Harbour_p_WS,X11_ssl_seak_pup_pred,Null (Dropped),Stage Link Only,135.5812382000042,141.47150735174392,1,NA,NA,0.3009851645421441
