H_code,path_label,model_id,rhs,LisaName,Expected_Sign,N_Top_Runs,Pct_Significant,Pct_Positive,Pct_Negative,Pct_Supported,Mean_Beta
H1e,PreyAK -> SAR,DAG1B_long,PreyAK,12.ZooPreyAK_1_smoothed,Positive (+),4,75,100,0,100,0.28
H1e,PreyAK -> SAR,DAG1B_long,PreyAK,13.FishPreyAK_b_0_smoothed,Positive (+),4,25,0,100,0,-0.254
H1e,PreyAK -> SAR,DAG1B_long,PreyAK,13.FishPreyAK_b_4_smoothed,Positive (+),4,50,0,100,0,-0.426
H1e,PreyAK -> SAR,DAG1B_long,PreyAK,14.CompAK_1_smoothed,Positive (+),4,25,0,100,0,-0.237
H1e,PreyAK -> SAR,DAG1B_long,PreyAK,13.FishPreyAK_b_3_smoothed,Positive (+),3,66.7,100,0,100,0.316
H1e,PreyAK -> SAR,DAG1B_long,PreyAK,13.FishPreyAK_b_1_smoothed,Positive (+),2,0,100,0,100,0.159
H1e,PreyAK -> SAR,DAG1B_long,PreyAK,14.CompAK_smoothed,Positive (+),2,50,100,0,100,0.408
H1e,PreyAK -> SAR,DAG1B_long,PreyAK,12.ZooPreyAK_2_smoothed,Positive (+),1,0,0,100,0,-0.202
H1e,PreyAK -> SAR,DAG1B_long,PreyAK,13.FishPreyAK_DFA1,Positive (+),1,100,0,100,0,-1.079
H1e,PreyAK -> SAR,DAG1B_short,PreyAK,12.ZooPreyAK_DFA1,Positive (+),36,100,0,100,0,-0.689
H1e,PreyAK -> SAR,DAG1B_short,PreyAK,12.ZooPreyAK_0_smoothed,Positive (+),11,100,0,100,0,-0.318
H1e,PreyAK -> SAR,DAG1B_short,PreyAK,13.FishPreyAK_b_4_smoothed,Positive (+),10,50,0,100,0,-0.369
H1e,PreyAK -> SAR,DAG1B_short,PreyAK,12.ZooPreyAK_1_smoothed,Positive (+),7,42.9,100,0,100,0.276
H1e,PreyAK -> SAR,DAG1B_short,PreyAK,13.FishPreyAK_b_1_smoothed,Positive (+),7,71.4,100,0,100,0.284
H1e,PreyAK -> SAR,DAG1B_short,PreyAK,13.FishPreyAK_b_2_smoothed,Positive (+),7,100,0,100,0,-0.222
H1e,PreyAK -> SAR,DAG1B_short,PreyAK,13.FishPreyAK_b_DFA1,Positive (+),5,60,40,60,40,-0.534
H1e,PreyAK -> SAR,DAG1B_short,PreyAK,13.FishPreyAK_b_0_smoothed,Positive (+),3,0,0,100,0,-0.268
H1e,PreyAK -> SAR,DAG1B_short,PreyAK,13.FishPreyAK_b_3_smoothed,Positive (+),3,0,0,100,0,-0.144
H1e,PreyAK -> SAR,DAG1B_short,PreyAK,14.CompAK_1_smoothed,Positive (+),3,0,0,100,0,-0.117
H1e,PreyAK -> SAR,DAG1B_short,PreyAK,12.ZooPreyAK_2_smoothed,Positive (+),2,0,100,0,100,0.047
H1e,PreyAK -> SAR,DAG1B_short,PreyAK,13.FishPreyAK_DFA1,Positive (+),2,0,100,0,100,0.14
H1e,PreyAK -> SAR,DAG1B_short,PreyAK,14.CompAK_0_smoothed,Positive (+),2,0,100,0,100,0.039
H1e,PreyAK -> SAR,DAG1B_short,PreyAK,14.CompAK_smoothed,Positive (+),2,0,100,0,100,0.104
H2a,PredNCC -> CPUE,DAG1A_long,PredNCC,09.PredFishNCC_b_DFA1,Negative (-),73,100,0,100,100,-0.606
H2a,PredNCC -> CPUE,DAG1A_long,PredNCC,08.PredBirdNCC_b_2_smoothed,Negative (-),27,100,100,0,0,0.529
H2a,PredNCC -> CPUE,DAG1A_short,PredNCC,08.PredBirdNCC_b_0_smoothed,Negative (-),40,100,100,0,0,0.755
H2a,PredNCC -> CPUE,DAG1A_short,PredNCC,09.PredFishNCC_b_DFA1,Negative (-),33,100,0,100,100,-0.661
H2a,PredNCC -> CPUE,DAG1A_short,PredNCC,08.PredBirdNCC_b_2_smoothed,Negative (-),25,100,100,0,0,0.611
H2a,PredNCC -> CPUE,DAG1A_short,PredNCC,08.PredBirdNCC_b_1_smoothed,Negative (-),1,0,100,0,0,0.282
H2a,PredNCC -> CPUE,DAG1A_short,PredNCC,09.PredFishNCC_b_0_smoothed,Negative (-),1,0,0,100,100,-0.297
H2a,PredNCC -> CPUE,DAG1B_long,PredNCC,09.PredFishNCC_b_DFA1,Negative (-),64,100,0,100,100,-0.613
H2a,PredNCC -> CPUE,DAG1B_long,PredNCC,08.PredBirdNCC_b_2_smoothed,Negative (-),28,100,100,0,0,0.545
H2a,PredNCC -> CPUE,DAG1B_long,PredNCC,08.PredBirdNCC_DFA1,Negative (-),2,0,0,100,100,-0.228
H2a,PredNCC -> CPUE,DAG1B_long,PredNCC,08.PredBirdNCC_b_1_smoothed,Negative (-),2,0,100,0,0,0.196
H2a,PredNCC -> CPUE,DAG1B_long,PredNCC,09.PredFishNCC_DFA1,Negative (-),2,0,0,100,100,-0.144
H2a,PredNCC -> CPUE,DAG1B_long,PredNCC,11.PredMammalSmolt_DFA1,Negative (-),2,0,100,0,0,0.011
H2a,PredNCC -> CPUE,DAG1B_short,PredNCC,08.PredBirdNCC_b_0_smoothed,Negative (-),43,100,100,0,0,0.67
H2a,PredNCC -> CPUE,DAG1B_short,PredNCC,09.PredFishNCC_b_DFA1,Negative (-),41,100,0,100,100,-0.67
H2a,PredNCC -> CPUE,DAG1B_short,PredNCC,08.PredBirdNCC_b_2_smoothed,Negative (-),16,100,100,0,0,0.599
H2c,PredAK -> SAR,DAG1A_long,PredAK,10.PredMammalNCC_1_smoothed,Negative (-),19,68.4,100,0,0,0.325
H2c,PredAK -> SAR,DAG1A_long,PredAK,10.PredMammalNCC_2_smoothed,Negative (-),18,72.2,0,100,100,-0.353
H2c,PredAK -> SAR,DAG1A_long,PredAK,15.PredFishAK_b_DFA1,Negative (-),16,62.5,0,100,100,-0.352
H2c,PredAK -> SAR,DAG1A_long,PredAK,10.PredMammalNCC_3_smoothed,Negative (-),5,40,100,0,0,0.212
H2c,PredAK -> SAR,DAG1A_long,PredAK,15.PredFishAK_0_smoothed,Negative (-),5,40,0,100,100,-0.206
