"pair_id","ncc_predator","ak_predator","active_ncc_terms","active_ak_terms","aic","bic","cfi","pvalue","cpue_r2","sar_r2"
1,"x08_dfa_dc_corm_3_ws","x10_dfa_ssl.est.wholerange_2yrlead","x08_dfa_dc_corm_3_ws, ncc_sst_int","x10_dfa_ssl.est.wholerange_2yrlead, ak_sst_int",123.863121164332,134.465605637463,0.96089133011826,0.289096806616852,0.322257401448136,0.543103972542989
2,"x08_dfa_dc_corm_3_ws","x10_californian_s_l_2yrlead_ws","x08_dfa_dc_corm_3_ws, ncc_sst_int","x10_californian_s_l_2yrlead_ws, ak_sst_int",123.419440460538,134.02192493367,0.842003586533327,0.0761823345178072,0.322257401446539,0.54707672710483
3,"x08_dfa_dc_corm_3_ws","x10_harbour_s_2yrlead_ws","x08_dfa_dc_corm_3_ws, ncc_sst_int","x10_harbour_s_2yrlead_ws, ak_sst_int",115.641139107208,126.24362358034,1,0.938957245681502,0.322257401447858,0.673017711475574
4,"x08_dfa_dc_corm_3_ws","x10_northern_f_s_2yrlead_ws","x08_dfa_dc_corm_3_ws, ncc_sst_int","x10_northern_f_s_2yrlead_ws, ak_sst_int",124.960143736462,135.562628209593,0.612698922072108,0.0012106238644638,0.322257401446903,0.51524163272795
5,"x08_dfa_dc_corm_3_ws","x15_arrowtoothflounderbiomass_predak","x08_dfa_dc_corm_3_ws, ncc_sst_int","x15_arrowtoothflounderbiomass_predak, ak_sst_int",122.742426761176,133.344911234308,0.757822203834236,0.0188375348704374,0.322257401446903,0.563020846448412
6,"x08_dfa_dc_corm_3_ws","x15_sablefishbiomass_predak","x08_dfa_dc_corm_3_ws, ncc_sst_int","x15_sablefishbiomass_predak, ak_sst_int",124.418893689933,135.021378163064,0.976075701391035,0.335751849066915,0.322257401446903,0.538469718555233
7,"x08_dfa_dc_corm_3_ws","x15_sablefishrecruitment_predak","x08_dfa_dc_corm_3_ws, ncc_sst_int","x15_sablefishrecruitment_predak, ak_sst_int",126.399459438501,137.001943911633,0.986570190960962,0.369082227211099,0.322257401446903,0.496347749520162
8,"x08_dfa_dc_corm_3_ws","x15_pacificcodbiomass_predak","x08_dfa_dc_corm_3_ws, ncc_sst_int","x15_pacificcodbiomass_predak, ak_sst_int",125.247505538847,135.849990011978,0.973690731122408,0.331720920113852,0.322257401446903,0.514095540150797
9,"x08_dfa_dc_corm_3_ws","x15_spinydogfishgoa_predak","x08_dfa_dc_corm_3_ws, ncc_sst_int","x15_spinydogfishgoa_predak, ak_sst_int",123.345098081023,133.947582554155,0.9953215652944,0.391054396300745,0.322257401446903,0.556727448152811
10,"x08_dfa_dc_corm_3_ws","x15_halibutbiomassage8plus_2yrlead_predak","x08_dfa_dc_corm_3_ws, ncc_sst_int","x15_halibutbiomassage8plus_2yrlead_predak, ak_sst_int",122.932698918652,133.535183391784,0.86024378871564,0.0938582543382694,0.322257401446852,0.556992195902396
11,"x08_dfa_dc_corm_3_ws","x15_dfa_sleepersharks","x08_dfa_dc_corm_3_ws, ncc_sst_int","x15_dfa_sleepersharks, ak_sst_int",120.426267904099,131.028752377231,0.865094932984509,0.0855009623294203,0.322257401471739,0.605330955075406
12,"x08_dfa_dc_corm_3_ws","x15_salmonsharkgoa_predak","x08_dfa_dc_corm_3_ws, ncc_sst_int","x15_salmonsharkgoa_predak, ak_sst_int",125.783978856657,136.386463329789,0.978929270090441,0.347265151315599,0.322257401440468,0.503404599795449
13,"x08_dfa_dc_corm_3_ws","x11_ssl_seak_pup_pred","x08_dfa_dc_corm_3_ws, ncc_sst_int","x11_ssl_seak_pup_pred, ak_sst_int",123.936112538442,134.538597011573,0.724409549199685,0.0090801456859777,0.322257401446903,0.539533823502351
14,"x08_large_gulls_7_ws","x10_dfa_ssl.est.wholerange_2yrlead","x08_large_gulls_7_ws, ncc_sst_int","x10_dfa_ssl.est.wholerange_2yrlead, ak_sst_int",119.666184279867,130.268668752999,0.900773460078525,0.134294812642507,0.430991599568931,0.55503453089813
15,"x08_large_gulls_7_ws","x10_californian_s_l_2yrlead_ws","x08_large_gulls_7_ws, ncc_sst_int","x10_californian_s_l_2yrlead_ws, ak_sst_int",119.222503575918,129.82498804905,0.977542935565669,0.32602245093463,0.43099159956861,0.556815270848575
16,"x08_large_gulls_7_ws","x10_harbour_s_2yrlead_ws","x08_large_gulls_7_ws, ncc_sst_int","x10_harbour_s_2yrlead_ws, ak_sst_int",111.444202222702,122.046686695833,1,0.638236597501125,0.430991599568856,0.677299870338979
17,"x08_large_gulls_7_ws","x10_northern_f_s_2yrlead_ws","x08_large_gulls_7_ws, ncc_sst_int","x10_northern_f_s_2yrlead_ws, ak_sst_int",120.763206852072,131.365691325203,1,0.843235487572918,0.43099159956861,0.524460347419117
18,"x08_large_gulls_7_ws","x15_arrowtoothflounderbiomass_predak","x08_large_gulls_7_ws, ncc_sst_int","x15_arrowtoothflounderbiomass_predak, ak_sst_int",118.545489876731,129.147974349863,1,0.814142944982967,0.43099159956865,0.568696649721654
19,"x08_large_gulls_7_ws","x15_sablefishbiomass_predak","x08_large_gulls_7_ws, ncc_sst_int","x15_sablefishbiomass_predak, ak_sst_int",120.22195680548,130.824441278611,1,0.690834244883686,0.430991599568045,0.545680923173754
20,"x08_large_gulls_7_ws","x15_sablefishrecruitment_predak","x08_large_gulls_7_ws, ncc_sst_int","x15_sablefishrecruitment_predak, ak_sst_int",122.202522554026,132.805007027157,1,0.656664189925464,0.43099159956861,0.504690363143861
21,"x08_large_gulls_7_ws","x15_pacificcodbiomass_predak","x08_large_gulls_7_ws, ncc_sst_int","x15_pacificcodbiomass_predak, ak_sst_int",121.050568654375,131.653053127506,1,0.866295181754247,0.43099159956861,0.522412659378412
22,"x08_large_gulls_7_ws","x15_spinydogfishgoa_predak","x08_large_gulls_7_ws, ncc_sst_int","x15_spinydogfishgoa_predak, ak_sst_int",119.148161196494,129.750645669625,1,0.477835515753339,0.430991599568632,0.566216054134496
23,"x08_large_gulls_7_ws","x15_halibutbiomassage8plus_2yrlead_predak","x08_large_gulls_7_ws, ncc_sst_int","x15_halibutbiomassage8plus_2yrlead_predak, ak_sst_int",118.73576203422,129.338246507352,1,0.991057406345857,0.43099159956863,0.565336240667457
24,"x08_large_gulls_7_ws","x15_dfa_sleepersharks","x08_large_gulls_7_ws, ncc_sst_int","x15_dfa_sleepersharks, ak_sst_int",116.229331019675,126.831815492807,1,0.850551549236168,0.43099159956861,0.613158125014029
25,"x08_large_gulls_7_ws","x15_salmonsharkgoa_predak","x08_large_gulls_7_ws, ncc_sst_int","x15_salmonsharkgoa_predak, ak_sst_int",121.587041972129,132.18952644526,1,0.521436616510104,0.43099159956861,0.512451323103234
26,"x08_large_gulls_7_ws","x11_ssl_seak_pup_pred","x08_large_gulls_7_ws, ncc_sst_int","x11_ssl_seak_pup_pred, ak_sst_int",119.73917565394,130.341660127072,0.962837344981711,0.281302133857976,0.43099159956861,0.55381025406457
27,"x09_dfa_hakeage5plus","x10_dfa_ssl.est.wholerange_2yrlead","x09_dfa_hakeage5plus","x10_dfa_ssl.est.wholerange_2yrlead, ak_sst_int",120.340392453823,129.764823096606,1,0.484416932372427,0.363922419321753,0.538048547065071
28,"x09_dfa_hakeage5plus","x10_californian_s_l_2yrlead_ws","x09_dfa_hakeage5plus","x10_californian_s_l_2yrlead_ws, ak_sst_int",119.896711750029,129.321142392812,1,0.482508286795691,0.363922419321753,0.54617984218656
29,"x09_dfa_hakeage5plus","x10_harbour_s_2yrlead_ws","x09_dfa_hakeage5plus","x10_harbour_s_2yrlead_ws, ak_sst_int",112.118410396702,121.542841039485,1,0.560029722057184,0.363922419321754,0.670156789555992
30,"x09_dfa_hakeage5plus","x10_northern_f_s_2yrlead_ws","x09_dfa_hakeage5plus","x10_northern_f_s_2yrlead_ws, ak_sst_int",121.437415026049,130.861845668833,0.935223941762775,0.194026683099033,0.363922419321753,0.513489071405178
31,"x09_dfa_hakeage5plus","x15_arrowtoothflounderbiomass_predak","x09_dfa_hakeage5plus","x15_arrowtoothflounderbiomass_predak, ak_sst_int",119.219698050708,128.644128693491,0.87552286573484,0.0774362276932627,0.363922419321753,0.554117099294609
32,"x09_dfa_hakeage5plus","x15_sablefishbiomass_predak","x09_dfa_hakeage5plus","x15_sablefishbiomass_predak, ak_sst_int",120.896164979454,130.320595622238,0.91929554855061,0.156429740019483,0.363922419321752,0.523875220653775
33,"x09_dfa_hakeage5plus","x15_sablefishrecruitment_predak","x09_dfa_hakeage5plus","x15_sablefishrecruitment_predak, ak_sst_int",122.876730728012,132.301161370796,0.92493868506691,0.179974934148469,0.363922419321753,0.482062848498391
34,"x09_dfa_hakeage5plus","x15_pacificcodbiomass_predak","x09_dfa_hakeage5plus","x15_pacificcodbiomass_predak, ak_sst_int",121.724776828359,131.149207471142,1,0.43994578544401,0.363922419321753,0.508413108331973
35,"x09_dfa_hakeage5plus","x15_spinydogfishgoa_predak","x09_dfa_hakeage5plus","x15_spinydogfishgoa_predak, ak_sst_int",119.822369370534,129.246800013318,0.951479181873788,0.226646873539208,0.363922419321753,0.545106427708908
36,"x09_dfa_hakeage5plus","x15_halibutbiomassage8plus_2yrlead_predak","x09_dfa_hakeage5plus","x15_halibutbiomassage8plus_2yrlead_predak, ak_sst_int",119.4099702082,128.834400850983,0.971214520188264,0.284668025827729,0.363922419321753,0.551757639277797
37,"x09_dfa_hakeage5plus","x15_dfa_sleepersharks","x09_dfa_hakeage5plus","x15_dfa_sleepersharks, ak_sst_int",116.90353919365,126.327969836434,0.972679249751024,0.281315873846989,0.363922419321752,0.601857323956712
38,"x09_dfa_hakeage5plus","x15_salmonsharkgoa_predak","x09_dfa_hakeage5plus","x15_salmonsharkgoa_predak, ak_sst_int",122.261250146157,131.685680788941,1,0.392176233283263,0.363922419321753,0.496968403047993
39,"x09_dfa_hakeage5plus","x11_ssl_seak_pup_pred","x09_dfa_hakeage5plus","x11_ssl_seak_pup_pred, ak_sst_int",120.413383827945,129.837814470729,1,0.477028095312408,0.363922419321753,0.538269676461432
40,"x11_dfa_harbour_p_ws","x10_dfa_ssl.est.wholerange_2yrlead","x11_dfa_harbour_p_ws, ncc_sst_int","x10_dfa_ssl.est.wholerange_2yrlead, ak_sst_int",119.612602677944,130.215087151076,0.993540096661388,0.382295417309914,0.432260531785593,0.548831109937758
41,"x11_dfa_harbour_p_ws","x10_californian_s_l_2yrlead_ws","x11_dfa_harbour_p_ws, ncc_sst_int","x10_californian_s_l_2yrlead_ws, ak_sst_int",119.168921974182,129.771406447314,1,0.596504920849113,0.432260531785583,0.550881142284994
42,"x11_dfa_harbour_p_ws","x10_harbour_s_2yrlead_ws","x11_dfa_harbour_p_ws, ncc_sst_int","x10_harbour_s_2yrlead_ws, ak_sst_int",111.390620620561,121.993105093693,0.807135935752074,0.0123361135602744,0.432260531786322,0.674510806671154
43,"x11_dfa_harbour_p_ws","x10_northern_f_s_2yrlead_ws","x11_dfa_harbour_p_ws, ncc_sst_int","x10_northern_f_s_2yrlead_ws, ak_sst_int",120.709625250196,131.312109723327,0.94281211006402,0.23062594653453,0.432260531785714,0.521948464220399
