LisaName,Node2,Total_Selections,Mean_Akaike_Weight,Total_Akaike_Weight
X07_DFA_cpue_IntSprJunHW,Abundance,372288,1,4
X06_DFA_IGF_mu,Growth,110544,0.9658,3.8632
X05_DFA_abundSardine,Competitor,19488,0.912,3.6479
X12_DFA_biomassEuphShelfSum,PreyAK,26592,0.6059,2.4235
X09_DFA_HakeAge5Plus,PredNCC,45248,0.5804,2.3214
X15_DFA_sleeperSharks,PredAK,25536,0.3676,1.4705
X08_commonMurre_JSOES,PredNCC,33600,0.4716,0.9433
X15_PacificCodBiomass_predAK,PredAK,25536,0.2347,0.939
X08_Loons_8_WS,PredNCC,45248,0.1675,0.6701
X15_sablefishBiomass_predAK,PredAK,25536,0.1043,0.4173
X13_DFA_WGOA_DFA_seabirds,PreyAK,26592,0.1015,0.4061
X12_copepodBiomass_WGoA,PreyAK,26592,0.099,0.3961
X13_pollockBiomassGoAage3plus_predAK,PreyAK,26592,0.0837,0.3346
X10_Harbour_s_2yrLead_WS,PredAK,25536,0.0737,0.2947
X01_DFA_sumPreyOfPrey_planktonJun,PreyNCC,15120,0.1442,0.2883
X15_halibutBiomassAge8plus_2yrLead_predAK,PredAK,25536,0.0469,0.1874
X15_sablefishRecruitment_predAK,PredAK,25536,0.0345,0.138
X06_Lmu_IntSprJunH,Growth,110544,0.0342,0.1368
X13_gadid_WAI,PreyAK,26592,0.0272,0.1089
X13_hexagram_EAI,PreyAK,26592,0.0259,0.1036
X15_spinyDogfishBSAI_predAK,PredAK,20160,0.0502,0.1003
X10_Californian_s_l_2yrLead_WS,PredAK,25536,0.0207,0.0829
X15_sharkCatchGoA_predAK,PredAK,25536,0.0187,0.0747
X10_Northern_f_s_2yrLead_WS,PredAK,25536,0.0174,0.0698
X04_marketsquid_GAM,Competitor,19488,0.0159,0.0635
X15_ArrowtoothFlounderBiomass_predAK,PredAK,25536,0.0154,0.0616
X15_spinyDogfishGoA_predAK,PredAK,25536,0.0144,0.0574
X12_copepodCom_EGoA,PreyAK,26592,0.0122,0.0489
X10_DFA_ssl.est.wholerange_2yrLead,PredAK,25536,0.0121,0.0483
X15_salmonSharkGoA_predAK,PredAK,25536,0.012,0.0482
X13_ammod_WAI,PreyAK,26592,0.0104,0.0414
X14_pinkSalmonAsia,Competitor,26592,0.0084,0.0336
X14_pinkSalmonNorthAmerica,Competitor,26592,0.0077,0.0309
X12_copepodCom_WGoA,PreyAK,26592,0.0054,0.0218
X13_hexagram_WAI,PreyAK,26592,0.0048,0.0191
X08_Large_gulls_7_WS,PredNCC,45248,0.0045,0.0181
X14_pinkSalmon,Competitor,26592,0.0042,0.0166
X08_DFA_DC_corm_3_WS,PredNCC,45248,0.0037,0.0149
X13_DFA_WGOA_DFA_midTrophic,Competitor,26592,0.0037,0.0147
X11_DFA_Harbour_p_WS,PredNCC,45248,0.0029,0.0115
X09_DFA_ChinAbundSnakeFall,PredNCC,45248,0.0028,0.0113
X15_salmonSharkBSAI_predAK,PredAK,20160,0.0049,0.0099
X09_canaryRockfish,PredNCC,33600,0.0028,0.0056
X09_chilipepper,PredNCC,33600,0.002,0.004
X05_herring_GAM,Competitor,19488,0,2e-4
X01_Cassin_s_aukl_WS,PreyNCC,19488,0,0
X01_DFA_NHL_krill,PreyNCC,19488,0,0
X01_NHLlogSum_win_05,PreyNCC,15120,0,0
X01_NHLlogSum_win_15,PreyNCC,15120,0,0
X01_NHLlogSum_win_25,PreyNCC,15120,0,0
X01_Red_necked_phal_WS,PreyNCC,19488,0,0
X01_Red_phal_WS,PreyNCC,19488,0,0
X01_Sabine_gull_WS,PreyNCC,19488,0,0
X02_DFA_SeaNettle,PreyNCC,19488,0,0
X03_DFA_comMurreDietHerrSard_Yaquina_NCC,PreyNCC,19488,0,0
X03_HakeAge1,PreyNCC,19488,0,0
X04_CaliforniaMarketSquid_,Competitor,19488,0,0
X04_PacificPompano_,Competitor,19488,0,0
X04_Sablefish__JSOES,Competitor,19488,0,0
X05_anchovy_GAM,Competitor,19488,0,0
X05_herring_NCC,Competitor,19488,0,0
X06_Lmu_IntSprMayW,Growth,75600,0,0
X06_StomFull_May,Growth,75600,0,0
