"","year","ssl.count.eric","ssl.model.eric","ssl_west_pup_pred","ssl_seak_pup_pred","ssl_seak_np_pred","ssl_west_np_pred","ssl_east_pup_pred","ssl_east_np_pred","ssl_cent_pup_pred","ssl_cent_np_pred","herr.avg","capelin.avg","sst_wgoa_coastwatch_junjulaug","sst_egoa_coastwatch_junjulaug","akclim_goa_egoa_win_sst","akclim_goa_egoa_spr_sst","akclim_goa_wgoa_win_sst","akclim_goa_wgoa_spr_sst","x07_dfa_cpue_int_spr_jun_hw","x16_sar","salmon.resid"
"1",1999,-1.54000673382777,-1.51781468869116,-1.43246815148228,-1.95084784563491,-1.95179950214845,-1.28118010285732,-1.38998876254003,-1.52087272922031,-0.492885342126656,-0.777469346650966,-0.718871228099266,-0.910657748738326,-1.24357373975333,-1.21855116703561,-0.0463130640261813,-1.48394695630095,0.107937811349251,-1.58191127447236,2.31643234507666,1.21233693473221,-1.10409541034445
"2",2000,-1.44607577079485,-1.39137209230243,-1.5224067869841,-1.79278302584665,-1.79133190662092,-1.41145114440185,-1.42870793436347,-1.44689903705191,-0.802729705306479,-0.876561899052144,-0.74732557079061,-0.600974446922222,-0.423812268622863,-0.147967191792691,-0.727630103965245,-0.448172920440307,-1.07394967453195,-0.404885901130258,0.212952057289811,0.692472437248238,0.479520379958428
"3",2001,-1.26707525633588,-1.22527023421599,-1.52666291970307,-1.59173646894621,-1.59265304964323,-1.47288299254742,-1.41663775743843,-1.3525596991932,-1.06167181875716,-0.919538032271821,-0.59899404985265,-0.44565576894794,0.446430500679709,-0.360930611038614,-0.0978536219973329,-0.915689087985545,0.133595090486902,-0.000888712547020067,-0.593143874419326,-1.6064522882294,-1.01330841381007
"4",2002,-0.643611653994707,-1.00941549364566,-1.46119605851175,-1.36971589714662,-1.37185976538275,-1.45451149502107,-1.36669312422813,-1.23222699412724,-1.24046868725311,-0.94398296450553,-0.575994487777006,-0.669792958436912,-0.220022020472364,-0.9170246326991,-1.10808313090191,-0.903815568018645,-0.864645483437549,-0.455061996875615,-0.0827268631067107,-0.0790329834513136,0.00369387965539711
"5",2003,-0.712983847717136,-0.877661273238029,-1.30602451106512,-1.11161525557356,-1.11795335919563,-1.32264659831443,-1.28018067079051,-1.11852910795244,-1.32380037443515,-0.93914738970741,-0.178765137114537,-0.841839237223637,0.343727192005086,0.308579131591178,1.51346612423485,0.640161804546561,1.40666042265142,0.255470348228491,0.0151227772025955,-1.06272869876529,-1.07785147596788
"6",2004,-0.546769084290952,-0.755154438371893,-1.07447389530563,-0.8298666246179,-0.832608850920273,-1.15086582314495,-1.14242735325209,-0.965688397378343,-1.30460301752506,-0.908899195893798,0.127665306023912,1.41440224592794,0.902875880197627,1.79396806211364,-0.180657575307425,0.835410447120087,-0.234873310738068,0.210306713355293,-0.580654512950477,-1.47148629665262,-0.890831783702142
"7",2005,-0.375364065495024,-0.65066128006101,-0.796344625868434,-0.546136369013378,-0.551708636540181,-0.887373971065966,-0.930042932174721,-0.788348779313659,-1.18879469481026,-0.866281092252916,-0.0206313648803248,0.755242070610068,1.52568572375868,1.58320155697847,-0.0565677397318308,1.33329965779671,-0.0730851549358567,1.13845925177768,-0.608582300644108,-1.48006277338588,-0.871480472741775
"8",2006,-0.357894425470033,-0.582773063227711,-0.482341249056688,-0.260844058648813,-0.257120662989272,-0.602979403316229,-0.655289836367832,-0.585992727110925,-0.993733181755916,-0.822048135054641,-0.180461263075125,0.18164931148457,-0.516444195440687,-0.138218384636703,-0.0400474276621749,-0.0809592334224749,-0.524975452622984,-0.370913698190479,-0.379083672029077,0.21016501480484,0.589248686833917
"9",2007,-0.347893689513697,-0.530038441612859,-0.149941378188208,0.0164351811525021,0.0289011141423501,-0.293789602397675,-0.342031451917155,-0.359147387923316,-0.779180908572829,-0.782132706835803,-0.246308788944791,-0.635383702679567,-0.665401307397501,-0.274701710085057,-1.00709521047811,-1.13140707406186,-1.19175913610216,-1.21145248893771,-0.308022448029941,0.00609154199162291,0.314113990021564
"10",2008,-0.615508320041461,-0.473707349527527,0.150726039351762,0.277242313467502,0.283691817372404,-0.00274891473380259,0.00861369541481711,-0.0799908629512789,-0.5143307777798,-0.719353629390639,0.08849897435163,1.01050199611013,-1.29306032718946,-2.08084017657119,-1.50293367694673,-1.60696634383345,-1.1754558486031,-1.32702982791826,3.36840785658914,1.5629889031922,-1.80541895339694
