y,yhat
-1.2387502717580472,-3.3453989977850636e-15
0.538002418470075,-6.870059812234137e-11
-1.1368909436824275,-2.580580469527454e-7
0.00414438316117733,-1.0637346302393377e-10
-1.2093056417592418,-6.618583370693872e-10
-0.9994771319694769,-0.7551544383714617
-0.9777657459004506,-0.6506612615066065
0.661113128548253,-0.0033360562735005234
0.352423157325529,-9.752803320953922e-11
-2.025606843578731,-0.4736491447659234
1.7120774250965942,-0.284191116656237
1.4819270843954178,-0.11180930704869602
0.5849116810512864,0.07063639965779754
0.5103959155709935,0.2887275903543542
0.246158920437164,0.5381617983225367
-0.13456302353463195,2.749729376885944e-8
-0.5395845334386908,7.982367194018087e-9
0.003298070368150888,1.5600584140463505e-8
0.24394176466847026,1.862173749521076e-11
-0.2098423905633157,7.742116996775845e-12
0.25345372834924934,0.25560870804035574
1.8799388487426527,1.755551532506448
