year,sst,capelin,herring,forage_unweighted,forage_weighted,temp_unweighted,temp_weighted,term_intercept,term_temp,term_forage,eta,p_switch
1999,-1.24357373975333,-0.910657748738326,-0.718871228099266,-1.6295289768375918,5.719225411131795,-1.24357373975333,-6.21786869876665,-5,-6.21786869876665,-22.53059332338883,-33.74846202215548,2.2040892229537627e-15
2000,-0.423812268622863,-0.600974446922222,-0.74732557079061,-1.3483000177128321,4.216958977607179,-0.423812268622863,-2.119061343114315,-5,-2.119061343114315,-16.612492244308825,-23.73155358742314,4.937615070937434e-11
2001,0.446430500679709,-0.44565576894794,-0.59899404985265,-1.0446498188005902,3.1997868130698075,0.446430500679709,2.232152503398545,-5,2.232152503398545,-12.60539500095547,-15.373242497556925,2.1061316903521355e-7
2002,-0.220022020472364,-0.669792958436912,-0.575994487777006,-1.245787446213918,4.283169789257962,-0.220022020472364,-1.10011010236182,-5,-1.10011010236182,-16.873326319498748,-22.97343642186057,1.0538124656651498e-10
2003,0.343727192005086,-0.841839237223637,-0.178765137114537,-1.0206043743381739,4.49913521841595,0.343727192005086,1.71863596002543,-5,1.71863596002543,-17.72411098114174,-21.00547502111631,7.541159183514314e-10
2004,0.902875880197627,1.41440224592794,0.127665306023912,1.5420675519518519,-7.27907148693615,0.902875880197627,4.514379400988135,-5,4.514379400988135,28.675526431398126,28.18990583238626,0.9999999999994282
2005,1.52568572375868,0.755242070610068,-0.0206313648803248,0.7346107057297432,-3.7427483589225314,1.52568572375868,7.6284286187934,-5,7.6284286187934,14.744363987216389,17.37279260600979,0.9999999714837756
2006,-0.516444195440687,0.18164931148457,-0.180461263075125,0.0011880484094450028,-0.6155565797919743,-0.516444195440687,-2.582220977203435,-5,-2.582220977203435,2.424953375650317,-5.157267601553118,0.005724451736021665
2007,-0.665401307397501,-0.635383702679567,-0.246308788944791,-0.881692491624358,3.576406540346463,-0.665401307397501,-3.327006536987505,-5,-3.327006536987505,-14.089068978260155,-22.41607551524766,1.8400181110028715e-10
2008,-1.29306032718946,1.01050199611013,0.08849897435163,1.09900097046176,-5.196046395967131,-1.29306032718946,-6.4653016359473,-5,-6.4653016359473,20.469556595746816,9.004254959799516,0.999877129283172
2009,-0.981344564738437,1.28260071780669,0.197576482181311,1.4801771999880011,-6.733452726785308,-0.981344564738437,-4.906722823692185,-5,-4.906722823692185,26.52608948655536,16.619366662863175,0.9999999394239795
2010,-1.15902379276683,1.04117085330535,0.171961168050915,1.213132021356265,-5.484757946865333,-1.15902379276683,-5.795118963834151,-5,-5.795118963834151,21.606920849373076,10.811801885538925,0.9999798402405223
2011,-0.893561824446717,0.749058766519962,0.182055440391717,0.9311142069116789,-4.040569405139986,-0.893561824446717,-4.467809122233585,-5,-4.467809122233585,15.91761462748863,6.4498055052550445,0.9984216654760487
2012,-1.41043554772534,2.3504583576161,-0.178023150499028,2.172435207117072,-11.463556183278447,-1.41043554772534,-7.052177738626701,-5,-7.052177738626701,45.16008792074417,33.107910182117465,0.9999999999999958
2013,-0.358286057792279,0.981851317915642,-0.245243494335008,0.7366078235806339,-4.51149636310152,-0.358286057792279,-1.7914302889613951,-5,-1.7914302889613951,17.772807072640436,10.98137678367904,0.9999829846350105
2014,0.759016630735044,-0.669792958436912,-0.419346268883755,-1.089139227320667,4.029102168858479,0.759016630735044,3.79508315367522,-5,3.79508315367522,-15.872440042010854,-17.077356888335636,3.831758427568894e-8
2015,0.941296375040972,-0.738611469951602,-0.578441607681919,-1.317053077633521,4.631231328639607,0.941296375040972,4.70648187520486,-5,4.70648187520486,-18.24449678955173,-18.538014914346867,8.892879618845296e-9
2016,1.8202428203867,-0.967582584416247,-0.479720923403087,-1.447303507819334,5.615971902425736,1.8202428203867,9.1012141019335,-5,9.1012141019335,-22.12383145501742,-18.02261735308392,1.4889383898453884e-8
2017,0.287402006866096,-0.910657748738326,-0.526962284331812,-1.437620033070138,5.407968449381074,0.287402006866096,1.4370100343304801,-5,1.4370100343304801,-21.304412587335044,-24.867402553004563,1.5857119240342282e-11
2018,-0.306312699235758,-0.807429981466292,-0.541191291698955,-1.348621273165247,4.914907628640605,-0.306312699235758,-1.5315634961787898,-5,-1.5315634961787898,-19.362024932150554,-25.893588428329345,5.682735322021621e-12
2019,1.55490518147132,-0.738611469951602,1.58811615620937,0.849504686257768,1.1172930316137415,1.55490518147132,7.774525907356599,-5,7.774525907356599,-4.4015182317082004,-1.6269923243516011,0.1642427993329474
2020,0.889696034440332,-0.829945561386868,3.88040738415902,3.050461822772152,-2.1439018126000162,0.889696034440332,4.44848017220166,-5,4.44848017220166,8.44579053851424,7.8942707107159,0.9996272652491255
