shark_col,shark_temp_col,Q10,overlap_form,overlap_slope,shark_transform,n,aic_base,aic_test,delta_aic_shark,r2_test,b_cpue,p_cpue,b_ssl,p_ssl,b_shark,p_shark,model_group,sig_shark,sig_cpue,sig_ssl,sig_all3,delta_aic,rel_like,aic_weight
pacific_sleeper_shark_goa,enso_dj,2,linear,0.8,z,24,41.95861842630398,41.134354515524336,-0.8242639107796421,0.7235118677629002,0.6307039555298435,0.0017893788164111888,0.6307039555298435,0.0017893788164111888,0.6307039555298435,0.0017893788164111888,long,TRUE,TRUE,TRUE,TRUE,0,1,0.019938547193854222
pacific_sleeper_shark_goa,enso_dj,2,linear,0.8,z_roll2,24,41.95861842630398,41.43678217660779,-0.5218362496961859,0.720005754491816,0.6222364828315936,0.0023247006857955526,0.6222364828315936,0.0023247006857955526,0.6222364828315936,0.0023247006857955526,long,TRUE,TRUE,TRUE,TRUE,0.3024276610834562,0.8596638566162198,0.01714044837599323
pacific_sleeper_shark_goa,enso_dj,2,linear,0.6,z,24,41.95861842630398,41.934600395645,-0.024018030658979228,0.7141373424862062,0.6292401372108097,0.0023219898206125267,0.6292401372108097,0.0023219898206125267,0.6292401372108097,0.0023219898206125267,long,TRUE,TRUE,TRUE,TRUE,0.8002458801206629,0.670237641914226,0.013363564854404361
pacific_sleeper_shark_goa,enso_dj,2,linear,0.6,z_roll2,24,41.95861842630398,41.99676688633486,0.03814846003088235,0.7133959210665534,0.6171795593949846,0.003132081441278702,0.6171795593949846,0.003132081441278702,0.6171795593949846,0.003132081441278702,long,TRUE,TRUE,TRUE,TRUE,0.8624123708105245,0.6497249331644567,0.0129545712429233
pacific_sleeper_shark_goa,enso_dj,2,linear,0.8,log1p_z,24,41.95861842630398,42.06401191155283,0.10539348524885384,0.7125917659163,0.671405523030971,0.0010044048918834271,0.671405523030971,0.0010044048918834271,0.671405523030971,0.0010044048918834271,long,TRUE,TRUE,TRUE,TRUE,0.929657396028496,0.6282427151971212,0.012526247026152917
pacific_sleeper_shark_bsai,pdo_djf,2,logistic,0.2,z_roll2,19,13.456715895167818,13.70044428044607,0.2437283852782528,0.9060120099679961,0.8163927700628484,4.4814673994799875e-6,0.8163927700628484,4.4814673994799875e-6,0.8163927700628484,4.4814673994799875e-6,short,TRUE,TRUE,TRUE,TRUE,0,1,0.011102320011016898
pacific_sleeper_shark_bsai,pdo_djf,2,linear,0.2,z_roll2,19,13.456715895167818,13.701219971867705,0.2445040766998865,0.9060081727487413,0.8121276150567087,4.031141315087146e-6,0.8121276150567087,4.031141315087146e-6,0.8121276150567087,4.031141315087146e-6,short,TRUE,TRUE,TRUE,TRUE,7.756914216336952e-4,0.9996122294916082,0.011098014858741897
pacific_sleeper_shark_bsai,pdo_djf,2,logistic,0.4,z_roll2,19,13.456715895167818,13.709300714746902,0.2525848195790843,0.9059681893105701,0.8121880365733725,4.069348872324399e-6,0.8121880365733725,4.069348872324399e-6,0.8121880365733725,4.069348872324399e-6,short,TRUE,TRUE,TRUE,TRUE,0.008856434300831495,0.9955815729469265,0.01105326521992834
pacific_sleeper_shark_bsai,pdo_djf,2,constant,0,z_roll2,19,13.456715895167818,13.727219082198092,0.27050318703027365,0.9058794687171388,0.8201600008831536,5.097272969817405e-6,0.8201600008831536,5.097272969817405e-6,0.8201600008831536,5.097272969817405e-6,short,TRUE,TRUE,TRUE,TRUE,0.02677480175202085,0.9867018118226372,0.010954679270305094
pacific_sleeper_shark_bsai,pdo_djf,2,logistic,0.6,z_roll2,19,13.456715895167818,13.741203372890816,0.28448747772299754,0.9058101690664333,0.8081060317960709,3.8052925101632766e-6,0.8081060317960709,3.8052925101632766e-6,0.8081060317960709,3.8052925101632766e-6,short,TRUE,TRUE,TRUE,TRUE,0.04075909244474474,0.9798267131956201,0.010878349725240648
pacific_sleeper_shark_bsai,pdo_djf,2,linear,0.4,z_roll2,19,13.456715895167818,13.755795907155564,0.2990800119877459,0.9057378008408751,0.8036303591349819,3.4836245506439063e-6,0.8036303591349819,3.4836245506439063e-6,0.8036303591349819,3.4836245506439063e-6,short,TRUE,TRUE,TRUE,TRUE,0.05535162670949312,0.9727036532268266,0.010799267234009438
pacific_sleeper_shark_bsai,pdo_djf,2,logistic,0.8,z_roll2,19,13.456715895167818,13.784636227060599,0.3279203318927806,0.9055946105101486,0.8044443919650907,3.640201314885616e-6,0.8044443919650907,3.640201314885616e-6,0.8044443919650907,3.640201314885616e-6,short,TRUE,TRUE,TRUE,TRUE,0.08419194661452778,0.9587777590842815,0.010644657500799357
pacific_sleeper_shark_bsai,swln_temp_spr_176to226m,2,constant,0,z_roll2,19,13.456715895167818,13.795967850214392,0.33925195504657424,0.9055382902277395,0.8215494092853127,5.7415065220601086e-06,0.8215494092853127,5.7415065220601086e-06,0.8215494092853127,5.7415065220601086e-06,short,TRUE,TRUE,TRUE,TRUE,0.09552356976832144,0.9533608649986266,0.010584517409194631
