sst_col,forcing,ssl_col,shark_col,forage_set_id,forage_label,n,aic,r2,b_cpue,b_ssl,b_shark,p_cpue,p_ssl,p_shark
sst_wgoa_coastwatch_junjulaug,T_sst,ssl_west_pup_pred,other_sharks_bsai,1,stka_herr_matbiom,19,19.60526587046301,0.8717544106821835,1.0199414903498458,1.0199414903498458,1.0199414903498458,4.7669779859849235e-6,4.7669779859849235e-6,4.7669779859849235e-6
sst_wgoa_coastwatch_junjulaug,T_sst,ssl_west_pup_pred,other_sharks_goa,1,stka_herr_matbiom,24,34.85686006334509,0.7871461819600558,0.9977372951338936,0.9977372951338936,0.9977372951338936,2.0041967176277235e-5,2.0041967176277235e-5,2.0041967176277235e-5
sst_wgoa_coastwatch_junjulaug,T_sst,ssl_west_pup_pred,pacific_sleeper_shark_bsai,1,stka_herr_matbiom,19,20.201801171289198,0.8676640603443846,1.0518381796026208,1.0518381796026208,1.0518381796026208,2.9181880717508292e-5,2.9181880717508292e-5,2.9181880717508292e-5
sst_wgoa_coastwatch_junjulaug,T_sst,ssl_west_pup_pred,pacific_sleeper_shark_goa,1,stka_herr_matbiom,24,44.218688482440754,0.6855950470953093,0.9491760891126253,0.9491760891126253,0.9491760891126253,9.061829072642317e-4,9.061829072642317e-4,9.061829072642317e-4
sst_wgoa_coastwatch_junjulaug,T_sst,ssl_west_pup_pred,salmon_shark_bsai,1,stka_herr_matbiom,19,20.335934431410518,0.8667265100616406,1.010066030930094,1.010066030930094,1.010066030930094,6.544127332716339e-6,6.544127332716339e-6,6.544127332716339e-6
sst_wgoa_coastwatch_junjulaug,T_sst,ssl_west_pup_pred,salmon_shark_goa,1,stka_herr_matbiom,24,44.12253207896418,0.6868521957494756,0.8833500857251414,0.8833500857251414,0.8833500857251414,5.496275954776674e-4,5.496275954776674e-4,5.496275954776674e-4
sst_wgoa_coastwatch_junjulaug,T_sst,ssl_west_pup_pred,other_sharks_bsai,2,crg_herr_matbiom,19,25.71754690918846,0.823089121545365,1.0287472047131794,1.0287472047131794,1.0287472047131794,3.87766229519332e-5,3.87766229519332e-5,3.87766229519332e-5
sst_wgoa_coastwatch_junjulaug,T_sst,ssl_west_pup_pred,other_sharks_goa,2,crg_herr_matbiom,24,38.36936971685253,0.7535990225163481,0.9937675598185278,0.9937675598185278,0.9937675598185278,6.923506191085021e-5,6.923506191085021e-5,6.923506191085021e-5
sst_wgoa_coastwatch_junjulaug,T_sst,ssl_west_pup_pred,pacific_sleeper_shark_bsai,2,crg_herr_matbiom,19,25.80893382708097,0.8222361592570914,1.1785225468886247,1.1785225468886247,1.1785225468886247,1.8640530349611458e-4,1.8640530349611458e-4,1.8640530349611458e-4
sst_wgoa_coastwatch_junjulaug,T_sst,ssl_west_pup_pred,pacific_sleeper_shark_goa,2,crg_herr_matbiom,24,46.82097022434525,0.6495877845644906,0.93678883903767,0.93678883903767,0.93678883903767,0.0022764253351712353,0.0022764253351712353,0.0022764253351712353
sst_wgoa_coastwatch_junjulaug,T_sst,ssl_west_pup_pred,salmon_shark_bsai,2,crg_herr_matbiom,19,27.45950249558862,0.8061028299627604,0.9897274714407225,0.9897274714407225,0.9897274714407225,8.057034109394833e-5,8.057034109394833e-5,8.057034109394833e-5
sst_wgoa_coastwatch_junjulaug,T_sst,ssl_west_pup_pred,salmon_shark_goa,2,crg_herr_matbiom,24,46.48152648550216,0.6545089526420069,0.8689364784681886,0.8689364784681886,0.8689364784681886,0.0012314128216341898,0.0012314128216341898,0.0012314128216341898
sst_wgoa_coastwatch_junjulaug,T_sst,ssl_west_pup_pred,other_sharks_bsai,3,mid_il_capelin,19,31.029197111801242,0.7660267877610757,0.9393041774423599,0.9393041774423599,0.9393041774423599,2.9790678234665823e-4,2.9790678234665823e-4,2.9790678234665823e-4
sst_wgoa_coastwatch_junjulaug,T_sst,ssl_west_pup_pred,other_sharks_goa,3,mid_il_capelin,24,41.35137052419654,0.7210004323018678,0.9321146073436029,0.9321146073436029,0.9321146073436029,2.2953738337720195e-4,2.2953738337720195e-4,2.2953738337720195e-4
sst_wgoa_coastwatch_junjulaug,T_sst,ssl_west_pup_pred,pacific_sleeper_shark_bsai,3,mid_il_capelin,19,32.090836672491605,0.7525812123276544,0.97781365900658,0.97781365900658,0.97781365900658,0.0022879214682469157,0.0022879214682469157,0.0022879214682469157
sst_wgoa_coastwatch_junjulaug,T_sst,ssl_west_pup_pred,pacific_sleeper_shark_goa,3,mid_il_capelin,24,48.04918359001253,0.6311884618828723,0.8764681981090165,0.8764681981090165,0.8764681981090165,0.003852439149847194,0.003852439149847194,0.003852439149847194
sst_wgoa_coastwatch_junjulaug,T_sst,ssl_west_pup_pred,salmon_shark_bsai,3,mid_il_capelin,19,29.34146099208779,0.7859138692119894,0.940639286361655,0.940639286361655,0.940639286361655,1.750733308357915e-4,1.750733308357915e-4,1.750733308357915e-4
