model_group,shark_col,importance_aicw,param,level,shark_temp_col,Q10,overlap_form,overlap_slope,shark_transform,rank,importance_rel_top1
long,other_sharks_goa,0.9949269162110057,shark_col,other_sharks_goa,NA,NA,NA,NA,NA,1,1
long,pacific_sleeper_shark_goa,0.0026291724045075827,shark_col,pacific_sleeper_shark_goa,NA,NA,NA,NA,NA,2,0.0026425784262831056
long,salmon_shark_goa,0.002443911384486564,shark_col,salmon_shark_goa,NA,NA,NA,NA,NA,3,0.0024563727693625442
short,other_sharks_bsai,0.44339409039982897,shark_col,other_sharks_bsai,NA,NA,NA,NA,NA,1,1
short,pacific_sleeper_shark_bsai,0.30096699803649785,shark_col,pacific_sleeper_shark_bsai,NA,NA,NA,NA,NA,2,0.6787799038212304
short,salmon_shark_bsai,0.25563891156367313,shark_col,salmon_shark_bsai,NA,NA,NA,NA,NA,3,0.5765501099330208
long,NA,0.2523392807579829,shark_temp_col,enso_dj,enso_dj,NA,NA,NA,NA,3,0.5119954020752986
long,NA,0.49285458372313984,shark_temp_col,pdo_djf,pdo_djf,NA,NA,NA,NA,1,1
long,NA,0.25480613551887715,shark_temp_col,swln_temp_spr_176to226m,swln_temp_spr_176to226m,NA,NA,NA,NA,2,0.5170006406230646
short,NA,0.27194084666978174,shark_temp_col,enso_dj,enso_dj,NA,NA,NA,NA,3,0.7102502848481633
short,NA,0.38288030638089365,shark_temp_col,pdo_djf,pdo_djf,NA,NA,NA,NA,1,1
short,NA,0.34517884694932455,shark_temp_col,swln_temp_spr_176to226m,swln_temp_spr_176to226m,NA,NA,NA,NA,2,0.9015319962838119
long,NA,0.2433204664832316,Q10,1.5,NA,1.5,NA,NA,NA,4,0.9522976221169406
long,NA,0.24864855058304278,Q10,2,NA,2,NA,NA,NA,3,0.9731504582635412
long,NA,0.25252213692575737,Q10,2.5,NA,2.5,NA,NA,NA,2,0.9883107409826523
long,NA,0.25550884600796814,Q10,3,NA,3,NA,NA,NA,1,1
short,NA,0.25153880298375764,Q10,1.5,NA,1.5,NA,NA,NA,1,1
short,NA,0.25028781867343625,Q10,2,NA,2,NA,NA,NA,2,0.9950266746303863
short,NA,0.24941442720247234,Q10,2.5,NA,2.5,NA,NA,NA,3,0.9915544808352194
short,NA,0.24875895114033372,Q10,3,NA,3,NA,NA,NA,4,0.9889486162355499
long,NA,0.08325018366280894,overlap_form,constant,NA,NA,constant,NA,NA,3,0.17600826112953866
long,NA,0.4729902058491358,overlap_form,linear,NA,NA,linear,NA,NA,1,1
long,NA,0.4437596104880552,overlap_form,logistic,NA,NA,logistic,NA,NA,2,0.9382004214894801
short,NA,0.12244194712905682,overlap_form,constant,NA,NA,constant,NA,NA,3,0.2723584074245939
short,NA,0.4279962115939981,overlap_form,linear,NA,NA,linear,NA,NA,2,0.952029670441576
short,NA,0.44956184127694504,overlap_form,logistic,NA,NA,logistic,NA,NA,1,1
long,NA,0.08325018366280894,overlap_slope,0,NA,NA,NA,0,NA,5,0.3444740792083495
long,NA,0.2079519707455973,overlap_slope,0.2,NA,NA,NA,0.2,NA,4,0.8604673346102533
long,NA,0.23142350842821977,overlap_slope,0.4,NA,NA,NA,0.4,NA,3,0.9575882774729594
long,NA,0.24167328889921041,overlap_slope,0.6,NA,NA,NA,0.6,NA,1,1
long,NA,0.23570104826416352,overlap_slope,0.8,NA,NA,NA,0.8,NA,2,0.9752879572986752
short,NA,0.12244194712905682,overlap_slope,0,NA,NA,NA,0,NA,5,0.5304840956321167
short,NA,0.23081172110005835,overlap_slope,0.2,NA,NA,NA,0.2,NA,1,1
short,NA,0.22161590905615816,overlap_slope,0.4,NA,NA,NA,0.4,NA,2,0.9601588168916528
short,NA,0.21501191053404298,overlap_slope,0.6,NA,NA,NA,0.6,NA,3,0.9315467581511337
short,NA,0.21011851218068364,overlap_slope,0.8,NA,NA,NA,0.8,NA,4,0.9103459355497632
long,NA,0.02069441350934844,shark_transform,log1p_z,NA,NA,NA,NA,log1p_z,3,0.031727600658434336
long,NA,0.32705287655095044,shark_transform,z,NA,NA,NA,NA,z,2,0.5014204947974621
long,NA,0.6522527099397011,shark_transform,z_roll2,NA,NA,NA,NA,z_roll2,1,1
short,NA,0.30754535769730473,shark_transform,log1p_z,NA,NA,NA,NA,log1p_z,3,0.8089471890575545
short,NA,0.3801797717544497,shark_transform,z,NA,NA,NA,NA,z,1,1
short,NA,0.31227487054824543,shark_transform,z_roll2,NA,NA,NA,NA,z_roll2,2,0.8213873902526758
