"","Year","JSOES sumPreyofPrey DFA","WCVI krill_amph DFA","EGOA amphipod_Ferris2025"
"1",1998,NA,-0.0509708667419227,-1.06429047720213
"2",1999,-2.05048544444107,-0.192819668476545,-0.794214838430909
"3",2000,-1.9723094265099,-0.345034825228483,-0.112715563026891
"4",2001,-1.82369201762409,0.176341517116558,-0.677476536625591
"5",2002,-1.41318187513148,0.0963685618687289,0.778912655626699
"6",2003,-1.32600588766929,0.439449247118206,-0.822610641572743
"7",2004,-2.10912663986396,0.121757904741516,-0.384684255340902
"8",2005,-3.25337237052018,-0.653044493990501,-0.396673594445232
"9",2006,-2.86312444456615,-1.20243045929095,-0.755722749727534
"10",2007,-2.35607047207326,-1.70793389365091,-0.229453864832209
"11",2008,-1.70002360094419,-1.67573246045564,3.22726190430039
"12",2009,-1.37065085678237,-1.39157658053118,0.62115819372762
"13",2010,-1.07403170301724,-0.439268597293222,-0.53739057445921
"14",2011,0.398228977199848,0.353533319794678,-0.909060086693438
"15",2012,1.18056666598984,0.661671603665285,-0.067913295847553
"16",2013,1.11986565641418,1.0175066017837,-0.48249202171833
"17",2014,2.3758503803249,1.47285312137606,-0.147421544644689
"18",2015,2.65403302311562,1.95323163041218,-0.120918795045643
"19",2016,2.15460534297375,1.51561924741463,1.6352038748149
"20",2017,1.87606563240026,1.00816364963966,1.78664815823801
"21",2018,2.44122505259472,0.539336728303242,-0.606802537694804
"22",2019,2.76035687344985,0.0391478628852534,-0.177710401329312
"23",2020,2.22510726379408,-0.576189987756245,-0.0653892244571678
"24",2021,2.8081160743775,-1.1599791627041,0.303756216386675
