year,bts_apex_pred_biom,bts_motile_epi_biom,ssl_seak_pup_pred,ssl_seak_np_pred,pti_lat,pti_lon,sb_repsuc_comu_laz,sb_repsuc_tbmu_laz,sb_repsuc_ftsp_laz,sb_repsuc_lsp_laz,secm_mesozoop_dens,secm_cop_comm_size,secm_lg_cal_cop_dens,secm_sm_cal_cop_dens,secm_euph_dens,secm_hyp_amph,secm_gast_dens,chla_biom,chla_peak,secm_pink_cpue,secm_chum_cpue,secm_sock_cpue,secm_coho_cpue,secm_chin_cpue,sst_egoa_coastwatch_junjulaug,stka_herr_matbiom,crg_herr_matbiom,bts_egoa_temp_sum_1to5m,bts_egoa_temp_sum_195to205m,ll_egoa_temp_sum_246to255m,secm_temp_sum_10m,pdo_djf,enso_dj,eke_rega_djf,eke_rega_mam,eke_rega_jja,eke_regb_djf,eke_regb_mam,eke_regb_jja,sbrd_meanhatch_comu_laz,sbrd_meanhatch_tbmu_laz,sbrd_meanhatch_rhau_laz,sbrd_meanhatch_ftsp_laz,sbrd_meanhatch_lhsp_laz,sbrd_meanhatch_gwgu_laz,se_co,se_pi,akclim_goa_n57w137,akclim_goa_n54w134,se_her_roe,akclim_goa_egoa_win_sst,akclim_goa_egoa_spr_sst,bts_pcod,bts_wpol,bts_atf,bts_hal,bts_fsol,bts_rxsol,bts_sblf,bts_sthrny,bts_pop,bts_rocksol,bts_nrcksol,bts_dsol,bts_esol,bts_btrsol,bts_akpl,bts_stflnd,bts_dpssol,bts_sandsol,bts_rerock,bts_nrock,bts_dusky,bts_shrpchrock,bts_shrtrkrrock,bts_sgrock,bts_rbndrock,bts_hlqnrock,bts_yerock,bts_atka,bts_bgskat,gb_hump_crud_br_ja,ssl_west_pup_pred,ssl_west_np_pred,ssl_east_pup_pred,ssl_east_np_pred,ssl_cent_pup_pred,ssl_cent_np_pred,sb_repsuc_comu_chow,sb_repsuc_tbmu_chow,sb_repsuc_hpuff_chow,sb_repsuc_tpuf_chow,sb_repsuc_blk_chow,sb_repsuc_pauk_chow,sb_repsuc_tpuf_amat,sb_repsuc_blk_amat,sb_repsuc_ftsp_amat,foci_ich_ammper,foci_ich_athsto,foci_ich_batspp,foci_ich_gadcha,foci_ich_gadmac,foci_ich_hipela,foci_ich_hipste,foci_ich_lepbil,foci_ich_leppol,foci_ich_plaste,foci_ich_sebspp,foci_ich_steleu,shel_aprmay_winddir,mid_il_capelin,sst_wgoa_coastwatch_junjulaug,bts_wgoa_temp_sum_1to5m,bts_wgoa_temp_sum_195to205m,ll_wgoa_temp_sum_246to255m,swln_temp_fall_0to10m,swln_temp_spr_0to10m,swln_temp_fall_176to226m,swln_temp_spr_176to226m,adfg_lmesh_temp_summ_bttm,swdln_sm_cal_cop_spr,swdln_sm_cal_cop_fll,swdln_lg_cal_cop_spr,swdln_lg_cal_cop_fll,swdln_cop_cmmty_sz_spr,eke_regc_djf,eke_regc_mam,eke_regc_jja,eke_regd_djf,eke_regd_mam,eke_regd_jja,sb_meanhatch_comu_chow,sb_meanhatch_tbmu_chow,sb_meanhatch_paau_chow,sb_meanhatch_hopu_chow,sb_meanhatch_tupu_chow,sb_meanhatch_tupu_chow_1,sb_meanhatch_gwgu_chow,sb_meanhatch_comu_eamt,sb_meanhatch_blkw_eamt,pav_shrimp_cpue,pav_capelin_cpue,pav_eulachon_cpue,pav_p_cod_cpue,pav_pollock_cpue,pav_jelly_cpue,chi_shrimp_cpue,chi_dogfish_cpue,chi_eulachon_cpue,chi_p_cod_cpue,chi_pollock_cpue,chi_jelly_cpue,pws_co,pws_pi,kod_co,kod_pi,ci_co,ci_pi,ch_co,ch_pi,sp_co,akclim_goa_n60w149,akclim_goa_n60w146,akclim_goa_wgoa_win_sst,akclim_goa_wgoa_spr_sst,akclim_gak1_salinity20m_fma,bts_sndsol,npi
1902,NA,NA,NA,NA,58.169,145.246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.39020492,15.52543577,NA,NA,NA,-0.552628289,-0.22462743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.016520199,-0.280361188,NA,NA,NA
1903,NA,NA,NA,NA,49.512,132.481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.15745442,15.45996961,NA,NA,NA,0.376516291,-0.862335496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.979154307,-1.279903438,NA,NA,NA
1904,NA,NA,NA,NA,53.365,146.886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.89667158,14.93404279,NA,NA,NA,-1.659678369,-1.773022034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.886291317,-1.65574802,NA,NA,NA
1905,NA,NA,NA,NA,56.678,144.813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.39881411,15.76660368,NA,NA,NA,-0.257864953,-0.344175551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.350509751,-0.588827434,NA,NA,NA
1906,NA,NA,NA,NA,54.039,144.131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.12764341,16.29823984,NA,NA,NA,0.106499122,0.227876215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.093426718,-0.344336119,NA,NA,NA
1907,NA,NA,NA,NA,51.999,140.949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.03432092,16.425016,NA,NA,NA,-0.971323681,-1.669828145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.312767245,-2.45973698,NA,NA,NA
1908,NA,NA,NA,NA,57.827,143.452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.71402515,16.06654011,NA,NA,NA,-0.621047219,-0.454758356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.224950231,-0.742566126,NA,NA,NA
1909,NA,NA,NA,NA,46.915,134.101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.37865694,16.05890929,NA,NA,NA,-1.709961072,-0.902273166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.999227415,-0.756195115,NA,NA,NA
1910,NA,NA,NA,NA,52.456,136.113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.71219129,16.87931766,NA,NA,NA,-2.10309022,-1.041646859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.86147303,-1.058815611,NA,NA,NA
1911,NA,NA,NA,NA,49.038,133.483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.91031425,16.90706161,NA,NA,NA,-2.166832283,-1.495521949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.533438149,-1.109778811,NA,NA,NA
1912,NA,NA,NA,NA,59.46,140.153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.26592678,17.0461413,NA,NA,NA,-0.458747633,-0.018135502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.411709289,0.076952013,NA,NA,NA
