"Year","SAR","sar.sc","sar_smoothed"
1998,0.0191534968627449,-0.0016190323399609,0.287725036246473
1999,0.0387236381540094,1.33732796195057,0.262703452471876
2000,0.032794544,0.931672086593142,0.237681868697278
2001,0.002031019,-1.17310215695909,0.212660284922681
2002,0.018205128,-0.0665043910786746,0.187638701148084
2003,0.008891033,-0.703754747076521,0.162617117373487
2004,0.006743467,-0.850686595852905,0.13759553359889
2005,0.00362117,-1.06430744412437,0.112573949824293
2006,0.02474261,0.380776072759145,0.087552366049696
2007,0.020484738,0.0894616243029863,0.062530782275099
2008,0.068605259,3.38176421924666,0.0375091985005019
2009,0.032907127,0.93937477341664,0.0124876147259048
2010,0.022334529,0.216020347750794,-0.0125339690486923
2011,0.011778225,-0.506219277464698,-0.0375555528232894
2012,0.023883808,0.322018686214165,-0.0625771365978864
2013,0.028591034,0.644076969306867,-0.0875987203724835
2014,0.009299656,-0.675797639894459,-0.112620304147081
2015,0.00539603,-0.942875338606191,-0.137641887921678
2016,0.011799963,-0.504732010238126,-0.162663471696275
2017,0.007587253,-0.792956571745786,-0.187685055470872
2018,0.009152133,-0.685890846402217,-0.212706639245469
2019,0.010461062,-0.596336738222527,-0.237728223020066
2020,0.026277697,0.485803425093179,-0.262749806794663
2021,0.016787238,-0.163513376628617,-0.28777139056926
