"ncc_predator","ak_predator","model_type","active_ncc_ints","active_ak_ints","aic","bic","cfi","pvalue","cpue_r2","sar_r2"
"x08_dfa_dc_corm_3_ws","x11_ssl_seak_pup_pred","Full","ncc_int_1, ncc_int_2, ncc_int_3","ak_int_1, ak_int_2, ak_int_3",127.212790480854,142.527490275377,0.780158960329297,0.0641429365413857,0.102764372980332,0.681571910287791
"x08_dfa_dc_corm_3_ws","x11_ssl_seak_pup_pred","Pruned","None","ak_int_1, ak_int_2",120.626640769321,131.229125242453,0.9300900986071,0.199483381993389,0.0553717180244327,0.700462963915096
"x08_large_gulls_7_ws","x10_dfa_ssl.est.wholerange_2yrlead","Full","ncc_int_1, ncc_int_2","ak_int_1, ak_int_2, ak_int_3",130.379762022042,143.472271462342,0.704199423049645,0.125759873268842,0.0994474716082108,0.517415159334319
"x08_large_gulls_7_ws","x10_dfa_ssl.est.wholerange_2yrlead","Pruned","None","ak_int_2",124.454071506962,133.182411133829,0.978827732779482,0.352760721833455,0.0248563622972123,0.493393037542341
"x08_large_gulls_7_ws","x10_californian_s_l_2yrlead_ws","Full","ncc_int_1, ncc_int_2","ak_int_1, ak_int_2",132.172549315998,144.174016302939,0.745703043511731,0.200857146187675,0.0994474716082107,0.432407982399605
"x08_large_gulls_7_ws","x10_californian_s_l_2yrlead_ws","Pruned","None","None",136.746911254536,144.993288066972,1,0.717184377124493,0.0385834158617814,0.36766381470884
"x08_large_gulls_7_ws","x10_harbour_s_2yrlead_ws","Full","ncc_int_1, ncc_int_2","ak_int_1, ak_int_2",121.07932125571,133.080788242651,1,0.44661385918847,0.0994474716082107,0.607670527733222
"x08_large_gulls_7_ws","x10_harbour_s_2yrlead_ws","Pruned","None","ak_int_1",118.499516386731,127.227856013598,1,0.469621251475778,0.0248563622972123,0.577704828374971
"x08_large_gulls_7_ws","x10_northern_f_s_2yrlead_ws","Full","ncc_int_1, ncc_int_2","ak_int_1, ak_int_2",129.48476160984,141.486228596781,0.843584611457943,0.246884153202676,0.0994474716082107,0.487938849088549
"x08_large_gulls_7_ws","x10_northern_f_s_2yrlead_ws","Pruned","None","None",136.029240866815,144.275617679251,1,0.640024994614971,0.0385834158617814,0.346242058597173
"x08_large_gulls_7_ws","x15_arrowtoothflounderbiomass_predak","Full","ncc_int_1, ncc_int_2","ak_int_1, ak_int_2, ak_int_3",136.039905935609,150.176551899784,0.611427126487026,0.0252697761886541,0.0854567333279244,0.522175030366839
"x08_large_gulls_7_ws","x15_arrowtoothflounderbiomass_predak","Pruned","None","ak_int_1, ak_int_2, ak_int_3",133.239498577686,145.020036881165,0.744994523706381,0.0721129096413876,0.0385834158617814,0.513913391917409
"x08_large_gulls_7_ws","x15_sablefishbiomass_predak","Full","ncc_int_1, ncc_int_2","ak_int_1, ak_int_2, ak_int_3",124.871720360537,139.008366324712,0.91299816651343,0.224463438054131,0.0854567333279244,0.713926712491389
"x08_large_gulls_7_ws","x15_sablefishbiomass_predak","Pruned","None","ak_int_1",124.346531741298,133.770962384082,0.897416643386094,0.138924128191576,0.0385834158617814,0.601847506801361
"x08_large_gulls_7_ws","x15_sablefishrecruitment_predak","Full","ncc_int_1, ncc_int_2","ak_int_1, ak_int_2, ak_int_3",136.600336443072,150.736982407247,0.730265289154632,0.10009618508318,0.0854567333279244,0.595579736475467
"x08_large_gulls_7_ws","x15_sablefishrecruitment_predak","Pruned","None","ak_int_2, ak_int_3",133.489883715956,144.092368189088,1,0.488495174704806,0.0385834158617814,0.538722999739455
