Var1,Var2,Models_Shared
X09_DFA_HakeAge5Plus,X06_Lmu_IntSprJunH,65
X09_DFA_HakeAge5Plus,X04_Sablefish__JSOES,27
X09_DFA_HakeAge5Plus,X13_ammod_WAI,16
X09_DFA_HakeAge5Plus,X12_DFA_biomassEuphShelfSum,11
X09_DFA_HakeAge5Plus,X08_DFA_DC_corm_3_WS,17
X09_DFA_HakeAge5Plus,X15_sablefishBiomass_predAK,17
X09_DFA_HakeAge5Plus,X15_salmonSharkGoA_predAK,14
X09_DFA_HakeAge5Plus,X12_copepodCom_EGoA,12
X09_DFA_HakeAge5Plus,X13_gadid_WAI,12
X09_DFA_HakeAge5Plus,X08_Large_gulls_7_WS,11
X09_DFA_HakeAge5Plus,X11_DFA_Harbour_p_WS,5
X09_DFA_HakeAge5Plus,X04_PacificPompano_,8
X09_DFA_HakeAge5Plus,X13_hexagram_WAI,8
X09_DFA_HakeAge5Plus,X10_Harbour_s_2yrLead_WS,7
X09_DFA_HakeAge5Plus,X13_hexagram_EAI,6
X09_DFA_HakeAge5Plus,X01_Red_phal_WS,7
X09_DFA_HakeAge5Plus,X09_DFA_ChinAbundSnakeFall,6
X09_DFA_HakeAge5Plus,X02.krill,4
X09_DFA_HakeAge5Plus,X13_DFA_WGOA_DFA_seabirds,4
X09_DFA_HakeAge5Plus,X02_DFA_SeaNettle_,3
X09_DFA_HakeAge5Plus,X10_Northern_f_s_2yrLead_WS,3
X09_DFA_HakeAge5Plus,X01_Red_necked_phal_WS,2
X09_DFA_HakeAge5Plus,X01_Sabine_gull_WS,2
X09_DFA_HakeAge5Plus,X05_herring_NCC,1
X09_DFA_HakeAge5Plus,X05_herring_GAM,1
X09_DFA_HakeAge5Plus,X14_pinkSalmonAsia,1
X06_Lmu_IntSprJunH,X04_Sablefish__JSOES,14
X06_Lmu_IntSprJunH,X12_DFA_biomassEuphShelfSum,14
X06_Lmu_IntSprJunH,X08_DFA_DC_corm_3_WS,9
X06_Lmu_IntSprJunH,X15_sablefishBiomass_predAK,13
X06_Lmu_IntSprJunH,X15_salmonSharkGoA_predAK,13
X06_Lmu_IntSprJunH,X12_copepodCom_EGoA,12
X06_Lmu_IntSprJunH,X13_gadid_WAI,8
X06_Lmu_IntSprJunH,X08_Large_gulls_7_WS,9
X06_Lmu_IntSprJunH,X11_DFA_Harbour_p_WS,6
X06_Lmu_IntSprJunH,X04_PacificPompano_,6
X06_Lmu_IntSprJunH,X13_hexagram_EAI,5
X06_Lmu_IntSprJunH,X13_hexagram_WAI,4
X06_Lmu_IntSprJunH,X01_Red_phal_WS,6
X06_Lmu_IntSprJunH,X09_DFA_ChinAbundSnakeFall,4
X06_Lmu_IntSprJunH,X02.krill,3
X06_Lmu_IntSprJunH,X05_anchovy_GAM,3
X06_Lmu_IntSprJunH,X13_DFA_WGOA_DFA_seabirds,3
