Formula,Predictors,Num_Params,Raw_AIC,Complete_Yrs,Missing_Yrs,Guild_Sources,adjaic2,PreyNCC,PredNCC,PreyAK,PredAK,Nguilds,Growth,Abundance,Has_Growth_Proxy,Has_Abundance_Proxy,Meets_Both
X16_SAR ~ X12_DFA_biomassEuphShelfSum + X13_ammod_WAI + X13_hexagram_EAI + X13_hexagram_WAI,X12_DFA_biomassEuphShelfSum + X13_ammod_WAI + X13_hexagram_EAI + X13_hexagram_WAI,4,30.0587994720117,24,0,"PreyAK, PreyAK, PreyAK, PreyAK",30.0587994720117,0,0,1,0,1,0,0,TRUE,FALSE,FALSE
X16_SAR ~ X11_DFA_Harbour_p_WS + X12_DFA_biomassEuphShelfSum + X12_copepodCom_WGoA + X13_ammod_WAI,X11_DFA_Harbour_p_WS + X12_DFA_biomassEuphShelfSum + X12_copepodCom_WGoA + X13_ammod_WAI,4,30.0775831366771,24,0,"PredNCC, PreyAK, PreyAK, PreyAK",30.0775831366771,0,1,1,0,2,0,0,TRUE,FALSE,FALSE
X16_SAR ~ X04_Sablefish__JSOES + X08_DFA_DC_corm_3_WS + X09_DFA_HakeAge5Plus + X13_ammod_WAI,X04_Sablefish__JSOES + X08_DFA_DC_corm_3_WS + X09_DFA_HakeAge5Plus + X13_ammod_WAI,4,30.2575600988171,24,0,"PreyNCC, PredNCC, PredNCC, PreyAK",30.2575600988171,1,1,1,0,3,0,0,TRUE,TRUE,TRUE
X16_SAR ~ X06_Lmu_IntSprJunH + X05_anchovy_GAM + X12_DFA_biomassEuphShelfSum + X12_copepodCom_EGoA,X06_Lmu_IntSprJunH + X05_anchovy_GAM + X12_DFA_biomassEuphShelfSum + X12_copepodCom_EGoA,4,31.5831387569672,24,0,"Growth, PreyNCC, PreyAK, PreyAK",31.5831387569672,1,0,1,0,3,1,0,TRUE,FALSE,FALSE
X16_SAR ~ X06_Lmu_IntSprJunH + X04_Sablefish__JSOES + X08_DFA_DC_corm_3_WS + X09_DFA_HakeAge5Plus,X06_Lmu_IntSprJunH + X04_Sablefish__JSOES + X08_DFA_DC_corm_3_WS + X09_DFA_HakeAge5Plus,4,32.6799235546913,24,0,"Growth, PreyNCC, PredNCC, PredNCC",32.6799235546913,1,1,0,0,3,1,0,TRUE,TRUE,TRUE
X16_SAR ~ X09_DFA_HakeAge5Plus + X11_DFA_Harbour_p_WS + X12_DFA_biomassEuphShelfSum + X13_ammod_WAI,X09_DFA_HakeAge5Plus + X11_DFA_Harbour_p_WS + X12_DFA_biomassEuphShelfSum + X13_ammod_WAI,4,33.3064676803842,24,0,"PredNCC, PredNCC, PreyAK, PreyAK",33.3064676803842,0,1,1,0,2,0,0,TRUE,TRUE,TRUE
X16_SAR ~ X06_Lmu_IntSprJunH + X09_DFA_HakeAge5Plus + X12_DFA_biomassEuphShelfSum + X12_copepodCom_EGoA,X06_Lmu_IntSprJunH + X09_DFA_HakeAge5Plus + X12_DFA_biomassEuphShelfSum + X12_copepodCom_EGoA,4,33.6672144960165,24,0,"Growth, PredNCC, PreyAK, PreyAK",33.6672144960165,0,1,1,0,3,1,0,TRUE,TRUE,TRUE
X16_SAR ~ X05_anchovy_GAM + X11_DFA_Harbour_p_WS + X12_DFA_biomassEuphShelfSum + X13_ammod_WAI,X05_anchovy_GAM + X11_DFA_Harbour_p_WS + X12_DFA_biomassEuphShelfSum + X13_ammod_WAI,4,33.8908872376328,24,0,"PreyNCC, PredNCC, PreyAK, PreyAK",33.8908872376328,1,1,1,0,3,0,0,TRUE,FALSE,FALSE
X16_SAR ~ X06_Lmu_IntSprJunH + X04_Sablefish__JSOES + X09_DFA_ChinAbundSnakeFall + X09_DFA_HakeAge5Plus,X06_Lmu_IntSprJunH + X04_Sablefish__JSOES + X09_DFA_ChinAbundSnakeFall + X09_DFA_HakeAge5Plus,4,34.1966611567829,24,0,"Growth, PreyNCC, PredNCC, PredNCC",34.1966611567829,1,1,0,0,3,1,0,TRUE,TRUE,TRUE
X16_SAR ~ X06_Lmu_IntSprJunH + X04_PacificPompano_ + X09_DFA_HakeAge5Plus + X12_copepodCom_EGoA,X06_Lmu_IntSprJunH + X04_PacificPompano_ + X09_DFA_HakeAge5Plus + X12_copepodCom_EGoA,4,34.5934312093079,24,0,"Growth, PreyNCC, PredNCC, PreyAK",34.5934312093079,1,1,1,0,4,1,0,TRUE,TRUE,TRUE
X16_SAR ~ X06_Lmu_IntSprJunH + X08_DFA_DC_corm_3_WS + X09_DFA_HakeAge5Plus + X15_salmonSharkGoA_predAK,X06_Lmu_IntSprJunH + X08_DFA_DC_corm_3_WS + X09_DFA_HakeAge5Plus + X15_salmonSharkGoA_predAK,4,35.3708272976061,24,0,"Growth, PredNCC, PredNCC, PredAK",35.3708272976061,0,1,0,1,4,1,0,TRUE,TRUE,TRUE
X16_SAR ~ X06_Lmu_IntSprJunH + X09_DFA_HakeAge5Plus + X12_DFA_biomassEuphShelfSum + X13_hexagram_EAI,X06_Lmu_IntSprJunH + X09_DFA_HakeAge5Plus + X12_DFA_biomassEuphShelfSum + X13_hexagram_EAI,4,35.6149818085373,24,0,"Growth, PredNCC, PreyAK, PreyAK",35.6149818085373,0,1,1,0,3,1,0,TRUE,TRUE,TRUE
X16_SAR ~ X08_Large_gulls_7_WS + X09_DFA_HakeAge5Plus + X13_ammod_WAI + X13_gadid_WAI,X08_Large_gulls_7_WS + X09_DFA_HakeAge5Plus + X13_ammod_WAI + X13_gadid_WAI,4,35.9122413332051,24,0,"PredNCC, PredNCC, PreyAK, PreyAK",35.9122413332051,0,1,1,0,2,0,0,TRUE,TRUE,TRUE
X16_SAR ~ X09_DFA_HakeAge5Plus + X12_DFA_biomassEuphShelfSum + X13_ammod_WAI + X13_hexagram_EAI,X09_DFA_HakeAge5Plus + X12_DFA_biomassEuphShelfSum + X13_ammod_WAI + X13_hexagram_EAI,4,35.9387523307935,24,0,"PredNCC, PreyAK, PreyAK, PreyAK",35.9387523307935,0,1,1,0,2,0,0,TRUE,TRUE,TRUE
X16_SAR ~ X06_Lmu_IntSprJunH + X08_Large_gulls_7_WS + X09_DFA_HakeAge5Plus + X12_DFA_biomassEuphShelfSum,X06_Lmu_IntSprJunH + X08_Large_gulls_7_WS + X09_DFA_HakeAge5Plus + X12_DFA_biomassEuphShelfSum,4,36.0607100896244,24,0,"Growth, PredNCC, PredNCC, PreyAK",36.0607100896244,0,1,1,0,3,1,0,TRUE,TRUE,TRUE
X16_SAR ~ X04_Sablefish__JSOES + X09_DFA_HakeAge5Plus + X13_ammod_WAI + X13_hexagram_WAI,X04_Sablefish__JSOES + X09_DFA_HakeAge5Plus + X13_ammod_WAI + X13_hexagram_WAI,4,36.2123123366302,24,0,"PreyNCC, PredNCC, PreyAK, PreyAK",36.2123123366302,1,1,1,0,3,0,0,TRUE,TRUE,TRUE
X16_SAR ~ X06_Lmu_IntSprJunH + X08_Large_gulls_7_WS + X09_DFA_HakeAge5Plus + X15_sablefishBiomass_predAK,X06_Lmu_IntSprJunH + X08_Large_gulls_7_WS + X09_DFA_HakeAge5Plus + X15_sablefishBiomass_predAK,4,36.2662511797353,24,0,"Growth, PredNCC, PredNCC, PredAK",36.2662511797353,0,1,0,1,4,1,0,TRUE,TRUE,TRUE
X16_SAR ~ X08_Large_gulls_7_WS + X09_DFA_HakeAge5Plus + X13_ammod_WAI + X15_sablefishBiomass_predAK,X08_Large_gulls_7_WS + X09_DFA_HakeAge5Plus + X13_ammod_WAI + X15_sablefishBiomass_predAK,4,36.3834757739204,24,0,"PredNCC, PredNCC, PreyAK, PredAK",36.3834757739204,0,1,1,1,4,0,0,TRUE,TRUE,TRUE
X16_SAR ~ X06_Lmu_IntSprJunH + X09_DFA_HakeAge5Plus + X11_DFA_Harbour_p_WS + X12_DFA_biomassEuphShelfSum,X06_Lmu_IntSprJunH + X09_DFA_HakeAge5Plus + X11_DFA_Harbour_p_WS + X12_DFA_biomassEuphShelfSum,4,36.3966073389756,24,0,"Growth, PredNCC, PredNCC, PreyAK",36.3966073389756,0,1,1,0,3,1,0,TRUE,TRUE,TRUE
X16_SAR ~ X06_Lmu_IntSprJunH + X04_Sablefish__JSOES + X09_DFA_HakeAge5Plus + X13_hexagram_WAI,X06_Lmu_IntSprJunH + X04_Sablefish__JSOES + X09_DFA_HakeAge5Plus + X13_hexagram_WAI,4,36.5163376905287,24,0,"Growth, PreyNCC, PredNCC, PreyAK",36.5163376905287,1,1,1,0,4,1,0,TRUE,TRUE,TRUE
X16_SAR ~ X06_Lmu_IntSprJunH + X09_DFA_HakeAge5Plus + X12_copepodCom_EGoA + X13_gadid_WAI,X06_Lmu_IntSprJunH + X09_DFA_HakeAge5Plus + X12_copepodCom_EGoA + X13_gadid_WAI,4,36.6121027122818,24,0,"Growth, PredNCC, PreyAK, PreyAK",36.6121027122818,0,1,1,0,3,1,0,TRUE,TRUE,TRUE
X16_SAR ~ X06_Lmu_IntSprJunH + X08_Large_gulls_7_WS + X09_DFA_HakeAge5Plus + X13_gadid_WAI,X06_Lmu_IntSprJunH + X08_Large_gulls_7_WS + X09_DFA_HakeAge5Plus + X13_gadid_WAI,4,36.8021813654913,24,0,"Growth, PredNCC, PredNCC, PreyAK",36.8021813654913,0,1,1,0,3,1,0,TRUE,TRUE,TRUE
