"","SEMnode","node_id","Lisaname","var","guildname"
"1","PreyNCC","X01","X01_Cassin_s_aukl_WS","01.ZooPreyNCC_JSOES_0_smoothed","X01.ZooPreyNCC_JSOES_0_smoothed"
"2","PreyNCC","X01","X01_DFA_sumPreyOfPrey_planktonJun","01.ZooPreyNCC_JSOES_DFA1","X01.ZooPreyNCC_JSOES_DFA1"
"3","PreyNCC","X01","X01_NHLlogSum_win_05","01.ZooPreyNCC_NHL_0_smoothed","X01.ZooPreyNCC_NHL_0_smoothed"
"4","PreyNCC","X01","X01_NHLlogSum_win_15","01.ZooPreyNCC_NHL_1_smoothed","X01.ZooPreyNCC_NHL_1_smoothed"
"5","PreyNCC","X01","X01_NHLlogSum_win_25","01.ZooPreyNCC_NHL_2_smoothed","X01.ZooPreyNCC_NHL_2_smoothed"
"6","PreyNCC","X01","X01_Red_necked_phal_WS","01.ZooPreyNCC_WPbirds_0_smoothed","X01.ZooPreyNCC_WPbirds_0_smoothed"
"7","PreyNCC","X01","X01_Red_phal_WS","01.ZooPreyNCC_WPbirds_smoothed","X01.ZooPreyNCC_WPbirds_smoothed"
"8","PreyNCC","X01","X01_Sabine_gull_WS","01.ZooPreyNCC_WPbirds_1_smoothed","X01.ZooPreyNCC_WPbirds_1_smoothed"
"9","PreyNCC","X01","X01_habCompInd","01.ZooPreyNCC_JSOES_1_smoothed","X01.ZooPreyNCC_JSOES_1_smoothed"
"10","PreyNCC","X02","X02.krill","01.ZooPreyNCC_NHL_DFA1","X01.ZooPreyNCC_NHL_DFA1"
"11","PreyNCC","X02","X02_DFA_SeaNettle_","02.CompJellyNCC_DFA1","X02.CompJellyNCC_DFA1"
"12","PreyNCC","X03","X03_DFA_comMurreDietHerrSard_Yaquina_NCC","03.FishPreyNCC_DFA1","X03.FishPreyNCC_DFA1"
"13","PreyNCC","X03","X03_HakeAge1","03.FishPreyNCC_0_smoothed","X03.FishPreyNCC_0_smoothed"
"14","PreyNCC","X04","X04_CaliforniaMarketSquid_","04.CompFishNCC_0_smoothed","X04.CompFishNCC_0_smoothed"
"15","PreyNCC","X04","X04_PacificPompano_","04.CompFishNCC_1_smoothed","X04.CompFishNCC_1_smoothed"
"16","PreyNCC","X04","X04_Sablefish__JSOES","04.CompFishNCC_2_smoothed","X04.CompFishNCC_2_smoothed"
"17","PreyNCC","X04","X04_marketsquid_GAM","04.CompFishNCC_smoothed","X04.CompFishNCC_smoothed"
"18","PreyNCC","X05","X05_DFA_abundSardine","05.ForageFishNCC_DFA1","X05.ForageFishNCC_DFA1"
"19","PreyNCC","X05","X05_anchovy_GAM","05.ForageFishNCC_0_smoothed","X05.ForageFishNCC_0_smoothed"
"20","PreyNCC","X05","X05_herring_GAM","05.ForageFishNCC_1_smoothed","X05.ForageFishNCC_1_smoothed"
