"","node","indNames","total_count","percent_occurrence","node_id","Lisaname","order","SEMnode","maxImport","DAG1A_long","DAG1A_short","DAG1B_long","DAG1B_short","DAG1C_long","DAG1C_short","Trophic","Region"
"1","GrowthIndNames","06.Cond1NCC_DFA1",44,84.6,"X06","X06_DFA_IGF_mu",0.5,"Growth",1,1,0.909,1,0.935,0.017,0,"Growth","NCC"
"2","GrowthIndNames","06.Cond1NCC_0_smoothed",5,9.6,"X06","X06_Lmu_IntSprJunH",0.5,"Growth",0.98,0,0.091,0,0.065,0.983,0,"Growth","NCC"
"3","GrowthIndNames","06.Cond1NCC_2_smoothed",3,5.8,"X06","X06_StomFull_May",0.5,"Growth",1,NA,0,NA,0,NA,1,"Growth","NCC"
"4","PreyNCCindNames","05.ForageFishNCC_DFA1",44,84.6,"X05","X05_DFA_abundSardine",1,"PreyNCC",0.97,0.973,0.837,0.973,0.852,0.013,0,"Prey","NCC"
"5","PreyNCCindNames","01.ZooPreyNCC_JSOES_1_smoothed",3,5.8,"X01","X01_habCompInd",1,"PreyNCC",0.87,0,0,0,0,0.216,0.874,"Prey","NCC"
"6","PreyNCCindNames","04.CompFishNCC_smoothed",3,5.8,"X04","X04_marketsquid_GAM",1,"PreyNCC",0.37,0.027,0.005,0.027,0.005,0.369,0.108,"Prey","NCC"
"7","PreyNCCindNames","05.ForageFishNCC_1_smoothed",2,3.8,"X05","X05_herring_GAM",1,"PreyNCC",0.28,0,0,0,0,0.278,0,"Prey","NCC"
"8","PredNCCindNames","09.PredFishNCC_b_DFA1",28,53.8,"X09","X09_DFA_HakeAge5Plus",2,"PredNCC",0.79,0.742,0.326,0.792,0.436,0.788,0,"Predator","NCC"
"9","PredNCCindNames","08.PredBirdNCC_b_0_smoothed",19,36.5,"X08","X08_commonMurre_JSOES",2,"PredNCC",1,NA,0.483,NA,0.443,NA,1,"Predator","NCC"
"10","PredNCCindNames","08.PredBirdNCC_b_2_smoothed",5,9.6,"X08","X08_Loons_8_WS",2,"PredNCC",0.22,0.222,0.145,0.189,0.104,0.042,0,"Predator","NCC"
"11","PreyAKindNames","12.ZooPreyAK_DFA1",17,32.7,"X12","X12_DFA_biomassEuphShelfSum",3,"PreyAK",0.93,0.241,0.151,0.932,0.386,0.025,0.017,"Prey","BC/AK"
"12","PreyAKindNames","12.ZooPreyAK_1_smoothed",8,15.4,"X12","X12_copepodCom_EGoA",3,"PreyAK",0.69,0.031,0.083,0.004,0.047,0.691,0.001,"Prey","BC/AK"
"13","PreyAKindNames","12.ZooPreyAK_0_smoothed",7,13.5,"X12","X12_copepodBiomass_WGoA",3,"PreyAK",0.32,0.255,0.322,0.022,0.138,0.024,0.027,"Prey","BC/AK"
"14","PreyAKindNames","13.FishPreyAK_b_4_smoothed",6,11.5,"X13","X13_pollockBiomassGoAage3plus_predAK",3,"PreyAK",0.15,0.07,0.019,0.006,0.151,0.014,0.002,"Prey","BC/AK"
"15","PreyAKindNames","13.FishPreyAK_b_2_smoothed",5,9.6,"X13","X13_hexagram_EAI",3,"PreyAK",0.16,0.105,0.164,0.01,0.068,0.026,0.001,"Prey","BC/AK"
"16","PreyAKindNames","13.FishPreyAK_b_DFA1",3,5.8,"X13","X13_DFA_WGOA_DFA_seabirds",3,"PreyAK",0.09,0.093,0.064,0.009,0.04,0.01,0.001,"Prey","BC/AK"
"17","PreyAKindNames","13.FishPreyAK_b_1_smoothed",2,3.8,"X13","X13_gadid_WAI",3,"PreyAK",0.06,0.018,0.011,0.002,0.059,0.017,0.001,"Prey","BC/AK"
"18","PreyAKindNames","13.FishPreyAK_DFA1",1,1.9,"X13","X13_DFA_WGOA_DFA_midTrophic",3,"PreyAK",0.14,0.013,0.033,0.002,0.014,0.013,0.135,"Prey","BC/AK"
"19","PreyAKindNames","13.FishPreyAK_b_3_smoothed",1,1.9,"X13","X13_hexagram_WAI",3,"PreyAK",0.04,0.045,0.009,0.004,0.019,0.038,0.002,"Prey","BC/AK"
"20","PreyAKindNames","14.CompAK_0_smoothed",1,1.9,"X14","X14_pinkSalmon",3,"PreyAK",0.52,0.015,0.016,0.001,0.01,0.064,0.519,"Prey","BC/AK"
"21","PreyAKindNames","14.CompAK_smoothed",1,1.9,"X14","X14_pinkSalmonAsia",3,"PreyAK",0.17,0.029,0.025,0.002,0.013,0.033,0.166,"Prey","BC/AK"
"22","PredAKindNames","10.PredMammalNCC_1_smoothed",21,40.4,"X10","X10_Harbor_seal_CR_2yrLead",4,"PredAK",1,0.131,0.771,0.012,0.421,0.045,1,"Predator","BC/AK"
"23","PredAKindNames","15.PredFishAK_b_DFA1",13,25,"X15","X15_DFA_sleeperSharkBSAI_predAK",4,"PredAK",0.3,0.227,0.153,0.019,0.303,0.11,0,"Predator","BC/AK"
"24","PredAKindNames","15.PredFishAK_3_smoothed",4,7.7,"X15","X15_PacificCodBiomass_predAK",4,"PredAK",0.7,0.029,0.001,0.705,0.108,0.058,0,"Predator","BC/AK"
"25","PredAKindNames","10.PredMammalNCC_2_smoothed",3,5.8,"X10","X10_Harbour_s_2yrLead_WS",4,"PredAK",0.22,0.222,0.002,0.028,0.001,0.028,0,"Predator","BC/AK"
