model_id,rhs,Lisaname,Times_Selected_In_Top100,Times_Positive,Pct_Positive,Pct_Negative,Times_Significant,Pct_Significant,Mean_Estimate
DAG1B_long,PredAK,X15_PacificCodBiomass_predAK,12,12,100,0,10,83.3,0.392
DAG1B_long,PredAK,X10_Harbor_seal_CR_2yrLead,11,11,100,0,7,63.6,0.297
DAG1B_long,PredAK,X15_halibutBiomassAge8plus_2yrLead_predAK,11,11,100,0,9,81.8,0.477
DAG1B_long,PredAK,X15_sablefishBiomass_predAK,6,4,66.7,33.3,3,50,0.23
DAG1B_long,PredAK,X15_ArrowtoothFlounderBiomass_predAK,5,2,40,60,1,20,-0.283
DAG1B_long,PredAK,X15_sablefishRecruitment_predAK,5,2,40,60,1,20,-0.074
DAG1B_long,PredAK,X10_Northern_f_s_2yrLead_WS,4,4,100,0,1,25,0.15
DAG1B_long,PredAK,X15_salmonSharkGoA_predAK,4,2,50,50,0,0,-0.006
DAG1B_long,PredAK,X15_sharkCatchGoA_predAK,4,4,100,0,1,25,0.161
DAG1B_long,PredAK,X15_spinyDogfishGoA_predAK,4,1,25,75,0,0,-0.217
DAG1B_long,PredAK,X10_Californian_s_l_2yrLead_WS,3,3,100,0,0,0,0.076
DAG1B_long,PredAK,X10_DFA_ssl.est.wholerange_2yrLead,3,0,0,100,0,0,-0.238
DAG1B_long,PredNCC,X09_DFA_HakeAge5Plus,63,0,0,100,63,100,-0.613
DAG1B_long,PredNCC,X08_Loons_8_WS,27,27,100,0,27,100,0.545
DAG1B_long,PredNCC,X08_DFA_DC_corm_3_WS,2,0,0,100,0,0,-0.228
DAG1B_long,PredNCC,X08_Large_gulls_7_WS,2,2,100,0,0,0,0.196
DAG1B_long,PredNCC,X09_DFA_ChinAbundSnakeFall,2,0,0,100,0,0,-0.144
DAG1B_long,PredNCC,X11_DFA_Harbour_p_WS,2,2,100,0,0,0,0.011
DAG1B_long,PredNCC,X11_Harbor_seal_CR,2,2,100,0,0,0,0.094
DAG1B_long,PreyAK,X12_DFA_biomassEuphShelfSum,45,0,0,100,45,100,-0.617
DAG1B_long,PreyAK,X12_copepodBiomass_WGoA,19,0,0,100,19,100,-0.441
DAG1B_long,PreyAK,X13_hexagram_EAI,6,0,0,100,5,83.3,-0.313
DAG1B_long,PreyAK,X13_DFA_WGOA_DFA_seabirds,5,0,0,100,4,80,-0.51
DAG1B_long,PreyAK,X12_copepodCom_EGoA,4,4,100,0,3,75,0.28
DAG1B_long,PreyAK,X13_ammod_WAI,4,0,0,100,1,25,-0.254
DAG1B_long,PreyAK,X13_pollockBiomassGoAage3plus_predAK,4,0,0,100,2,50,-0.426
DAG1B_long,PreyAK,X14_pinkSalmonNorthAmerica,4,0,0,100,1,25,-0.237
DAG1B_long,PreyAK,X13_hexagram_WAI,3,3,100,0,2,66.7,0.316
DAG1B_long,PreyAK,X13_gadid_WAI,2,2,100,0,0,0,0.159
DAG1B_long,PreyAK,X14_pinkSalmonAsia,2,2,100,0,1,50,0.408
DAG1B_long,PreyAK,X12_copepodCom_WGoA,1,0,0,100,0,0,-0.202
DAG1B_long,PreyAK,X13_DFA_WGOA_DFA_midTrophic,1,0,0,100,1,100,-1.079
DAG1B_long,PreyNCC,X05_DFA_abundSardine,93,0,0,100,93,100,-0.934
DAG1B_long,PreyNCC,X04_marketsquid_GAM,7,7,100,0,7,100,0.91
DAG1B_short,Abundance,X07_DFA_cpue_IntSprJunHW,100,100,100,0,85,85,0.326
DAG1B_short,Growth,X06_DFA_IGF_mu,88,62,70.5,29.5,50,56.8,0.1
DAG1B_short,Growth,X06_Lmu_IntSprJunH,12,10,83.3,16.700000000000003,4,33.3,0.224
DAG1B_short,PredAK,X10_Harbor_seal_CR_2yrLead,51,51,100,0,51,100,0.535
DAG1B_short,PredAK,X15_DFA_sleeperSharkBSAI_predAK,22,0,0,100,22,100,-1.139
DAG1B_short,PredAK,X15_spinyDogfishBSAI_predAK,9,9,100,0,9,100,0.452
DAG1B_short,PredAK,X15_PacificCodBiomass_predAK,5,5,100,0,5,100,0.419
DAG1B_short,PredAK,X15_sablefishRecruitment_predAK,5,0,0,100,5,100,-0.466
DAG1B_short,PredAK,X15_sablefishBiomass_predAK,3,3,100,0,3,100,0.82
DAG1B_short,PredAK,X15_sharkCatchGoA_predAK,2,0,0,100,2,100,-0.398
DAG1B_short,PredAK,X15_spinyDogfishGoA_predAK,2,0,0,100,2,100,-0.421
DAG1B_short,PredAK,X15_ArrowtoothFlounderBiomass_predAK,1,1,100,0,1,100,0.603
DAG1B_short,PredNCC,X08_commonMurre_JSOES,43,43,100,0,43,100,0.67
DAG1B_short,PredNCC,X09_DFA_HakeAge5Plus,41,0,0,100,41,100,-0.67
DAG1B_short,PredNCC,X08_Loons_8_WS,16,16,100,0,16,100,0.599
DAG1B_short,PreyAK,X12_DFA_biomassEuphShelfSum,36,0,0,100,36,100,-0.689
DAG1B_short,PreyAK,X12_copepodBiomass_WGoA,11,0,0,100,11,100,-0.318
DAG1B_short,PreyAK,X13_pollockBiomassGoAage3plus_predAK,10,0,0,100,5,50,-0.369
DAG1B_short,PreyAK,X12_copepodCom_EGoA,7,7,100,0,3,42.9,0.276
DAG1B_short,PreyAK,X13_gadid_WAI,7,7,100,0,5,71.4,0.284
DAG1B_short,PreyAK,X13_hexagram_EAI,7,0,0,100,7,100,-0.222
