"Formula","Predictors","Num_Params","Raw_AIC","Complete_Yrs","Missing_Yrs","Guild_Sources","adjaic2"
"X16_SAR ~ X06_Lmu_IntSprJunH + X12_DFA_biomassEuphShelfSum + X12_copepodCom_EGoA + X15_spinyDogfishBSAI_predAK","X06_Lmu_IntSprJunH + X12_DFA_biomassEuphShelfSum + X12_copepodCom_EGoA + X15_spinyDogfishBSAI_predAK",4,24.7371014886797,19,5,"Growth, PreyAK, PreyAK, PredAK",34.7371014886797
"X16_SAR ~ X06_DFA_IGF_mu + X04_Sablefish__JSOES + X09_DFA_HakeAge5Plus + X09_chilipepper","X06_DFA_IGF_mu + X04_Sablefish__JSOES + X09_DFA_HakeAge5Plus + X09_chilipepper",4,24.7581638122828,19,5,"Growth, PreyNCC, PredNCC, PredNCC",34.7581638122828
"X16_SAR ~ X06_Lmu_IntSprJunH + X01_habCompInd + X09_canaryRockfish + X12_copepodCom_EGoA","X06_Lmu_IntSprJunH + X01_habCompInd + X09_canaryRockfish + X12_copepodCom_EGoA",4,24.8307971446779,19,5,"Growth, PreyNCC, PredNCC, PreyAK",34.8307971446779
"X16_SAR ~ X06_Lmu_IntSprJunH + X01_Cassin_s_aukl_WS + X01_habCompInd + X12_copepodCom_EGoA","X06_Lmu_IntSprJunH + X01_Cassin_s_aukl_WS + X01_habCompInd + X12_copepodCom_EGoA",4,34.8510860485988,24,0,"Growth, PreyNCC, PreyNCC, PreyAK",34.8510860485988
"X16_SAR ~ X06_Lmu_IntSprJunH + X01_Red_phal_WS + X01_habCompInd + X09_DFA_ChinAbundSnakeFall","X06_Lmu_IntSprJunH + X01_Red_phal_WS + X01_habCompInd + X09_DFA_ChinAbundSnakeFall",4,35.0100018400625,24,0,"Growth, PreyNCC, PreyNCC, PredNCC",35.0100018400625
"X16_SAR ~ X06_Lmu_IntSprJunH + X01_habCompInd + X03_DFA_comMurreDietHerrSard_Yaquina_NCC + X09_canaryRockfish","X06_Lmu_IntSprJunH + X01_habCompInd + X03_DFA_comMurreDietHerrSard_Yaquina_NCC + X09_canaryRockfish",4,25.1043423311925,19,5,"Growth, PreyNCC, PreyNCC, PredNCC",35.1043423311925
"X16_SAR ~ X06_Lmu_IntSprJunH + X01_habCompInd + X03_HakeAge1 + X08_DFA_DC_corm_3_WS","X06_Lmu_IntSprJunH + X01_habCompInd + X03_HakeAge1 + X08_DFA_DC_corm_3_WS",4,35.1539357010495,24,0,"Growth, PreyNCC, PreyNCC, PredNCC",35.1539357010495
"X16_SAR ~ X06_Lmu_IntSprJunH + X01_habCompInd + X04_Sablefish__JSOES + X15_salmonSharkBSAI_predAK","X06_Lmu_IntSprJunH + X01_habCompInd + X04_Sablefish__JSOES + X15_salmonSharkBSAI_predAK",4,25.1604046956753,19,5,"Growth, PreyNCC, PreyNCC, PredAK",35.1604046956753
"X16_SAR ~ X06_Lmu_IntSprJunH + X01_habCompInd + X13_hexagram_WAI + X14_pinkSalmonNorthAmerica","X06_Lmu_IntSprJunH + X01_habCompInd + X13_hexagram_WAI + X14_pinkSalmonNorthAmerica",4,35.1696917757504,24,0,"Growth, PreyNCC, PreyAK, PreyAK",35.1696917757504
"X16_SAR ~ X06_Lmu_IntSprJunH + X01_habCompInd + X09_DFA_ChinAbundSnakeFall + X15_PacificCodBiomass_predAK","X06_Lmu_IntSprJunH + X01_habCompInd + X09_DFA_ChinAbundSnakeFall + X15_PacificCodBiomass_predAK",4,35.1925494886263,24,0,"Growth, PreyNCC, PredNCC, PredAK",35.1925494886263
"X16_SAR ~ X06_Lmu_IntSprJunH + X06_StomFull_May + X01_habCompInd + X13_hexagram_WAI","X06_Lmu_IntSprJunH + X06_StomFull_May + X01_habCompInd + X13_hexagram_WAI",4,33.240449462331,23,1,"Growth, Growth, PreyNCC, PreyAK",35.240449462331
"X16_SAR ~ X06_StomFull_May + X01_habCompInd + X12_copepodCom_EGoA + X15_salmonSharkBSAI_predAK","X06_StomFull_May + X01_habCompInd + X12_copepodCom_EGoA + X15_salmonSharkBSAI_predAK",4,25.2561894790743,19,5,"Growth, PreyNCC, PreyAK, PredAK",35.2561894790743
"X16_SAR ~ X06_Lmu_IntSprJunH + X01_habCompInd + X08_DFA_DC_corm_3_WS + X15_sablefishRecruitment_predAK","X06_Lmu_IntSprJunH + X01_habCompInd + X08_DFA_DC_corm_3_WS + X15_sablefishRecruitment_predAK",4,35.2591285921471,24,0,"Growth, PreyNCC, PredNCC, PredAK",35.2591285921471
"X16_SAR ~ X06_Lmu_IntSprJunH + X01_habCompInd + X04_Sablefish__JSOES + X09_DFA_ChinAbundSnakeFall","X06_Lmu_IntSprJunH + X01_habCompInd + X04_Sablefish__JSOES + X09_DFA_ChinAbundSnakeFall",4,35.2613533025763,24,0,"Growth, PreyNCC, PreyNCC, PredNCC",35.2613533025763
"X16_SAR ~ X06_Lmu_IntSprJunH + X03_DFA_comMurreDietHerrSard_Yaquina_NCC + X12_DFA_biomassEuphShelfSum + X15_spinyDogfishBSAI_predAK","X06_Lmu_IntSprJunH + X03_DFA_comMurreDietHerrSard_Yaquina_NCC + X12_DFA_biomassEuphShelfSum + X15_spinyDogfishBSAI_predAK",4,25.2679494767256,19,5,"Growth, PreyNCC, PreyAK, PredAK",35.2679494767256
"X16_SAR ~ X06_Lmu_IntSprJunH + X04_Sablefish__JSOES + X09_DFA_HakeAge5Plus + X09_canaryRockfish","X06_Lmu_IntSprJunH + X04_Sablefish__JSOES + X09_DFA_HakeAge5Plus + X09_canaryRockfish",4,25.2937583130848,19,5,"Growth, PreyNCC, PredNCC, PredNCC",35.2937583130848
"X16_SAR ~ X06_StomFull_May + X01_habCompInd + X09_chilipepper + X15_halibutBiomassAge8plus_2yrLead_predAK","X06_StomFull_May + X01_habCompInd + X09_chilipepper + X15_halibutBiomassAge8plus_2yrLead_predAK",4,25.2998270965825,19,5,"Growth, PreyNCC, PredNCC, PredAK",35.2998270965825
"X16_SAR ~ X06_Lmu_IntSprJunH + X08_DFA_DC_corm_3_WS + X09_DFA_HakeAge5Plus + X15_salmonSharkGoA_predAK","X06_Lmu_IntSprJunH + X08_DFA_DC_corm_3_WS + X09_DFA_HakeAge5Plus + X15_salmonSharkGoA_predAK",4,35.3708272976061,24,0,"Growth, PredNCC, PredNCC, PredAK",35.3708272976061
"X16_SAR ~ X06_Lmu_IntSprJunH + X01_habCompInd + X02_DFA_SeaNettle_ + X09_DFA_ChinAbundSnakeFall","X06_Lmu_IntSprJunH + X01_habCompInd + X02_DFA_SeaNettle_ + X09_DFA_ChinAbundSnakeFall",4,35.4033457865785,24,0,"Growth, PreyNCC, PreyNCC, PredNCC",35.4033457865785
"X16_SAR ~ X06_Lmu_IntSprJunH + X01_NHLlogSum_win_15 + X01_habCompInd + X03_HakeAge1","X06_Lmu_IntSprJunH + X01_NHLlogSum_win_15 + X01_habCompInd + X03_HakeAge1",4,29.4454497860533,21,3,"Growth, PreyNCC, PreyNCC, PreyNCC",35.4454497860533
"X16_SAR ~ X06_Lmu_IntSprJunH + X04_Sablefish__JSOES + X09_DFA_HakeAge5Plus + X09_chilipepper","X06_Lmu_IntSprJunH + X04_Sablefish__JSOES + X09_DFA_HakeAge5Plus + X09_chilipepper",4,25.4535033046627,19,5,"Growth, PreyNCC, PredNCC, PredNCC",35.4535033046627
"X16_SAR ~ X06_Lmu_IntSprJunH + X01_Cassin_s_aukl_WS + X01_habCompInd + X11_DFA_Harbour_p_WS","X06_Lmu_IntSprJunH + X01_Cassin_s_aukl_WS + X01_habCompInd + X11_DFA_Harbour_p_WS",4,35.4769232777602,24,0,"Growth, PreyNCC, PreyNCC, PredNCC",35.4769232777602
"X16_SAR ~ X06_Lmu_IntSprJunH + X01_habCompInd + X04_CaliforniaMarketSquid_ + X08_DFA_DC_corm_3_WS","X06_Lmu_IntSprJunH + X01_habCompInd + X04_CaliforniaMarketSquid_ + X08_DFA_DC_corm_3_WS",4,35.4958115057207,24,0,"Growth, PreyNCC, PreyNCC, PredNCC",35.4958115057207
"X16_SAR ~ X06_StomFull_May + X12_DFA_biomassEuphShelfSum + X15_DFA_sleeperSharkBSAI_predAK + X15_spinyDogfishBSAI_predAK","X06_StomFull_May + X12_DFA_biomassEuphShelfSum + X15_DFA_sleeperSharkBSAI_predAK + X15_spinyDogfishBSAI_predAK",4,25.4968941691978,19,5,"Growth, PreyAK, PredAK, PredAK",35.4968941691978
"X16_SAR ~ X06_Lmu_IntSprJunH + X01_habCompInd + X08_DFA_DC_corm_3_WS + X15_sablefishBiomass_predAK","X06_Lmu_IntSprJunH + X01_habCompInd + X08_DFA_DC_corm_3_WS + X15_sablefishBiomass_predAK",4,35.5540665483649,24,0,"Growth, PreyNCC, PredNCC, PredAK",35.5540665483649
"X16_SAR ~ X06_Lmu_IntSprJunH + X01_habCompInd + X08_DFA_DC_corm_3_WS + X13_DFA_WGOA_DFA_seabirds","X06_Lmu_IntSprJunH + X01_habCompInd + X08_DFA_DC_corm_3_WS + X13_DFA_WGOA_DFA_seabirds",4,35.572827968734,24,0,"Growth, PreyNCC, PredNCC, PreyAK",35.572827968734
