"Lisaname","Dim1","Dim2","SEMnode","SAR_Correlation"
"X01_Cassin_s_aukl_WS",-0.173931238936451,-0.159882490629195,"PreyNCC",-0.198063696571133
"X01_habCompInd",0.130271656410475,-0.0887709131777363,"PreyNCC",0.602008151136507
"X01_DFA_sumPreyOfPrey_planktonJun",-0.410500502530766,-0.139736820830935,"PreyNCC",-0.0121432789102498
"X01_NHLlogSum_win_05",-0.268343582042594,-0.180494024117237,"PreyNCC",-0.0335940645311164
"X01_NHLlogSum_win_15",0.248354437136014,-0.240121140883468,"PreyNCC",0.157122306777339
"X01_NHLlogSum_win_25",0.222409363980263,0.301934307209498,"PreyNCC",0.373829664873402
"X02.krill",0.250034733840012,0.149113063390708,"PreyNCC",0.45033355356735
"X01_Red_necked_phal_WS",-0.012095005930447,0.232577964213856,"PreyNCC",0.170160699554938
"X01_Sabine_gull_WS",0.348369703975228,-0.0327650809970273,"PreyNCC",0.0360513285326982
"X01_Red_phal_WS",0.200870525559539,-0.118065690561844,"PreyNCC",0.0621470531817645
"X02_DFA_SeaNettle_",-0.144088888415154,0.0742203289684056,"PreyNCC",-0.0565220980283802
"X03_HakeAge1",0.262297437086909,0.264094646568206,"PreyNCC",0.332694025646514
"X03_DFA_comMurreDietHerrSard_Yaquina_NCC",-0.109189921297864,0.144438827653781,"PreyNCC",-0.221170963162002
"X04_CaliforniaMarketSquid_",0.00539783271965423,-0.394058399770414,"PreyNCC",-0.163381310494669
"X04_PacificPompano_",-0.235543442301498,-0.0587910554921447,"PreyNCC",-0.344325312209188
"X04_Sablefish__JSOES",0.0761937290219394,-0.195057382012594,"PreyNCC",0.187994576363301
"X04_marketsquid_GAM",-0.396514069446817,-0.16590115999084,"PreyNCC",-0.0859388852371619
"X05_anchovy_GAM",0.292802639973133,-0.347008098766582,"PreyNCC",-0.224956931915332
"X05_herring_GAM",-0.421477061985372,0.034788363742113,"PreyNCC",-0.013136552315185
"X05_herring_NCC",0.293097722630677,0.195885964787447,"PreyNCC",-0.0397044983488567
"X05_DFA_abundSardine",-0.38330597904189,-0.120820546727137,"PreyNCC",-0.0239236488391262
"X06_Lmu_IntSprJunH",-0.354090188551884,0.0875213407118777,"Growth",0.360198758568217
"X06_Lmu_IntSprMayW",-0.0518359386484632,0.345801560074243,"Growth",0.11460199115931
"X06_StomFull_May",0.387584494367041,-0.121419522032299,"Growth",-0.11980974189863
"X06_DFA_IGF_mu",-0.386001915774675,0.0462224260297361,"Growth",0.108177533317073
"X07_DFA_cpue_IntSprJunHW",0.224314349113067,-0.155836317092568,"Abundance",0.548621147936252
"X08_commonMurre_JSOES",0.0390965845572767,-0.170057993164,"PredNCC",0.481682121689763
"X08_Large_gulls_7_WS",0.268072068995421,0.113481387387441,"PredNCC",0.261011255598748
"X08_Loons_8_WS",0.290237631971226,-0.0377387967345903,"PredNCC",0.428699722954973
"X08_DFA_DC_corm_3_WS",0.0214053050503643,0.320534422664602,"PredNCC",-0.232669847494921
"X09_canaryRockfish",0.0188032087220003,0.287355975825767,"PredNCC",-0.175561081339781
"X09_chilipepper",0.111535278366596,-0.258903776795712,"PredNCC",-0.124046102161227
