Model,Node,Node2,Indicator,Type,Count,Pct_Pos,Pct_Neg,Hyp,OK,Pos_Neigh,Neg_Neigh,Explanation,order
DAG1A_long,Abundance,Abundance,X07_DFA_cpue_IntSprJunHW,DFA,100,100,0,Positive,1,"X01_habCompInd (0.52), X08_Loons_8_WS (0.54)","X09_DFA_HakeAge5Plus (-0.61), X04_Sablefish__JSOES (-0.23), X06_StomFull_May (-0.3)",Better NCC survival carries through AK stage,0
DAG1A_short,Abundance,Abundance,X07_DFA_cpue_IntSprJunHW,DFA,100,100,0,Positive,1,"X01_habCompInd (0.52), X08_Loons_8_WS (0.54)","X09_DFA_HakeAge5Plus (-0.61), X04_Sablefish__JSOES (-0.23), X06_StomFull_May (-0.3)",Better NCC survival carries through AK stage,0
DAG1B_long,Abundance,Abundance,X07_DFA_cpue_IntSprJunHW,DFA,100,100,0,Positive,1,"X01_habCompInd (0.52), X08_Loons_8_WS (0.54)","X09_DFA_HakeAge5Plus (-0.61), X04_Sablefish__JSOES (-0.23), X06_StomFull_May (-0.3)",Better NCC survival carries through AK stage,0
DAG1B_short,Abundance,Abundance,X07_DFA_cpue_IntSprJunHW,DFA,100,100,0,Positive,1,"X01_habCompInd (0.52), X08_Loons_8_WS (0.54)","X09_DFA_HakeAge5Plus (-0.61), X04_Sablefish__JSOES (-0.23), X06_StomFull_May (-0.3)",Better NCC survival carries through AK stage,0
DAG1B_long,Growth,Growth,X06_DFA_IGF_mu,DFA,100,58,42,Positive,1,"X10_DFA_ssl.est.wholerange_2yrLead (0.9), X05_herring_GAM (0.85), X06_Lmu_IntSprJunH (0.71), X04_PacificPompano_ (0.59), X01_DFA_sumPreyOfPrey_planktonJun (0.94), X14_pinkSalmon (0.74), X13_pollockBiomassGoAage3plus_predAK (0.78)","X15_halibutBiomassAge8plus_2yrLead_predAK (-0.76), X13_ammod_WAI (-0.67), X05_DFA_abundSardine (-0.93)","Positive & significant (1B, 1C) or negative but NS (1A)",0.5
DAG1B_short,Growth,Growth,X06_DFA_IGF_mu,DFA,88,70.5,29.5,Positive,1,"X10_DFA_ssl.est.wholerange_2yrLead (0.9), X05_herring_GAM (0.85), X06_Lmu_IntSprJunH (0.71), X04_PacificPompano_ (0.59), X01_DFA_sumPreyOfPrey_planktonJun (0.94), X14_pinkSalmon (0.74), X13_pollockBiomassGoAage3plus_predAK (0.78)","X15_halibutBiomassAge8plus_2yrLead_predAK (-0.76), X13_ammod_WAI (-0.67), X05_DFA_abundSardine (-0.93)","Positive & significant (1B, 1C) or negative but NS (1A)",0.5
DAG1A_short,Growth,Growth,X06_Lmu_IntSprJunH,Straggler,24,87.5,12.5,Positive,1,"X10_DFA_ssl.est.wholerange_2yrLead (0.77), X06_DFA_IGF_mu (0.71), X05_herring_GAM (0.56), X13_pollockBiomassGoAage3plus_predAK (0.62)","X13_ammod_WAI (-0.93), X15_halibutBiomassAge8plus_2yrLead_predAK (-0.63), X10_Harbour_s_2yrLead_WS (-0.79), X15_DFA_sleeperSharkBSAI_predAK (-0.76), X02_DFA_SeaNettle_ (-0.4)",Bigger is better,0.5
DAG1B_short,Growth,Growth,X06_Lmu_IntSprJunH,Straggler,12,83.3,16.700000000000003,Positive,1,"X10_DFA_ssl.est.wholerange_2yrLead (0.77), X06_DFA_IGF_mu (0.71), X05_herring_GAM (0.56), X13_pollockBiomassGoAage3plus_predAK (0.62)","X13_ammod_WAI (-0.93), X15_halibutBiomassAge8plus_2yrLead_predAK (-0.63), X10_Harbour_s_2yrLead_WS (-0.79), X15_DFA_sleeperSharkBSAI_predAK (-0.76), X02_DFA_SeaNettle_ (-0.4)",Bigger is better,0.5
DAG1A_long,Growth,Growth,X06_DFA_IGF_mu,DFA,100,0,100,Positive,0,"X10_DFA_ssl.est.wholerange_2yrLead (0.9), X05_herring_GAM (0.85), X06_Lmu_IntSprJunH (0.71), X04_PacificPompano_ (0.59), X01_DFA_sumPreyOfPrey_planktonJun (0.94), X14_pinkSalmon (0.74), X13_pollockBiomassGoAage3plus_predAK (0.78)","X15_halibutBiomassAge8plus_2yrLead_predAK (-0.76), X13_ammod_WAI (-0.67), X05_DFA_abundSardine (-0.93)","Positive & significant (1B, 1C) or negative but NS (1A)",0.5
DAG1A_short,Growth,Growth,X06_DFA_IGF_mu,DFA,76,32.9,67.1,Positive,0,"X10_DFA_ssl.est.wholerange_2yrLead (0.9), X05_herring_GAM (0.85), X06_Lmu_IntSprJunH (0.71), X04_PacificPompano_ (0.59), X01_DFA_sumPreyOfPrey_planktonJun (0.94), X14_pinkSalmon (0.74), X13_pollockBiomassGoAage3plus_predAK (0.78)","X15_halibutBiomassAge8plus_2yrLead_predAK (-0.76), X13_ammod_WAI (-0.67), X05_DFA_abundSardine (-0.93)","Positive & significant (1B, 1C) or negative but NS (1A)",0.5
DAG1A_long,PreyNCC,Competitor,X05_DFA_abundSardine,DFA,99,0,100,Negative,1,"X01_NHLlogSum_win_05 (0.62), X15_halibutBiomassAge8plus_2yrLead_predAK (0.66), X15_ArrowtoothFlounderBiomass_predAK (0.95)","X01_DFA_sumPreyOfPrey_planktonJun (-0.97), X04_marketsquid_GAM (-0.96), X14_pinkSalmon (-0.61), X15_spinyDogfishGoA_predAK (-0.81), X04_PacificPompano_ (-0.63), X05_herring_GAM (-0.82), X06_DFA_IGF_mu (-0.93)",Competitor (tracking herring / fewer sardines = more food for salmon),0.75
DAG1A_short,PreyNCC,Competitor,X05_DFA_abundSardine,DFA,64,0,100,Negative,1,"X01_NHLlogSum_win_05 (0.62), X15_halibutBiomassAge8plus_2yrLead_predAK (0.66), X15_ArrowtoothFlounderBiomass_predAK (0.95)","X01_DFA_sumPreyOfPrey_planktonJun (-0.97), X04_marketsquid_GAM (-0.96), X14_pinkSalmon (-0.61), X15_spinyDogfishGoA_predAK (-0.81), X04_PacificPompano_ (-0.63), X05_herring_GAM (-0.82), X06_DFA_IGF_mu (-0.93)",Competitor (tracking herring / fewer sardines = more food for salmon),0.75
DAG1B_long,PreyNCC,Competitor,X05_DFA_abundSardine,DFA,93,0,100,Negative,1,"X01_NHLlogSum_win_05 (0.62), X15_halibutBiomassAge8plus_2yrLead_predAK (0.66), X15_ArrowtoothFlounderBiomass_predAK (0.95)","X01_DFA_sumPreyOfPrey_planktonJun (-0.97), X04_marketsquid_GAM (-0.96), X14_pinkSalmon (-0.61), X15_spinyDogfishGoA_predAK (-0.81), X04_PacificPompano_ (-0.63), X05_herring_GAM (-0.82), X06_DFA_IGF_mu (-0.93)",Competitor (tracking herring / fewer sardines = more food for salmon),0.75
DAG1B_short,PreyNCC,Competitor,X05_DFA_abundSardine,DFA,71,0,100,Negative,1,"X01_NHLlogSum_win_05 (0.62), X15_halibutBiomassAge8plus_2yrLead_predAK (0.66), X15_ArrowtoothFlounderBiomass_predAK (0.95)","X01_DFA_sumPreyOfPrey_planktonJun (-0.97), X04_marketsquid_GAM (-0.96), X14_pinkSalmon (-0.61), X15_spinyDogfishGoA_predAK (-0.81), X04_PacificPompano_ (-0.63), X05_herring_GAM (-0.82), X06_DFA_IGF_mu (-0.93)",Competitor (tracking herring / fewer sardines = more food for salmon),0.75
