model_id,rhs,Lisaname,Times_Selected_In_Top100,Times_Positive,Pct_Positive,Pct_Negative,Times_Significant,Pct_Significant,Mean_Estimate
DAG1A_long,Abundance,X07_DFA_cpue_IntSprJunHW,100,100,100,0,100,100,0.443
DAG1A_long,Growth,X06_DFA_IGF_mu,100,0,0,100,4,4,-0.046
DAG1A_long,PredAK,X15_DFA_sleeperSharkBSAI_predAK,19,0,0,100,12,63.2,-0.381
DAG1A_long,PredAK,X10_Harbour_s_2yrLead_WS,18,0,0,100,12,66.7,-0.346
DAG1A_long,PredAK,X10_Californian_s_l_2yrLead_WS,8,8,100,0,2,25,0.169
DAG1A_long,PredAK,X10_Northern_f_s_2yrLead_WS,8,8,100,0,2,25,0.188
DAG1A_long,PredAK,X15_PacificCodBiomass_predAK,7,5,71.4,28.599999999999994,0,0,0.094
DAG1A_long,PredAK,X15_sablefishBiomass_predAK,6,6,100,0,3,50,0.274
DAG1A_long,PredAK,X15_spinyDogfishGoA_predAK,6,4,66.7,33.3,0,0,0.044
DAG1A_long,PredAK,X15_ArrowtoothFlounderBiomass_predAK,5,1,20,80,1,20,-0.14
DAG1A_long,PredAK,X15_halibutBiomassAge8plus_2yrLead_predAK,5,4,80,20,0,0,0.072
DAG1A_long,PredAK,X15_salmonSharkGoA_predAK,5,0,0,100,0,0,-0.142
DAG1A_long,PredAK,X15_sharkCatchGoA_predAK,5,4,80,20,0,0,0.147
DAG1A_long,PredAK,X10_DFA_ssl.est.wholerange_2yrLead,4,2,50,50,1,25,0.027
DAG1A_long,PredAK,X15_sablefishRecruitment_predAK,4,1,25,75,0,0,-0.026
DAG1A_long,PredNCC,X09_DFA_HakeAge5Plus,95,0,0,100,95,100,-0.606
DAG1A_long,PredNCC,X11_Harbor_seal_CR,4,4,100,0,4,100,0.439
DAG1A_long,PredNCC,X08_Large_gulls_7_WS,1,1,100,0,0,0,0.2
DAG1A_long,PreyAK,X12_copepodBiomass_WGoA,15,0,0,100,15,100,-0.413
DAG1A_long,PreyAK,X13_DFA_WGOA_DFA_seabirds,15,0,0,100,10,66.7,-0.341
DAG1A_long,PreyAK,X12_DFA_biomassEuphShelfSum,14,0,0,100,13,92.9,-0.363
DAG1A_long,PreyAK,X13_ammod_WAI,13,0,0,100,8,61.5,-0.32
DAG1A_long,PreyAK,X13_hexagram_EAI,11,0,0,100,8,72.7,-0.291
DAG1A_long,PreyAK,X14_pinkSalmonAsia,9,9,100,0,3,33.3,0.319
DAG1A_long,PreyAK,X13_pollockBiomassGoAage3plus_predAK,5,0,0,100,3,60,-0.426
DAG1A_long,PreyAK,X14_pinkSalmonNorthAmerica,5,0,0,100,1,20,-0.253
DAG1A_long,PreyAK,X12_copepodCom_EGoA,3,3,100,0,0,0,0.173
DAG1A_long,PreyAK,X12_copepodCom_WGoA,2,0,0,100,0,0,-0.172
DAG1A_long,PreyAK,X13_DFA_WGOA_DFA_midTrophic,2,0,0,100,0,0,-0.115
DAG1A_long,PreyAK,X13_gadid_WAI,2,2,100,0,0,0,0.165
DAG1A_long,PreyAK,X13_hexagram_WAI,2,2,100,0,0,0,0.112
DAG1A_long,PreyAK,X14_pinkSalmon,2,1,50,50,0,0,0
DAG1A_long,PreyNCC,X05_DFA_abundSardine,94,0,0,100,94,100,-0.934
DAG1A_long,PreyNCC,X04_marketsquid_GAM,6,6,100,0,6,100,0.91
DAG1A_short,Abundance,X07_DFA_cpue_IntSprJunHW,100,100,100,0,64,64,0.288
