"Formula","Predictors","Num_Params","Raw_AIC","Complete_Yrs","Missing_Yrs","Guild_Sources","Adjusted_AIC","Adj_AIC2","R2","Coefficients","Std_Errors","P_Values","All_Coefficients_Sig"
"X16_SAR ~ X04_Sablefish__JSOES + X08_DFA_DC_corm_3_WS + X09_DFA_HakeAge5Plus + X13_ammod_WAI","X04_Sablefish__JSOES + X08_DFA_DC_corm_3_WS + X09_DFA_HakeAge5Plus + X13_ammod_WAI",4,30.2575600988171,24,0,"PreyNCC, PredNCC, PredNCC, PreyAK",30.2575600988171,30.2575600988171,0.838317457583848,"1.114, -0.2385, -0.603, -1.032","0.2551, 0.06, 0.0675, 0.2052","0, 1e-04, 0, 0","Yes"
"X16_SAR ~ X09_DFA_HakeAge5Plus + X11_DFA_Harbour_p_WS + X12_DFA_biomassEuphShelfSum + X13_ammod_WAI","X09_DFA_HakeAge5Plus + X11_DFA_Harbour_p_WS + X12_DFA_biomassEuphShelfSum + X13_ammod_WAI",4,33.3064676803842,24,0,"PredNCC, PredNCC, PreyAK, PreyAK",33.3064676803842,33.3064676803842,0.816415947597874,"-0.3487, -0.2857, -0.3134, -1.0936","0.0743, 0.0742, 0.0657, 0.2053","0, 1e-04, 0, 0","Yes"
"X16_SAR ~ X01_NHLlogSum_win_05 + X04_Sablefish__JSOES + X09_DFA_HakeAge5Plus + X13_ammod_WAI","X01_NHLlogSum_win_05 + X04_Sablefish__JSOES + X09_DFA_HakeAge5Plus + X13_ammod_WAI",4,29.412482517894,21,3,"PreyNCC, PreyNCC, PredNCC, PreyAK",32.412482517894,35.412482517894,0.829565883294986,"0.1298, 1.3568, -0.5782, -0.893","0.1704, 0.2755, 0.0722, 0.2373","0.4464, 0, 0, 2e-04","No"
"X16_SAR ~ X08_Large_gulls_7_WS + X09_DFA_HakeAge5Plus + X13_ammod_WAI + X13_gadid_WAI","X08_Large_gulls_7_WS + X09_DFA_HakeAge5Plus + X13_ammod_WAI + X13_gadid_WAI",4,35.9122413332051,24,0,"PredNCC, PredNCC, PreyAK, PreyAK",35.9122413332051,35.9122413332051,0.795361191363696,"-0.8556, -0.7461, -1.4753, 0.6484","0.2491, 0.088, 0.2367, 0.1975","6e-04, 0, 0, 0.001","Yes"
"X16_SAR ~ X09_DFA_HakeAge5Plus + X12_DFA_biomassEuphShelfSum + X13_ammod_WAI + X13_hexagram_EAI","X09_DFA_HakeAge5Plus + X12_DFA_biomassEuphShelfSum + X13_ammod_WAI + X13_hexagram_EAI",4,35.9387523307935,24,0,"PredNCC, PreyAK, PreyAK, PreyAK",35.9387523307935,35.9387523307935,0.79513501734454,"-0.279, -0.3066, -1.1338, -0.477","0.0864, 0.0697, 0.2158, 0.1453","0.0012, 0, 0, 0.001","Yes"
"X16_SAR ~ X01_NHLlogSum_win_25 + X04_Sablefish__JSOES + X09_DFA_HakeAge5Plus + X13_ammod_WAI","X01_NHLlogSum_win_25 + X04_Sablefish__JSOES + X09_DFA_HakeAge5Plus + X13_ammod_WAI",4,29.9529694689068,21,3,"PreyNCC, PreyNCC, PredNCC, PreyAK",32.9529694689068,35.9529694689068,0.825122402976461,"0.0309, 1.3706, -0.5856, -0.7899","0.1746, 0.2786, 0.0749, 0.2313","0.8594, 0, 0, 6e-04","No"
"X16_SAR ~ X01_NHLlogSum_win_15 + X04_Sablefish__JSOES + X09_DFA_HakeAge5Plus + X13_ammod_WAI","X01_NHLlogSum_win_15 + X04_Sablefish__JSOES + X09_DFA_HakeAge5Plus + X13_ammod_WAI",4,29.9624983274773,21,3,"PreyNCC, PreyNCC, PredNCC, PreyAK",32.9624983274773,35.9624983274773,0.825043033356864,"0.0325, 1.3787, -0.5858, -0.8055","0.2197, 0.2856, 0.076, 0.2113","0.8826, 0, 0, 1e-04","No"
"X16_SAR ~ X04_Sablefish__JSOES + X09_DFA_HakeAge5Plus + X13_ammod_WAI + X13_hexagram_WAI","X04_Sablefish__JSOES + X09_DFA_HakeAge5Plus + X13_ammod_WAI + X13_hexagram_WAI",4,36.2123123366302,24,0,"PreyNCC, PredNCC, PreyAK, PreyAK",36.2123123366302,36.2123123366302,0.792786538990778,"1.3344, -0.5757, -0.6489, 0.4227","0.3022, 0.0784, 0.2262, 0.1592","0, 0, 0.0041, 0.0079","Yes"
"X16_SAR ~ X08_Large_gulls_7_WS + X09_DFA_HakeAge5Plus + X13_ammod_WAI + X15_sablefishBiomass_predAK","X08_Large_gulls_7_WS + X09_DFA_HakeAge5Plus + X13_ammod_WAI + X15_sablefishBiomass_predAK",4,36.3834757739204,24,0,"PredNCC, PredNCC, PreyAK, PredAK",36.3834757739204,36.3834757739204,0.791303449711577,"-0.6592, -0.7677, -1.2979, 0.5013","0.2577, 0.0907, 0.2405, 0.1577","0.0105, 0, 0, 0.0015","Yes"
"X16_SAR ~ X08_Large_gulls_7_WS + X09_DFA_HakeAge5Plus + X12_DFA_biomassEuphShelfSum + X13_ammod_WAI","X08_Large_gulls_7_WS + X09_DFA_HakeAge5Plus + X12_DFA_biomassEuphShelfSum + X13_ammod_WAI",4,36.8881479732873,24,0,"PredNCC, PredNCC, PreyAK, PreyAK",36.8881479732873,36.8881479732873,0.786868511376223,"-0.7825, -0.5717, -0.1997, -1.5364","0.2548, 0.0946, 0.0652, 0.2444","0.0021, 0, 0.0022, 0","Yes"
