"Timeline","DAG","X06_Proxy","Response","AIC","dAIC"
"Without_2001","DAG1C_long","StomFull_May","X16_SAR",84.4438894023439,65.990172527672
"Without_2001","DAG1C_long","StomFull_May","sarSR",66.8541665206334,18.9389722371733
"Without_2001","DAG1C_long","StomFull_May","sarUC",70.2683704732659,36.9658312632876
"Without_2001","DAG1C_short","DFA_IGF_mu","X16_SAR",61.1466387635873,42.6929218889154
"Without_2001","DAG1C_short","DFA_IGF_mu","sarSR",64.4678057302591,16.552611446799
"Without_2001","DAG1C_short","DFA_IGF_mu","sarUC",50.6277035368358,17.3251643268575
"Without_2001","DAG1C_short","Lmu_IntSprJunH","X16_SAR",60.2453153196236,41.7915984449518
"Without_2001","DAG1C_short","Lmu_IntSprJunH","sarSR",63.3357201243574,15.4205258408974
"Without_2001","DAG1C_short","Lmu_IntSprJunH","sarUC",50.2899716814887,16.9874324715104
"Without_2001","DAG1C_short","StomFull_May","X16_SAR",18.4537168746718,0
"Without_2001","DAG1C_short","StomFull_May","sarSR",47.9151942834601,0
"Without_2001","DAG1C_short","StomFull_May","sarUC",33.3025392099783,0
"Without_2001","DAG1A_long","DFA_IGF_mu","X16_SAR",93.1835101416792,74.7297932670073
"Without_2001","DAG1A_long","DFA_IGF_mu","sarSR",82.5404250026875,34.6252307192275
"Without_2001","DAG1A_long","DFA_IGF_mu","sarUC",65.2283737674418,31.9258345574635
"Without_2001","DAG1A_long","Lmu_IntSprJunH","X16_SAR",93.3057605533293,74.8520436786575
"Without_2001","DAG1A_long","Lmu_IntSprJunH","sarSR",82.6626754143378,34.7474811308778
"Without_2001","DAG1A_long","Lmu_IntSprJunH","sarUC",65.3506241790923,32.0480849691139
"Without_2001","DAG1A_long","StomFull_May","X16_SAR",86.0186548764977,67.5649380018259
"Without_2001","DAG1A_long","StomFull_May","sarSR",77.9769812110169,30.0617869275568
"Without_2001","DAG1A_long","StomFull_May","sarUC",62.5088488262212,29.2063096162429
"Without_2001","DAG1A_short","DFA_IGF_mu","X16_SAR",61.0612505536712,42.6075336789993
"Without_2001","DAG1A_short","DFA_IGF_mu","sarSR",62.6936399161729,14.7784456327128
"Without_2001","DAG1A_short","DFA_IGF_mu","sarUC",49.6646294342995,16.3620902243211
"Without_2001","DAG1A_short","Lmu_IntSprJunH","X16_SAR",60.5368003347094,42.0830834600376
"Without_2001","DAG1A_short","Lmu_IntSprJunH","sarSR",62.1691896972112,14.2539954137511
"Without_2001","DAG1A_short","Lmu_IntSprJunH","sarUC",49.1401792153045,15.8376400053262
"Without_2001","DAG1A_short","StomFull_May","X16_SAR",58.0265817051162,39.5728648304444
"Without_2001","DAG1A_short","StomFull_May","sarSR",59.6589710676181,11.743776784158
"Without_2001","DAG1A_short","StomFull_May","sarUC",46.6299605857114,13.3274213757331
"Without_2001","DAG1B_long","DFA_IGF_mu","X16_SAR",83.9167120414967,65.4629951668248
"Without_2001","DAG1B_long","DFA_IGF_mu","sarSR",78.643476344334,30.7282820608739
"Without_2001","DAG1B_long","DFA_IGF_mu","sarUC",63.6811606726162,30.3786214626379
"Without_2001","DAG1B_long","Lmu_IntSprJunH","X16_SAR",90.9751070516529,72.5213901769811
"Without_2001","DAG1B_long","Lmu_IntSprJunH","sarSR",81.3575734163453,33.4423791328853
"Without_2001","DAG1B_long","Lmu_IntSprJunH","sarUC",71.9851964339046,38.6826572239263
"Without_2001","DAG1B_long","StomFull_May","X16_SAR",96.3850122693174,77.9312953946455
"Without_2001","DAG1B_long","StomFull_May","sarSR",81.5594136253969,33.6442193419369
"Without_2001","DAG1B_long","StomFull_May","sarUC",73.1359957072689,39.8334564972906
"Without_2001","DAG1B_short","DFA_IGF_mu","X16_SAR",61.5945018594263,43.1407849847545
"Without_2001","DAG1B_short","DFA_IGF_mu","sarSR",60.2223758279145,12.3071815444545
"Without_2001","DAG1B_short","DFA_IGF_mu","sarUC",49.2832523960379,15.9807131860595
"Without_2001","DAG1B_short","Lmu_IntSprJunH","X16_SAR",66.9035831335747,48.4498662589029
"Without_2001","DAG1B_short","Lmu_IntSprJunH","sarSR",63.9302954773976,16.0151011939375
"Without_2001","DAG1B_short","Lmu_IntSprJunH","sarUC",50.1756904602321,16.8731512502538
"Without_2001","DAG1B_short","StomFull_May","X16_SAR",68.6279870607979,50.174270186126
"Without_2001","DAG1B_short","StomFull_May","sarSR",63.5190741877075,15.6038799042474
"Without_2001","DAG1B_short","StomFull_May","sarUC",51.6806119780163,18.378072768038
