"year","x09_dfa_hake_age5plus_doug","x05_dfa_abund_sardine_doug","sitka_herring_e_go_a_doug","x05_herring_ncc_doug","x05_anchovy_gam_doug"
1998,-0.316712571640036,2.40153770387274,-0.777814892413131,0.860026613689546,-0.867154257409658
1999,-0.926183208938443,1.42696471881483,-0.721459995799431,0.180339012402128,-0.79814255227969
2000,-1.0616334974394,1.57808129650838,-0.804212890153068,-0.207909799059202,-0.69309610906936
2001,-0.780622267246462,1.44082138482464,-0.577802419373063,-0.315404414841075,-0.648674559339324
2002,-0.211217149623046,1.70705598177676,-0.543500673680899,-0.0176953259907733,-0.543026940269272
2003,0.668019350968991,2.69453495012126,-0.135686121520874,0.872835430200231,-0.371215783895814
2004,1.96012166292918,4.0963834319773,0.30512296123267,0.352480846353672,0.105897287109326
2005,1.26060965931115,4.1263881589629,-0.0165633451670172,-0.21451502900538,0.539479351204367
2006,0.260820538707465,3.60771341563814,-0.269271789604814,-0.426654108394354,0.173625528324673
2007,-1.56020325266284,3.112098118076,-0.291856562986562,0.00819205725407124,-0.388706908355377
2008,-2.56798497075114,2.62788650327054,0.0389518658862401,0.146267277566677,-0.689581458168743
2009,-1.53839203520904,2.29107739384726,0.356962010447682,-0.336779202611836,-0.809616875998769
2010,-1.45850395796674,1.10834205968259,0.299937210848399,-0.556145599891072,-0.775389936418697
2011,-0.81255005772994,0.262748922805306,0.177047844980557,-0.902179344496377,-0.789092107792628
2012,-1.17170060411815,-0.635436348211767,-0.397823035251639,-0.881552746570319,-0.819007875839955
2013,-0.0583816724159498,-1.6701565966187,-0.44365879407518,-0.29877224267377,-0.684741975172962
2014,0.113548537237913,-2.57962372817113,-0.48803663731026,-0.269209860670443,-0.576812282066013
2015,0.894057307341759,-2.79177601562378,-0.624672855353346,-0.508819820683724,-0.491811518143603
2016,1.02954175043377,-2.48174865452514,-0.442689926120823,-0.635417686751351,-0.208593106399706
2017,1.07601232760748,-2.37695980863873,-0.652412006252273,-0.555098346476905,0.0457739620983589
2018,1.11246486576357,-2.06600613970143,-0.779630827779011,0.205654340917314,0.389329010500738
2019,1.38277800096897,-2.56805793751756,0.989236010147054,0.575653424117172,0.825920969938658
2020,1.08674024601453,-2.64698360247867,3.08459289406364,0.558510058580853,1.17600355682281
2021,1.13605835242033,-2.52119869570115,2.71524197523514,0.270312852496277,1.50772247862828
