"order","centroid_x","centroid_y","type","location","datemil","spp","nonpup_total","pup_total","total","date_parsed","year","week"
5,-123.80309883,46.19570503,"VISUAL","COLUMBIA RIVER-EAST MOORING BASIN",20201218,"ZC",359,NA,359,2020-12-18,2020,51
5,-123.80309883,46.19570503,"VISUAL","COLUMBIA RIVER-EAST MOORING BASIN",20201222,"ZC",128,NA,128,2020-12-22,2020,51
5,-123.80309883,46.19570503,"VISUAL","COLUMBIA RIVER-EAST MOORING BASIN",20201230,"ZC",77,NA,77,2020-12-30,2020,53
5,-123.80309883,46.19570503,"VISUAL","COLUMBIA RIVER-EAST MOORING BASIN",20210108,"ZC",119,NA,119,2021-01-08,2021,2
5,-123.80309883,46.19570503,"VISUAL","COLUMBIA RIVER-EAST MOORING BASIN",20210114,"ZC",165,NA,165,2021-01-14,2021,2
5,-123.80309883,46.19570503,"VISUAL","COLUMBIA RIVER-EAST MOORING BASIN",20210121,"ZC",102,NA,102,2021-01-21,2021,3
5,-123.80309883,46.19570503,"VISUAL","COLUMBIA RIVER-EAST MOORING BASIN",20210129,"ZC",459,NA,459,2021-01-29,2021,5
5,-123.80309883,46.19570503,"VISUAL","COLUMBIA RIVER-EAST MOORING BASIN",20210205,"ZC",181,NA,181,2021-02-05,2021,6
5,-123.80309883,46.19570503,"VISUAL","COLUMBIA RIVER-EAST MOORING BASIN",20210218,"ZC",127,NA,127,2021-02-18,2021,7
5,-123.80309883,46.19570503,"VISUAL","COLUMBIA RIVER-EAST MOORING BASIN",20210226,"ZC",133,NA,133,2021-02-26,2021,9
5,-123.80309883,46.19570503,"VISUAL","COLUMBIA RIVER-EAST MOORING BASIN",20210305,"ZC",77,NA,77,2021-03-05,2021,10
5,-123.80309883,46.19570503,"VISUAL","COLUMBIA RIVER-EAST MOORING BASIN",20210312,"ZC",342,NA,342,2021-03-12,2021,11
5,-123.80309883,46.19570503,"VISUAL","COLUMBIA RIVER-EAST MOORING BASIN",20210318,"ZC",246,NA,246,2021-03-18,2021,11
5,-123.80309883,46.19570503,"VISUAL","COLUMBIA RIVER-EAST MOORING BASIN",20210401,"ZC",489,NA,489,2021-04-01,2021,13
5,-123.80309883,46.19570503,"VISUAL","COLUMBIA RIVER-EAST MOORING BASIN",20210408,"ZC",232,NA,232,2021-04-08,2021,14
5,-123.80309883,46.19570503,"VISUAL","COLUMBIA RIVER-EAST MOORING BASIN",20210423,"ZC",565,NA,565,2021-04-23,2021,17
5,-123.80309883,46.19570503,"VISUAL","COLUMBIA RIVER-EAST MOORING BASIN",20210430,"ZC",604,NA,604,2021-04-30,2021,18
5,-123.80309883,46.19570503,"VISUAL","COLUMBIA RIVER-EAST MOORING BASIN",20210506,"ZC",634,NA,634,2021-05-06,2021,18
5,-123.80309883,46.19570503,"VISUAL","COLUMBIA RIVER-EAST MOORING BASIN",20210513,"ZC",527,NA,527,2021-05-13,2021,19
5,-123.80309883,46.19570503,"VISUAL","COLUMBIA RIVER-EAST MOORING BASIN",20210521,"ZC",773,NA,773,2021-05-21,2021,21
