"","year","week","csl_nonpup_total_emb_lisa","csl_nobs_emb_lisa","csl_annual_mean","csl_annual_mean_clean","log_annual_scale","eulachon_ssb_4week_est","eulachon_lbs_reconstructed","eulachon_mean_shape","eulachon_reconstructed","time_index"
"1",1998,10,55,3,55,55,4.00733318523247,NA,4484024.58902483,1280136.68807962,706738.837718092,1998
"2",1998,11,114,1,55,55,4.00733318523247,NA,4484024.58902483,1226547.81132346,677153.449824806,1998.05882352941
"3",1998,12,86,1,55,55,4.00733318523247,NA,4484024.58902483,1000580.78443715,552401.401522985,1998.11764705882
"4",1998,13,99,1,55,55,4.00733318523247,NA,4484024.58902483,669634.988251,369692.594313371,1998.17647058824
"5",1998,14,75,2,55,55,4.00733318523247,NA,4484024.58902483,561332.491411338,309900.869374019,1998.23529411765
"6",1998,15,67,1,55,55,4.00733318523247,NA,4484024.58902483,373672.307489615,206297.292110906,1998.29411764706
"7",1998,16,39,2,55,55,4.00733318523247,NA,4484024.58902483,146086.433949369,80651.5097154508,1998.35294117647
"8",1998,17,33,1,55,55,4.00733318523247,NA,4484024.58902483,65140.9002223077,35963.0378066008,1998.41176470588
"9",1998,18,17,1,55,55,4.00733318523247,NA,4484024.58902483,10932.5720964077,6035.66272932558,1998.47058823529
"10",1998,19,28,1,55,55,4.00733318523247,NA,4484024.58902483,749.345928461538,413.699470893342,1998.52941176471
"11",1998,20,NA,NA,55,55,4.00733318523247,NA,4484024.58902483,0,0,1998.58823529412
"12",1998,21,NA,NA,55,55,4.00733318523247,NA,4484024.58902483,0,0,1998.64705882353
"13",1998,22,0,1,55,55,4.00733318523247,NA,4484024.58902483,0,0,1998.70588235294
"14",1998,23,NA,NA,55,55,4.00733318523247,NA,4484024.58902483,0,0,1998.76470588235
"15",1998,24,NA,NA,55,55,4.00733318523247,NA,4484024.58902483,0,0,1998.82352941176
"16",1998,25,NA,NA,55,55,4.00733318523247,NA,4484024.58902483,0,0,1998.88235294118
"17",1998,26,NA,NA,55,55,4.00733318523247,NA,4484024.58902483,0,0,1998.94117647059
"18",1999,10,NA,NA,20,20,2.99573227355399,NA,4654993.83938875,1280136.68807962,733685.74821976,1999
"19",1999,11,NA,NA,20,20,2.99573227355399,NA,4654993.83938875,1226547.81132346,702972.313080207,1999.05882352941
"20",1999,12,NA,NA,20,20,2.99573227355399,NA,4654993.83938875,1000580.78443715,573463.65299893,1999.11764705882
"21",1999,13,NA,NA,20,20,2.99573227355399,NA,4654993.83938875,669634.988251,383788.42819206,1999.17647058824
"22",1999,14,20,1,20,20,2.99573227355399,NA,4654993.83938875,561332.491411338,321716.932883949,1999.23529411765
"23",1999,15,NA,NA,20,20,2.99573227355399,NA,4654993.83938875,373672.307489615,214163.103879788,1999.29411764706
"24",1999,16,NA,NA,20,20,2.99573227355399,NA,4654993.83938875,146086.433949369,83726.6329408049,1999.35294117647
"25",1999,17,NA,NA,20,20,2.99573227355399,NA,4654993.83938875,65140.9002223077,37334.2554465873,1999.41176470588
"26",1999,18,NA,NA,20,20,2.99573227355399,NA,4654993.83938875,10932.5720964077,6265.79365563851,1999.47058823529
"27",1999,19,NA,NA,20,20,2.99573227355399,NA,4654993.83938875,749.345928461538,429.47322213184,1999.52941176471
"28",1999,20,NA,NA,20,20,2.99573227355399,NA,4654993.83938875,0,0,1999.58823529412
"29",1999,21,NA,NA,20,20,2.99573227355399,NA,4654993.83938875,0,0,1999.64705882353
"30",1999,22,20,2,20,20,2.99573227355399,NA,4654993.83938875,0,0,1999.70588235294
"31",1999,23,NA,NA,20,20,2.99573227355399,NA,4654993.83938875,0,0,1999.76470588235
"32",1999,24,NA,NA,20,20,2.99573227355399,NA,4654993.83938875,0,0,1999.82352941176
"33",1999,25,NA,NA,20,20,2.99573227355399,NA,4654993.83938875,0,0,1999.88235294118
"34",1999,26,NA,NA,20,20,2.99573227355399,NA,4654993.83938875,0,0,1999.94117647059
"35",2000,10,32,5,30,30,3.40119738166216,NA,4851219.91082917,1280136.68807962,764613.452318267,2000
"36",2000,11,23,7,30,30,3.40119738166216,NA,4851219.91082917,1226547.81132346,732605.32658925,2000.05882352941
"37",2000,12,44,4,30,30,3.40119738166216,NA,4851219.91082917,1000580.78443715,597637.373442914,2000.11764705882
"38",2000,13,NA,NA,30,30,3.40119738166216,NA,4851219.91082917,669634.988251,399966.601166465,2000.17647058824
"39",2000,14,NA,NA,30,30,3.40119738166216,NA,4851219.91082917,561332.491411338,335278.551230573,2000.23529411765
"40",2000,15,23,1,30,30,3.40119738166216,NA,4851219.91082917,373672.307489615,223190.910569074,2000.29411764706
"41",2000,16,36,3,30,30,3.40119738166216,NA,4851219.91082917,146086.433949369,87256.035733541,2000.35294117647
"42",2000,17,23,7,30,30,3.40119738166216,NA,4851219.91082917,65140.9002223077,38908.0393288445,2000.41176470588
"43",2000,18,36,7,30,30,3.40119738166216,NA,4851219.91082917,10932.5720964077,6529.92119606587,2000.47058823529
"44",2000,19,30,7,30,30,3.40119738166216,NA,4851219.91082917,749.345928461538,447.577186621481,2000.52941176471
"45",2000,20,27,6,30,30,3.40119738166216,NA,4851219.91082917,0,0,2000.58823529412
"46",2000,21,28,2,30,30,3.40119738166216,NA,4851219.91082917,0,0,2000.64705882353
"47",2000,22,NA,NA,30,30,3.40119738166216,NA,4851219.91082917,0,0,2000.70588235294
"48",2000,23,NA,NA,30,30,3.40119738166216,NA,4851219.91082917,0,0,2000.76470588235
