"year","week","csl_obs_counts","csl_pred_pop_counts","csl_final_counts","eulachon_annual_ssb_lbs","eulachon_ssb_obs_lbs","eulachon_final_lbs","eulachon_data_source","csl_data_source"
1993,1,NA,51.378590808268,51.378590808268,13797665.4519377,NA,119070.405103667,"Historical (SSB Back-Mapped)","GAM Predicted Baseline"
1993,2,NA,66.3550091347743,66.3550091347743,13797665.4519377,NA,157416.818608352,"Historical (SSB Back-Mapped)","GAM Predicted Baseline"
1993,3,NA,89.8356864284682,89.8356864284682,13797665.4519377,NA,214965.024902323,"Historical (SSB Back-Mapped)","GAM Predicted Baseline"
1993,4,NA,123.832207749033,123.832207749033,13797665.4519377,NA,300688.846381243,"Historical (SSB Back-Mapped)","GAM Predicted Baseline"
1993,5,NA,168.792748385731,168.792748385731,13797665.4519377,NA,427231.372485459,"Historical (SSB Back-Mapped)","GAM Predicted Baseline"
1993,6,NA,220.971005915178,220.971005915178,13797665.4519377,NA,611460.944090686,"Historical (SSB Back-Mapped)","GAM Predicted Baseline"
1993,7,NA,269.920781432182,269.920781432182,13797665.4519377,NA,874117.666331622,"Historical (SSB Back-Mapped)","GAM Predicted Baseline"
1993,8,NA,304.40535018469,304.40535018469,13797665.4519377,NA,1224936.83660986,"Historical (SSB Back-Mapped)","GAM Predicted Baseline"
1993,9,NA,322.612561697868,322.612561697868,13797665.4519377,NA,1615973.2697582,"Historical (SSB Back-Mapped)","GAM Predicted Baseline"
1993,10,NA,327.853407068151,327.853407068151,13797665.4519377,NA,1922118.36248703,"Historical (SSB Back-Mapped)","GAM Predicted Baseline"
1993,11,NA,325.989765346867,325.989765346867,13797665.4519377,NA,1974241.86391316,"Historical (SSB Back-Mapped)","GAM Predicted Baseline"
1993,12,NA,323.601456307114,323.601456307114,13797665.4519377,NA,1677040.91204439,"Historical (SSB Back-Mapped)","GAM Predicted Baseline"
1993,13,NA,326.677298546021,326.677298546021,13797665.4519377,NA,1130254.36395002,"Historical (SSB Back-Mapped)","GAM Predicted Baseline"
1993,14,NA,334.954319610271,334.954319610271,13797665.4519377,NA,609565.658144988,"Historical (SSB Back-Mapped)","GAM Predicted Baseline"
1993,15,NA,343.98666148965,343.98666148965,13797665.4519377,NA,281158.832237501,"Historical (SSB Back-Mapped)","GAM Predicted Baseline"
1993,16,NA,348.839926397835,348.839926397835,13797665.4519377,NA,118917.615357295,"Historical (SSB Back-Mapped)","GAM Predicted Baseline"
1993,17,NA,344.412182747867,344.412182747867,13797665.4519377,NA,49451.5781617936,"Historical (SSB Back-Mapped)","GAM Predicted Baseline"
1993,18,NA,326.390666438164,326.390666438164,13797665.4519377,NA,21678.5337491564,"Historical (SSB Back-Mapped)","GAM Predicted Baseline"
1993,19,NA,293.081234607838,293.081234607838,13797665.4519377,NA,10699.1041309861,"Historical (SSB Back-Mapped)","GAM Predicted Baseline"
1993,20,NA,247.396417051914,247.396417051914,13797665.4519377,NA,6062.33043655186,"Historical (SSB Back-Mapped)","GAM Predicted Baseline"
1993,21,NA,195.01272209203,195.01272209203,13797665.4519377,NA,3903.74194948138,"Historical (SSB Back-Mapped)","GAM Predicted Baseline"
1993,22,NA,142.59544815566,142.59544815566,13797665.4519377,NA,2826.38287815589,"Historical (SSB Back-Mapped)","GAM Predicted Baseline"
1993,23,NA,96.0794687760093,96.0794687760093,13797665.4519377,NA,2276.39890652431,"Historical (SSB Back-Mapped)","GAM Predicted Baseline"
