"year","week","csl_nonpup_total_emb_lisa","csl_nobs_emb_lisa","csl_annual_mean","csl_annual_mean_clean","log_annual_scale","time_index","fit_link","se_link","csl_gam_pred","csl_lwr_95","csl_upr_95","data_source","csl_final"
1998,10,55,3,55,55,4.00733318523247,1998,4.46124006065679,0.111857579163298,86.5948253792612,69.5467511955828,107.821913368414,"Observed",55
1998,11,114,1,55,55,4.00733318523247,1998.05882352941,4.36628525066763,0.0746153491452258,78.7505491226633,68.0361489643825,91.1522636351393,"Observed",114
1998,12,86,1,55,55,4.00733318523247,1998.11764705882,4.27960327426733,0.0696348537026423,72.2117860500916,62.9990067888019,82.7718135624814,"Observed",86
1998,13,99,1,55,55,4.00733318523247,1998.17647058824,4.21216138284454,0.0779676260777704,67.5022805237321,57.9363408216208,78.6476641652901,"Observed",99
1998,14,75,2,55,55,4.00733318523247,1998.23529411765,4.17430243408053,0.0778145543137693,64.9944859059178,55.8006717377393,75.703088629981,"Observed",75
1998,15,67,1,55,55,4.00733318523247,1998.29411764706,4.17080908091544,0.0723555796555266,64.7678333321044,56.2042369591778,74.6362278271311,"Observed",67
1998,16,39,2,55,55,4.00733318523247,1998.35294117647,4.19673952711546,0.0731759158710419,66.4692561425113,57.5880299079963,76.7201451273348,"Observed",39
1998,17,33,1,55,55,4.00733318523247,1998.41176470588,4.23515541633763,0.0787624479844443,69.072412880807,59.1916815872515,80.6025119280313,"Observed",33
1998,18,17,1,55,55,4.00733318523247,1998.47058823529,4.25759925828031,0.0794249602650888,70.6401908684505,60.4566353017269,82.5391049473206,"Observed",17
1998,19,28,1,55,55,4.00733318523247,1998.52941176471,4.22765349175014,0.0767257960616843,68.5561756557664,58.9842778614132,79.6813895320899,"Observed",28
1998,20,NA,NA,55,55,4.00733318523247,1998.58823529412,4.1072030726768,0.0832763131451883,60.7764921949632,51.6237324995124,71.552013476734,"Predicted",60.7764921949632
1998,21,NA,NA,55,55,4.00733318523247,1998.64705882353,3.86427404186366,0.100264207862933,47.66865442107,39.1639309523813,58.0202384964432,"Predicted",47.66865442107
1998,22,0,1,55,55,4.00733318523247,1998.70588235294,3.48071017916753,0.118085037542066,32.4827824818065,25.7713524688182,40.9420172665366,"Observed",0
1998,23,NA,NA,55,55,4.00733318523247,1998.76470588235,2.95763920427135,0.146197928413133,19.2524669211545,14.4557356208501,25.6408592597346,"Predicted",19.2524669211545
1998,24,NA,NA,55,55,4.00733318523247,1998.82352941176,2.31676087382487,0.21359183556709,10.1427673367633,6.67334261524183,15.4159220017784,"Predicted",10.1427673367633
1998,25,NA,NA,55,55,4.00733318523247,1998.88235294118,1.59594772299691,0.327127616057995,4.93300197687701,2.59809269121349,9.36629727883442,"Predicted",4.93300197687701
1998,26,NA,NA,55,55,4.00733318523247,1998.94117647059,0.83835321174736,0.468418342137574,2.31255555002268,0.923350165508628,5.79185813975007,"Predicted",2.31255555002268
1999,10,NA,NA,20,20,2.99573227355399,1999,3.44963914897831,0.111857579163298,31.4890274106404,25.2897277074846,39.2079684976049,"Predicted",31.4890274106404
1999,11,NA,NA,20,20,2.99573227355399,1999.05882352941,3.35468433898915,0.0746153491452258,28.6365633173321,24.74041780523,33.1462776855052,"Predicted",28.6365633173321
1999,12,NA,NA,20,20,2.99573227355399,1999.11764705882,3.26800236258884,0.0696348537026423,26.2588312909424,22.9087297413825,30.0988412954478,"Predicted",26.2588312909424
1999,13,NA,NA,20,20,2.99573227355399,1999.17647058824,3.20056047116606,0.0779676260777704,24.5462838268116,21.0677602987712,28.59915060556,"Predicted",24.5462838268116
1999,14,20,1,20,20,2.99573227355399,1999.23529411765,3.16270152240205,0.0778145543137693,23.6343585112428,20.2911533591779,27.5283958654476,"Observed",20
1999,15,NA,NA,20,20,2.99573227355399,1999.29411764706,3.15920816923696,0.0723555796555266,23.5519393934925,20.4379043487919,27.1404464825931,"Predicted",23.5519393934925
