"week","raw_2011","raw_2012","raw_2013","raw_2014","raw_2015","raw_2016","raw_2017","raw_2018","raw_2019","raw_2020","raw_2021","raw_2022","raw_2023","raw_2024","pred_2011","pred_2012","pred_2013","pred_2014","pred_2015","pred_2016","pred_2017","pred_2018","pred_2019","pred_2020","pred_2021","pred_2022","pred_2023","pred_2024"
13,19458.7986767911,4535.43203176948,402640.320121267,649697.348103775,9983.19091022,54.527869195834,1468.42946731678,0,12921.9857558515,20410.6222000791,306159.333001186,836205.31392154,1824789.68867592,70009.335490355,48421.3801004011,4990.89041021346,296940.309645439,474279.097026331,8651.54752658439,929.007855942034,2076.35259318244,875.842640178581,10013.1668534845,5514365.22677357,457421.420910361,718339.406281028,3898182.37826516,51570.1116110506
14,19458.7986767911,9070.86406353897,805280.640242534,1299394.69620755,19966.38182044,109.055738391668,2936.85893463356,0,25843.971511703,40821.2444001581,71355.1024027921,1254307.97088231,3649579.37735184,140018.67098071,38208.3390220998,3938.21143511775,234309.637534809,374244.114742349,6826.7624812868,733.061450136843,1638.4081503921,691.109845621211,7901.18895887515,4351274.90458492,360942.060921739,566827.205486694,3075977.46222638,40692.9398492346
15,23083.7217511928,2016.37351565152,94395.4570854365,265570.56351098,2365.82127276428,0,0,0,2269.39472571219,61231.8666002372,10476.0834620829,657352.585513008,3765187.15057111,35022.8455542583,22920.1641214977,2362.4280653982,140556.105944313,224499.068814216,4095.19284256438,439.744023904345,982.837377025625,414.578374591448,4739.71264722179,2610213.83036712,216519.521298553,340024.53157596,1845196.88823631,24410.6099297125
16,29930.5569764464,340.460525626589,18099.596975541,35630.6479891927,710.518666164898,0,0,0,0,81642.4888003163,0,256833.178230553,1557578.68242023,0,9276.9708760489,956.196310082424,56890.2951298338,90866.3355135472,1657.53545790017,177.987054588795,397.804905507074,167.801220206674,1918.40581751663,1056487.97086334,87636.6016637178,137625.440195418,746846.21375328,9880.23105699016
17,17223.6687111023,0,32805.4473953507,19807.2276107768,0,0,0,0,0,102053.111000395,0,28866.4721734051,748128.886971965,0,2955.44591142804,304.623838202592,18124.0398819719,28948.0848186449,528.055596762254,56.702895783544,126.732194941161,53.4579052600917,611.163353382658,336574.631491222,27919.1602020847,43844.5425741454,237929.343359406,3147.63179398732
18,0,0,611.833541741024,546.315011612168,0,0,0,0,0,122463.733200474,0,0,140965.288715294,0,1020.8793287283,105.224114661139,6260.46228659017,9999.33759009263,182.40260837438,19.5864908102767,43.7762293667833,18.465596080144,211.109948428442,116260.657160093,9643.92324540632,15144.9184092377,82186.2945940869,1087.2647746671
19,0,0,422.088984039412,0,0,0,0,0,0,142874.355400553,0,0,9319.40808574399,0,492.256365511435,50.7378676300307,3018.72349149943,4821.56650752491,87.9524568001853,9.44438241432546,21.1083983752823,8.9038997632923,101.794808663766,56059.562511555,4650.18976529637,7302.70687465621,39629.2936229143,524.266670178295
20,0,0,0,0,0,0,0,0,0,163284.977600633,0,0,0,0,344.643931209734,35.5231529470323,2113.50183407912,3375.72808025776,61.5782397037709,6.61230470781103,14.7786436241208,6.23389606009513,71.2696990686415,39249.0363955107,3255.74191390682,5112.85131506422,27745.6961497611,367.055337161074
21,0,0,0,0,0,0,0,0,0,183695.599800712,0,0,0,0,310.117922203279,31.9644867773369,1901.77379609383,3037.55175522218,55.4094066964657,5.94989208068609,13.2981371167857,5.60939195012672,64.1299874732738,35317.1157627304,2929.58565678754,4600.65210142089,24966.1661235264,330.284180819492
22,0,0,0,0,0,0,0,0,0,204106.222000791,0,0,0,0,321.21197106126,33.1079730212425,1969.80717920434,3146.21605730979,57.391603212923,6.16274141546132,13.7738599703557,5.81006035366865,66.4241509619091,36580.5377701108,3034.38761785814,4765.23420241368,25859.2969197186,342.09965028026
23,0,0,0,0,0,0,0,0,0,224516.84420087,0,0,0,0,390.35827551107,40.2350236559972,2393.84145934239,3823.49222682756,69.7461155790473,7.48937564005463,16.7389160727561,7.06077402028329,80.7230718584668,44455.1166447178,3687.59082616303,5791.03138502212,31425.947539125,415.742380631494
24,0,0,0,0,0,0,0,0,0,244927.466400949,0,0,0,0,616.956424412802,63.5909570470078,3783.43680669612,6042.98215516319,110.232872680858,11.8368655305769,26.4556497368294,11.1594659737584,127.581816258959,70260.7617990702,5828.19167296601,9152.65344967496,49668.3212419125,657.075688469677
25,0,0,0,0,0,0,0,0,0,265338.088601028,0,0,0,0,1317.89990639841,135.838631423282,8081.91764621754,12908.6031063486,235.471885597753,25.2850985215775,56.5127404987486,23.8380841503839,272.531506363436,150086.209875529,12449.7824422274,19551.2691777286,106098.053809851,1403.59992061846
26,0,0,0,0,0,0,0,0,0,285748.710801107,418102.65696077,0,0,0,3409.95666841492,351.471188973701,20911.2913943621,33399.9395771322,609.263968090424,65.423094649736,146.222027468491,61.6790650156281,705.152662175107,388335.61617043,32212.779174714,50587.2869289183,274519.911822024,3631.69834511898
