"year","week","month","date","eulachon_input","prop_fit","prop_lwr","prop_upr","final_peak_scalar","eul_gam_pred","eul_lwr_95","eul_upr_95","data_source","eulachon_final","time_index"
1998,10,NA,NA,NA,0.468022082926107,0.0226444499343504,0.970936069505633,63817.5701465278,29868.0321072609,1445.11377211494,61962.7807234697,"Predicted",29868.0321072609,1998
1998,11,NA,NA,NA,0.527084569115993,0.0730728632558717,0.940324683577254,63817.5701465278,33637.2564627123,4663.33257663923,60009.236454703,"Predicted",33637.2564627123,1998.05882352941
1998,12,NA,NA,NA,0.585398587995765,0.207995646505254,0.883602932890299,63817.5701465278,37358.715453098,13273.7767610215,56389.3921514043,"Predicted",37358.715453098,1998.11764705882
1998,13,NA,NA,NA,0.641413928594598,0.441790846255423,0.801693049239376,63817.5701465278,40933.4783810457,28194.0183209993,51162.1024058176,"Predicted",40933.4783810457,1998.17647058824
1998,14,NA,NA,NA,0.655646596630379,0.510483905317522,0.776600626003578,63817.5701465278,41841.7726717914,32577.8424362744,49560.7649258208,"Predicted",41841.7726717914,1998.23529411765
1998,15,NA,NA,NA,0.459529853095419,0.31148181068238,0.615083073777106,63817.5701465278,29326.0786343405,19878.0123025903,39253.1072067124,"Predicted",29326.0786343405,1998.29411764706
1998,16,NA,NA,NA,0.138790824431691,0.06231784674859,0.280986042152157,63817.5701465278,8857.29317386386,3976.97355625871,17931.8464552405,"Predicted",8857.29317386386,1998.35294117647
1998,17,NA,NA,NA,0.0290615247142325,0.00711718079524783,0.111095955633163,63817.5701465278,1854.63589201558,454.201184646249,7089.87394161493,"Predicted",1854.63589201558,1998.41176470588
1998,18,NA,NA,NA,0.00964275200507214,0.000933060521955534,0.0921541913358903,63817.5701465278,615.377002489263,59.5456553108531,5881.05656987472,"Predicted",615.377002489263,1998.47058823529
1998,19,NA,NA,NA,0.00392242701113995,9.22322020601276e-05,0.143918293115682,63817.5701465278,250.319760928059,5.88603502474092,9184.51576627856,"Predicted",250.319760928059,1998.52941176471
1998,20,NA,NA,NA,0.00102141672989851,4.51606065329257e-06,0.187975406938766,63817.5701465278,65.1843338091354,0.288204017527473,11996.1337181368,"Predicted",65.1843338091354,1998.58823529412
1998,21,NA,NA,NA,0.000185359967886844,1.49354305383901e-07,0.187078439478986,63817.5701465278,11.8292227529768,0.00953142886052306,11938.8914343532,"Predicted",11.8292227529768,1998.64705882353
1998,22,NA,NA,NA,6.21530035704034e-05,2.40489182595051e-08,0.138414353229324,63817.5701465278,3.96645366517161,0.00153474352797408,8833.26769649868,"Predicted",3.96645366517161,1998.70588235294
1998,23,NA,NA,NA,9.4290335431458e-05,7.06674373332606e-08,0.111769332083516,63817.5701465278,6.0173800955367,0.00450982413909071,7132.84719047037,"Predicted",6.0173800955367,1998.76470588235
1998,24,NA,NA,NA,0.00059966768716598,1.92395595310975e-06,0.157633171109673,63817.5701465278,38.269334690321,0.122782193996411,10059.7659547112,"Predicted",38.269334690321,1998.82352941176
1998,25,NA,NA,NA,0.00699765360485223,0.000223180967177302,0.181976743806713,63817.5701465278,446.57324978876,14.2428670282074,11613.3136129216,"Predicted",446.57324978876,1998.88235294118
1998,26,NA,NA,NA,0.0764244507088253,0.0178244850603545,0.273944107656992,63817.5701465278,4877.22274402031,1137.51532566491,17482.447306628,"Predicted",4877.22274402031,1998.94117647059
1999,10,NA,NA,NA,0.468022082926107,0.0226444499343504,0.970936069505633,85616.1497584621,40070.2487420689,1938.73061677734,83127.8079326869,"Predicted",40070.2487420689,1999
1999,11,NA,NA,NA,0.527084569115993,0.0730728632558717,0.940324683577254,85616.1497584621,45126.9514048093,6256.21720379433,80506.9789307287,"Predicted",45126.9514048093,1999.05882352941
1999,12,NA,NA,NA,0.585398587995765,0.207995646505254,0.883602932890299,85616.1497584621,50119.5731782376,17807.786420302,75650.6810293522,"Predicted",50119.5731782376,1999.11764705882
1999,13,NA,NA,NA,0.641413928594598,0.441790846255423,0.801693049239376,85616.1497584621,54915.3909677186,37824.431254922,68637.8721639965,"Predicted",54915.3909677186,1999.17647058824
1999,14,NA,NA,NA,0.655646596630379,0.510483905317522,0.776600626003578,85616.1497584621,56133.9372057325,43705.6664869495,66489.5554984378,"Predicted",56133.9372057325,1999.23529411765
1999,15,NA,NA,NA,0.459529853095419,0.31148181068238,0.615083073777106,85616.1497584621,39343.1767211015,26667.8733504196,52661.0445583959,"Predicted",39343.1767211015,1999.29411764706
1999,16,NA,NA,NA,0.138790824431691,0.06231784674859,0.280986042152157,85616.1497584621,11882.7360096441,5335.41409985217,24056.9430649366,"Predicted",11882.7360096441,1999.35294117647
1999,17,NA,NA,NA,0.0290615247142325,0.00711718079524783,0.111095955633163,85616.1497584621,2488.13585214298,609.345616823989,9511.60797504836,"Predicted",2488.13585214298,1999.41176470588
1999,18,NA,NA,NA,0.00964275200507214,0.000933060521955534,0.0921541913358903,85616.1497584621,825.575299749967,79.8850493814538,7889.88704628355,"Predicted",825.575299749967,1999.47058823529
1999,19,NA,NA,NA,0.00392242701113995,9.22322020601276e-05,0.143918293115682,85616.1497584621,335.823098402395,7.89656602413262,12321.7301363744,"Predicted",335.823098402395,1999.52941176471
1999,20,NA,NA,NA,0.00102141672989851,4.51606065329257e-06,0.187975406938766,85616.1497584621,87.4497677127898,0.386647725210595,16093.7305913772,"Predicted",87.4497677127898,1999.58823529412
1999,21,NA,NA,NA,0.000185359967886844,1.49354305383901e-07,0.187078439478986,85616.1497584621,15.8698067698238,0.0127871405768192,16016.9356910123,"Predicted",15.8698067698238,1999.64705882353
1999,22,NA,NA,NA,6.21530035704034e-05,2.40489182595051e-08,0.138414353229324,85616.1497584621,5.32130086162188,0.0020589757872348,11850.5039948025,"Predicted",5.32130086162188,1999.70588235294
1999,23,NA,NA,NA,9.4290335431458e-05,7.06674373332606e-08,0.111769332083516,85616.1497584621,8.07277547907533,0.00605027389777117,9569.25987406563,"Predicted",8.07277547907533,1999.76470588235
1999,24,NA,NA,NA,0.00059966768716598,1.92395595310975e-06,0.157633171109673,85616.1497584621,51.3412385097131,0.164721701010129,13495.945184627,"Predicted",51.3412385097131,1999.82352941176
1999,25,NA,NA,NA,0.00699765360485223,0.000223180967177302,0.181976743806713,85616.1497584621,599.112158990871,19.1078951090903,15580.1481503129,"Predicted",599.112158990871,1999.88235294118
1999,26,NA,NA,NA,0.0764244507088253,0.0178244850603545,0.273944107656992,85616.1497584621,6543.16721709499,1526.06378229478,23454.0397466093,"Predicted",6543.16721709499,1999.94117647059
2000,10,NA,NA,NA,0.468022082926107,0.0226444499343504,0.970936069505633,110634.974085796,51779.6110161101,2505.26813167396,107419.48688872,"Predicted",51779.6110161101,2000
2000,11,NA,NA,NA,0.527084569115993,0.0730728632558717,0.940324683577254,110634.974085796,58313.9876451709,8084.41433268829,104032.796999804,"Predicted",58313.9876451709,2000.05882352941
2000,12,NA,NA,NA,0.585398587995765,0.207995646505254,0.883602932890299,110634.974085796,64765.557612773,23011.5929610672,97757.3875824516,"Predicted",64765.557612773,2000.11764705882
