"year","week","Chin_weekly_count","Chin_weekly_mean"
1998,10,77,11
1998,11,63,9
1998,12,96,13.7142857142857
1998,13,358,51.1428571428571
1998,14,2503,357.571428571429
1998,15,5251,750.142857142857
1998,16,8569,1224.14285714286
1998,17,6918,988.285714285714
1998,18,6493,927.571428571429
1998,19,2686,383.714285714286
1998,20,2173,310.428571428571
1998,21,2106,300.857142857143
1998,22,1651,235.857142857143
1998,23,2819,402.714285714286
1998,24,3608,515.428571428571
1998,25,3692,527.428571428571
1998,26,2643,377.571428571429
1999,10,0,0
1999,11,3,0.428571428571429
1999,12,80,11.4285714285714
1999,13,103,14.7142857142857
1999,14,577,82.4285714285714
1999,15,2273,324.714285714286
1999,16,5629,804.142857142857
1999,17,8162,1166
1999,18,8969,1281.28571428571
1999,19,6330,904.285714285714
1999,20,3457,493.857142857143
1999,21,1927,275.285714285714
1999,22,1940,277.142857142857
1999,23,1584,226.285714285714
1999,24,2899,414.142857142857
1999,25,3593,513.285714285714
1999,26,3981,568.714285714286
2000,10,28,4
2000,11,25,3.57142857142857
2000,12,209,29.8571428571429
2000,13,2907,415.285714285714
2000,14,11854,1693.42857142857
2000,15,24270,3467.14285714286
2000,16,45001,6428.71428571429
2000,17,35970,5138.57142857143
2000,18,29856,4265.14285714286
2000,19,13155,1879.28571428571
2000,20,7235,1033.57142857143
2000,21,5222,746
2000,22,4022,574.571428571429
2000,23,3938,562.571428571429
2000,24,3876,553.714285714286
2000,25,4915,702.142857142857
2000,26,4755,679.285714285714
2001,10,161,23
2001,11,185,26.4285714285714
2001,12,3432,490.285714285714
2001,13,9208,1315.42857142857
2001,14,54624,7803.42857142857
2001,15,101873,14553.2857142857
2001,16,92691,13241.5714285714
2001,17,43085,6155
2001,18,26823,3831.85714285714
2001,19,21950,3135.71428571429
2001,20,12980,1854.28571428571
2001,21,17234,2462
2001,22,12972,1853.14285714286
2001,23,10134,1447.71428571429
2001,24,11129,1589.85714285714
2001,25,10518,1502.57142857143
2001,26,9034,1290.57142857143
2002,10,532,76
2002,11,649,92.7142857142857
2002,12,690,98.5714285714286
2002,13,1218,174
2002,14,7023,1003.28571428571
2002,15,16735,2390.71428571429
2002,16,28116,4016.57142857143
2002,17,70210,10030
2002,18,74567,10652.4285714286
2002,19,35077,5011
2002,20,13643,1949
2002,21,12516,1788
2002,22,15013,2144.71428571429
2002,23,17164,2452
2002,24,21331,3047.28571428571
2002,25,21122,3017.42857142857
2002,26,20812,2973.14285714286
2003,10,2138,305.428571428571
2003,11,3658,522.571428571429
2003,12,2201,314.428571428571
2003,13,13407,1915.28571428571
2003,14,22354,3193.42857142857
2003,15,35995,5142.14285714286
2003,16,29080,4154.28571428571
2003,17,25073,3581.85714285714
2003,18,19587,2798.14285714286
2003,19,13126,1875.14285714286
2003,20,12144,1734.85714285714
2003,21,10893,1556.14285714286
2003,22,11463,1637.57142857143
2003,23,17521,2503
2003,24,14799,2114.14285714286
2003,25,17124,2446.28571428571
2003,26,21157,3022.42857142857
2004,10,54,7.71428571428571
2004,11,150,21.4285714285714
2004,12,193,27.5714285714286
2004,13,237,33.8571428571429
2004,14,1871,267.285714285714
2004,15,14693,2099
2004,16,58616,8373.71428571429
2004,17,27259,3894.14285714286
2004,18,27273,3896.14285714286
2004,19,12380,1768.57142857143
2004,20,12039,1719.85714285714
2004,21,10181,1454.42857142857
2004,22,9806,1400.85714285714
2004,23,13427,1918.14285714286
2004,24,13842,1977.42857142857
2004,25,17979,2568.42857142857
2004,26,13706,1958
2005,10,7,1
2005,11,15,2.14285714285714
2005,12,5,0.714285714285714
2005,13,17,2.42857142857143
2005,14,55,7.85714285714286
2005,15,356,50.8571428571429
2005,16,6126,875.142857142857
2005,17,21583,3083.28571428571
2005,18,20481,2925.85714285714
2005,19,5132,733.142857142857
2005,20,7544,1077.71428571429
2005,21,6638,948.285714285714
2005,22,9861,1408.71428571429
2005,23,9693,1384.71428571429
2005,24,14033,2004.71428571429
2005,25,13133,1876.14285714286
2005,26,11355,1622.14285714286
2006,10,1,0.142857142857143
2006,11,1,0.142857142857143
2006,12,5,0.714285714285714
2006,13,29,4.14285714285714
2006,14,75,10.7142857142857
2006,15,70,10
2006,16,245,35
2006,17,4028,575.428571428571
2006,18,23639,3377
2006,19,40422,5774.57142857143
2006,20,17838,2548.28571428571
2006,21,8293,1184.71428571429
2006,22,4670,667.142857142857
2006,23,13477,1925.28571428571
2006,24,18285,2612.14285714286
2006,25,17374,2482
2006,26,19289,2755.57142857143
2007,10,12,1.71428571428571
2007,11,12,1.71428571428571
2007,12,25,3.57142857142857
2007,13,32,4.57142857142857
2007,14,111,15.8571428571429
2007,15,2077,296.714285714286
2007,16,8457,1208.14285714286
2007,17,18133,2590.42857142857
2007,18,12509,1787
2007,19,11670,1667.14285714286
2007,20,6505,929.285714285714
2007,21,4254,607.714285714286
2007,22,5396,770.857142857143
2007,23,6422,917.428571428571
2007,24,7275,1039.28571428571
2007,25,8377,1196.71428571429
2007,26,7487,1069.57142857143
2008,10,16,2.28571428571429
2008,11,47,6.71428571428571
2008,12,41,5.85714285714286
2008,13,90,12.8571428571429
2008,14,573,81.8571428571429
2008,15,7070,1010
2008,16,10126,1446.57142857143
2008,17,15750,2250
2008,18,34610,4944.28571428571
2008,19,21937,3133.85714285714
2008,20,23067,3295.28571428571
2008,21,7330,1047.14285714286
2008,22,8303,1186.14285714286
2008,23,12930,1847.14285714286
2008,24,14099,2014.14285714286
2008,25,17875,2553.57142857143
2008,26,10878,1554
2009,10,16,2.28571428571429
2009,11,16,2.28571428571429
2009,12,62,8.85714285714286
2009,13,79,11.2857142857143
2009,14,433,61.8571428571429
2009,15,725,103.571428571429
2009,16,5034,719.142857142857
2009,17,13502,1928.85714285714
2009,18,31708,4529.71428571429
2009,19,23801,3400.14285714286
2009,20,19756,2822.28571428571
2009,21,13644,1949.14285714286
2009,22,11730,1675.71428571429
2009,23,15280,2182.85714285714
2009,24,16706,2386.57142857143
2009,25,14701,2100.14285714286
2009,26,9311,1330.14285714286
2010,10,9,1.28571428571429
2010,11,60,8.57142857142857
2010,12,142,20.2857142857143
2010,13,420,60
2010,14,1896,270.857142857143
2010,15,20572,2938.85714285714
2010,16,52733,7533.28571428571
2010,17,52128,7446.85714285714
2010,18,46424,6632
2010,19,36094,5156.28571428571
2010,20,16200,2314.28571428571
2010,21,8199,1171.28571428571
2010,22,19897,2842.42857142857
2010,23,13641,1948.71428571429
2010,24,13376,1910.85714285714
2010,25,21240,3034.28571428571
2010,26,15853,2264.71428571429
2011,10,24,3.42857142857143
2011,11,25,3.57142857142857
2011,12,59,8.42857142857143
2011,13,85,12.1428571428571
2011,14,311,44.4285714285714
2011,15,566,80.8571428571429
2011,16,1790,255.714285714286
2011,17,23218,3316.85714285714
2011,18,66781,9540.14285714286
2011,19,48945,6992.14285714286
2011,20,15335,2190.71428571429
2011,21,4740,677.142857142857
2011,22,11155,1593.57142857143
2011,23,18875,2696.42857142857
2011,24,18625,2660.71428571429
2011,25,15232,2176
2011,26,16945,2420.71428571429
2012,10,8,1.14285714285714
2012,11,13,1.85714285714286
2012,12,6,0.857142857142857
2012,13,11,1.57142857142857
2012,14,57,8.14285714285714
2012,15,404,57.7142857142857
2012,16,5805,829.285714285714
2012,17,15265,2180.71428571429
2012,18,20774,2967.71428571429
2012,19,68168,9738.28571428571
2012,20,31590,4512.85714285714
2012,21,9126,1303.71428571429
2012,22,13467,1923.85714285714
2012,23,11294,1613.42857142857
2012,24,15814,2259.14285714286
2012,25,13362,1908.85714285714
2012,26,10182,1454.57142857143
2013,10,16,2.28571428571429
2013,11,56,8
2013,12,55,7.85714285714286
2013,13,189,27
2013,14,533,76.1428571428571
2013,15,915,130.714285714286
2013,16,2631,375.857142857143
2013,17,22334,3190.57142857143
2013,18,26398,3771.14285714286
2013,19,12205,1743.57142857143
2013,20,8431,1204.42857142857
2013,21,6264,894.857142857143
2013,22,6644,949.142857142857
2013,23,15170,2167.14285714286
2013,24,16349,2335.57142857143
2013,25,15561,2223
2013,26,12937,1848.14285714286
2014,10,1,0.142857142857143
2014,11,5,0.714285714285714
2014,12,117,16.7142857142857
2014,13,427,61
2014,14,1163,166.142857142857
2014,15,6010,858.571428571429
2014,16,15330,2190
