sst_col,forcing,ssl_col,forage_label,shark_col,k0,kT,kF,Q10,n,aic,r2,b_cpue,b_ssl,b_shark,p_cpue,p_ssl,p_shark,model_group,sig_cpue,sig_ssl,sig_shark,sig_all3
sst_wgoa_coastwatch_junjulaug,T_sst,ssl_west_pup_pred,stka_herr_matbiom + mid_il_capelin,other_sharks_bsai,-1.5,1,0.5,2.5,19,30.525301227883308,0.772150392474105,0.6880245720747072,0.6880245720747072,0.6880245720747072,7.149665574435082e-4,7.149665574435082e-4,7.149665574435082e-4,short,TRUE,TRUE,TRUE,TRUE
sst_wgoa_coastwatch_junjulaug,T_sst,ssl_west_pup_pred,stka_herr_matbiom + mid_il_capelin,other_sharks_bsai,-1.5,1,1,1.5,19,27.528921382945086,0.8053931065464515,0.6498126148550849,0.6498126148550849,0.6498126148550849,3.8678643483118806e-4,3.8678643483118806e-4,3.8678643483118806e-4,short,TRUE,TRUE,TRUE,TRUE
sst_wgoa_coastwatch_junjulaug,T_sst,ssl_west_pup_pred,stka_herr_matbiom + mid_il_capelin,other_sharks_bsai,-1.5,1,1,2,19,27.521802840280266,0.8054660043356465,0.649700973024444,0.649700973024444,0.649700973024444,3.869073422969963e-4,3.869073422969963e-4,3.869073422969963e-4,short,TRUE,TRUE,TRUE,TRUE
sst_wgoa_coastwatch_junjulaug,T_sst,ssl_west_pup_pred,stka_herr_matbiom + mid_il_capelin,other_sharks_bsai,-1.5,1,1,2.5,19,27.51543290447604,0.8055312128285708,0.6496039684847622,0.6496039684847622,0.6496039684847622,3.8699281810324954e-4,3.8699281810324954e-4,3.8699281810324954e-4,short,TRUE,TRUE,TRUE,TRUE
sst_wgoa_coastwatch_junjulaug,T_sst,ssl_west_pup_pred,stka_herr_matbiom + mid_il_capelin,other_sharks_bsai,-1.5,1,1.5,1.5,19,27.433269579174834,0.8063703551450825,0.6216803458626696,0.6216803458626696,0.6216803458626696,4.594213723529797e-4,4.594213723529797e-4,4.594213723529797e-4,short,TRUE,TRUE,TRUE,TRUE
sst_wgoa_coastwatch_junjulaug,T_sst,ssl_west_pup_pred,stka_herr_matbiom + mid_il_capelin,other_sharks_bsai,-1.5,1,1.5,2,19,27.42493060498241,0.8064553192676408,0.6215674796929217,0.6215674796929217,0.6215674796929217,4.594574198697929e-4,4.594574198697929e-4,4.594574198697929e-4,short,TRUE,TRUE,TRUE,TRUE
sst_wgoa_coastwatch_junjulaug,T_sst,ssl_west_pup_pred,stka_herr_matbiom + mid_il_capelin,other_sharks_bsai,-1.5,1,1.5,2.5,19,27.417509997903156,0.8065308949834774,0.6214693533362086,0.6214693533362086,0.6214693533362086,4.5946845107402014e-4,4.5946845107402014e-4,4.5946845107402014e-4,short,TRUE,TRUE,TRUE,TRUE
sst_wgoa_coastwatch_junjulaug,T_sst,ssl_west_pup_pred,stka_herr_matbiom + mid_il_capelin,other_sharks_bsai,-1.5,1,2,1.5,19,28.755255891215175,0.7924181926380938,0.5977638410496044,0.5977638410496044,0.5977638410496044,7.84595025151962e-4,7.84595025151962e-4,7.84595025151962e-4,short,TRUE,TRUE,TRUE,TRUE
sst_wgoa_coastwatch_junjulaug,T_sst,ssl_west_pup_pred,stka_herr_matbiom + mid_il_capelin,other_sharks_bsai,-1.5,1,2,2,19,28.744830307071975,0.7925320646356684,0.5976530791032528,0.5976530791032528,0.5976530791032528,7.842457916699246e-4,7.842457916699246e-4,7.842457916699246e-4,short,TRUE,TRUE,TRUE,TRUE
sst_wgoa_coastwatch_junjulaug,T_sst,ssl_west_pup_pred,stka_herr_matbiom + mid_il_capelin,other_sharks_bsai,-1.5,1,2,2.5,19,28.735742297307667,0.7926312762024361,0.5975565800614765,0.5975565800614765,0.5975565800614765,7.839412517017197e-4,7.839412517017197e-4,7.839412517017197e-4,short,TRUE,TRUE,TRUE,TRUE
sst_wgoa_coastwatch_junjulaug,T_sst,ssl_west_pup_pred,stka_herr_matbiom + mid_il_capelin,other_sharks_bsai,-1.5,1.5,0.5,1.5,19,32.22574658577919,0.7508181579483337,0.6102812043038438,0.6102812043038438,0.6102812043038438,0.0017877015349052133,0.0017877015349052133,0.0017877015349052133,short,TRUE,TRUE,TRUE,TRUE
sst_wgoa_coastwatch_junjulaug,T_sst,ssl_west_pup_pred,stka_herr_matbiom + mid_il_capelin,other_sharks_bsai,-1.5,1.5,0.5,2,19,32.21050923046672,0.7510179132215076,0.6101573675177281,0.6101573675177281,0.6101573675177281,0.001784563896992826,0.001784563896992826,0.001784563896992826,short,TRUE,TRUE,TRUE,TRUE
sst_wgoa_coastwatch_junjulaug,T_sst,ssl_west_pup_pred,stka_herr_matbiom + mid_il_capelin,other_sharks_bsai,-1.5,1.5,0.5,2.5,19,32.1979046445862,0.7511830329766331,0.6100507616749072,0.6100507616749072,0.6100507616749072,0.0017821234664828303,0.0017821234664828303,0.0017821234664828303,short,TRUE,TRUE,TRUE,TRUE
