model_group,overlap_form,T,w_mean,w_q10,w_q90
long,linear,-2.5,0.09549685156318109,0.09549685156318109,0.09549685156318109
long,linear,-2.4748743718592965,0.09549685156318109,0.09549685156318109,0.09549685156318109
long,linear,-2.449748743718593,0.09549685156318109,0.09549685156318109,0.09549685156318109
long,linear,-2.4246231155778895,0.09549685156318109,0.09549685156318109,0.09549685156318109
long,linear,-2.399497487437186,0.09549685156318109,0.09549685156318109,0.09549685156318109
long,linear,-2.3743718592964824,0.09549685156318109,0.09549685156318109,0.09549685156318109
long,linear,-2.349246231155779,0.09549685156318109,0.09549685156318109,0.09549685156318109
long,linear,-2.3241206030150754,0.09549685156318109,0.09549685156318109,0.09549685156318109
long,linear,-2.298994974874372,0.09549685156318109,0.09549685156318109,0.09549685156318109
long,linear,-2.2738693467336684,0.09549685156318109,0.09549685156318109,0.09549685156318109
long,linear,-2.248743718592965,0.09549685156318109,0.09549685156318109,0.09549685156318109
long,linear,-2.2236180904522613,0.09549685156318109,0.09549685156318109,0.09549685156318109
long,linear,-2.198492462311558,0.09549685156318109,0.09549685156318109,0.09549685156318109
long,linear,-2.1733668341708543,0.09549685156318109,0.09549685156318109,0.09549685156318109
long,linear,-2.148241206030151,0.09549685156318109,0.09549685156318109,0.09549685156318109
long,linear,-2.1231155778894473,0.09549685156318109,0.09549685156318109,0.09549685156318109
long,linear,-2.0979899497487438,0.09549685156318109,0.09549685156318109,0.09549685156318109
long,linear,-2.0728643216080402,0.09549685156318109,0.09549685156318109,0.09549685156318109
long,linear,-2.0477386934673367,0.09549685156318109,0.09549685156318109,0.09549685156318109
long,linear,-2.022613065326633,0.09549685156318109,0.09549685156318109,0.09549685156318109
long,linear,-1.9974874371859297,0.09549685156318109,0.09549685156318109,0.09549685156318109
long,linear,-1.9723618090452262,0.09549685156318109,0.09549685156318109,0.09549685156318109
long,linear,-1.9472361809045227,0.09549685156318109,0.09549685156318109,0.09549685156318109
long,linear,-1.9221105527638191,0.09549685156318109,0.09549685156318109,0.09549685156318109
long,linear,-1.8969849246231156,0.09549685156318109,0.09549685156318109,0.09549685156318109
long,linear,-1.8718592964824121,0.09549685156318109,0.09549685156318109,0.09549685156318109
long,linear,-1.8467336683417086,0.09549685156318109,0.09549685156318109,0.09549685156318109
long,linear,-1.821608040201005,0.09549685156318109,0.09549685156318109,0.09549685156318109
long,linear,-1.7964824120603016,0.09549685156318109,0.09549685156318109,0.09549685156318109
long,linear,-1.771356783919598,0.09549685156318109,0.09549685156318109,0.09549685156318109
long,linear,-1.7462311557788945,0.09549685156318109,0.09549685156318109,0.09549685156318109
long,linear,-1.721105527638191,0.09549685156318109,0.09549685156318109,0.09549685156318109
long,linear,-1.6959798994974875,0.09549685156318109,0.09549685156318109,0.09549685156318109
long,linear,-1.670854271356784,0.09549685156318109,0.09549685156318109,0.09549685156318109
long,linear,-1.6457286432160805,0.09549685156318109,0.09549685156318109,0.09549685156318109
long,linear,-1.620603015075377,0.09549685156318109,0.09549685156318109,0.09549685156318109
long,linear,-1.5954773869346734,0.09549685156318109,0.09549685156318109,0.09549685156318109
long,linear,-1.57035175879397,0.09549685156318109,0.09549685156318109,0.09549685156318109
long,linear,-1.5452261306532664,0.09549685156318109,0.09549685156318109,0.09549685156318109
long,linear,-1.520100502512563,0.09549685156318109,0.09549685156318109,0.09549685156318109
long,linear,-1.4949748743718592,0.09672822541833676,0.09549685156318109,0.09837615362036248
long,linear,-1.4698492462311556,0.10288509469411494,0.09549685156318109,0.11277266390626924
long,linear,-1.4447236180904521,0.10904196396989309,0.09549685156318109,0.12716917419217588
long,linear,-1.4195979899497486,0.11519883324567128,0.09549685156318109,0.14156568447808265
long,linear,-1.394472361809045,0.12135570252144942,0.09549685156318109,0.1559621947639893
long,linear,-1.3693467336683416,0.12751257179722758,0.09549685156318109,0.17035870504989595
long,linear,-1.344221105527638,0.13366944107300577,0.09549685156318109,0.18475521533580272
long,linear,-1.3190954773869346,0.13982631034878393,0.09549685156318109,0.19915172562170935
