model_group,shark_col,shark_temp_col,overlap_form,overlap_slope,shark_transform,aic_weight,delta_aic,n,curve_id,T,O_T,O_T_norm
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,log1p_z,0.010748162504930622,1.2358401856115933,24,15,-2.5,0.1,0.09549685156318109
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,log1p_z,0.010748162504930622,1.2358401856115933,24,15,-2.4748743718592965,0.1,0.09549685156318109
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,log1p_z,0.010748162504930622,1.2358401856115933,24,15,-2.449748743718593,0.1,0.09549685156318109
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,log1p_z,0.010748162504930622,1.2358401856115933,24,15,-2.4246231155778895,0.1,0.09549685156318109
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,log1p_z,0.010748162504930622,1.2358401856115933,24,15,-2.399497487437186,0.1,0.09549685156318109
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,log1p_z,0.010748162504930622,1.2358401856115933,24,15,-2.3743718592964824,0.1,0.09549685156318109
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,log1p_z,0.010748162504930622,1.2358401856115933,24,15,-2.349246231155779,0.1,0.09549685156318109
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,log1p_z,0.010748162504930622,1.2358401856115933,24,15,-2.3241206030150754,0.1,0.09549685156318109
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,log1p_z,0.010748162504930622,1.2358401856115933,24,15,-2.298994974874372,0.1,0.09549685156318109
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,log1p_z,0.010748162504930622,1.2358401856115933,24,15,-2.2738693467336684,0.1,0.09549685156318109
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,log1p_z,0.010748162504930622,1.2358401856115933,24,15,-2.248743718592965,0.1,0.09549685156318109
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,log1p_z,0.010748162504930622,1.2358401856115933,24,15,-2.2236180904522613,0.1,0.09549685156318109
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,log1p_z,0.010748162504930622,1.2358401856115933,24,15,-2.198492462311558,0.1,0.09549685156318109
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,log1p_z,0.010748162504930622,1.2358401856115933,24,15,-2.1733668341708543,0.1,0.09549685156318109
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,log1p_z,0.010748162504930622,1.2358401856115933,24,15,-2.148241206030151,0.1,0.09549685156318109
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,log1p_z,0.010748162504930622,1.2358401856115933,24,15,-2.1231155778894473,0.1,0.09549685156318109
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,log1p_z,0.010748162504930622,1.2358401856115933,24,15,-2.0979899497487438,0.1,0.09549685156318109
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,log1p_z,0.010748162504930622,1.2358401856115933,24,15,-2.0728643216080402,0.1,0.09549685156318109
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,log1p_z,0.010748162504930622,1.2358401856115933,24,15,-2.0477386934673367,0.1,0.09549685156318109
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,log1p_z,0.010748162504930622,1.2358401856115933,24,15,-2.022613065326633,0.1,0.09549685156318109
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,log1p_z,0.010748162504930622,1.2358401856115933,24,15,-1.9974874371859297,0.1,0.09549685156318109
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,log1p_z,0.010748162504930622,1.2358401856115933,24,15,-1.9723618090452262,0.1,0.09549685156318109
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,log1p_z,0.010748162504930622,1.2358401856115933,24,15,-1.9472361809045227,0.1,0.09549685156318109
