sst_col,ssl_col,shark_col,forcing,n,aic,r2,b_cpue,b_ssl,b_shark,p_cpue,p_ssl,p_shark
sst_wgoa_coastwatch_junjulaug,ssl_cent_pup_pred,pacific_sleeper_shark_bsai,T_sst,19,22.74404310239144,0.8487179623194628,0.23121659889035748,3.582434211302433,-0.11035749427605782,0.1405284550251289,2.927027137235414e-5,0.1636007822196462
sst_wgoa_coastwatch_junjulaug,ssl_west_pup_pred,other_sharks_bsai,T_sst,19,23.397667090437636,0.8434231167087831,0.3218747021086445,4.08405958806163,0.16049395158969462,0.037682850717718236,2.292969664270689e-6,0.12373298018222677
sst_wgoa_coastwatch_junjulaug,ssl_west_pup_pred,pacific_sleeper_shark_bsai,T_sst,19,23.789546660039534,0.8401601467346969,0.26135587544168976,4.8638887831503625,0.16548646147310347,0.10330867164876871,4.4688888575158545e-5,0.15022987776620533
akclim_goa_wgoa_win_sst,ssl_seak_pup_pred,pacific_sleeper_shark_bsai,T_sst,19,24.229708383929847,0.8364140069563812,0.2827862616051456,-2.200072581834412,-0.7248190347382294,0.08372099434412736,3.894333486754238e-5,3.5196537266496036e-6
akclim_goa_wgoa_win_sst,ssl_seak_np_pred,pacific_sleeper_shark_bsai,T_sst,19,24.374862874743734,0.8351594713601209,0.2830548981273816,-2.0900150916689038,-0.7447100509331477,0.08459029581764914,4.1300883464082606e-5,3.6012241407390403e-6
sst_wgoa_coastwatch_junjulaug,ssl_seak_pup_pred,pacific_sleeper_shark_bsai,T_sst,19,24.77351859550081,0.83166426741377,0.26711872930620467,-1.777391848597131,-0.5460768232067108,0.1044456400074875,6.66024666226142e-5,7.937181260432777e-6
akclim_goa_wgoa_spr_sst,ssl_seak_pup_pred,pacific_sleeper_shark_bsai,T_sst,19,24.817920844568,0.8312704134284623,0.23650424226726507,-2.139367102246715,-0.6568435930838797,0.15490352535794955,5.706732804124566e-5,4.564808738324913e-6
sst_wgoa_coastwatch_junjulaug,ssl_cent_pup_pred,salmon_shark_bsai,T_sst,19,25.164885723029734,0.8281608846227182,0.18477555013112218,4.0091126473245575,-0.024790820558162004,0.258089002440092,4.696776410324211e-6,0.7625280281464628
sst_wgoa_coastwatch_junjulaug,ssl_seak_np_pred,pacific_sleeper_shark_bsai,T_sst,19,25.167100570841537,0.8281408520083582,0.2698039971900075,-1.6761797408787595,-0.5597333316251525,0.104445174181107,7.814538856093793e-5,8.219784731649245e-6
sst_wgoa_coastwatch_junjulaug,ssl_cent_pup_pred,other_sharks_bsai,T_sst,19,25.229494253908573,0.8275755598562736,0.19127129360757159,4.000103735510617,0.020856034728490378,0.23894159724720765,4.783011564813535e-6,0.837686009961996
