model_group,forage_set_id,forage_label,importance_aicw,n_models,min_aic,mean_r2,rank,importance_rel_top1
long,88,stka_herr_matbiom + capelin_w_go_a + est_abund_herring_recruits,0.10594002757605829,3,31.62081106888506,0.7417432875678903,1,1
long,70,stka_herr_matbiom + mid_il_capelin + est_abund_herring_recruits,0.09298452533839416,3,31.875573343351146,0.7309782647408051,2,0.8777090913218529
long,90,stka_herr_matbiom + sitka_herring_e_go_a + est_abund_herring_recruits,0.0654091684081987,3,32.58428212046613,0.7301333331675192,3,0.6174169471613459
long,63,stka_herr_matbiom + crg_herr_matbiom + est_abund_herring_recruits,0.039510353950549436,3,33.59943460939398,0.7250524780544859,4,0.37295019507318405
long,16,stka_herr_matbiom + capelin_w_go_a,0.03289182309832431,3,33.980360937252904,0.7294014768138223,5,0.31047587820108924
long,139,mid_il_capelin + sitka_herring_e_go_a + est_abund_herring_recruits,0.032173421278778674,3,33.997326519131946,0.7045054967698413,6,0.30369466588707633
long,60,stka_herr_matbiom + crg_herr_matbiom + capelin_w_go_a,0.030519375237492943,3,34.12376051717896,0.7245021777387546,7,0.288081624441545
long,86,stka_herr_matbiom + capelin_w_go_a + sitka_herring_e_go_a,0.03035849783126554,3,34.131798536561035,0.7228852579323977,8,0.2865630538888622
long,12,stka_herr_matbiom + mid_il_capelin,0.029431663511916527,3,34.19427394655321,0.7224533347177612,9,0.2778143840937406
long,173,capelin_w_go_a + sitka_herring_e_go_a + est_abund_herring_recruits,0.027687798475738382,3,34.29721310142369,0.6998968662800978,10,0.2613535139573216
long,116,crg_herr_matbiom + capelin_w_go_a + est_abund_herring_recruits,0.02731693055225642,3,34.330961397986584,0.7101356286697703,11,0.257852779325025
long,56,stka_herr_matbiom + crg_herr_matbiom + mid_il_capelin,0.025939855127931465,3,34.44529344075409,0.7185233152316371,12,0.24485414740248465
long,68,stka_herr_matbiom + mid_il_capelin + sitka_herring_e_go_a,0.02235609500613601,3,34.73886372458442,0.712272749051069,13,0.21102595041412217
long,76,stka_herr_matbiom + pav_capelin_cpue + est_abund_herring_recruits,0.02203424892214948,3,34.77833136867169,0.7181366450348203,14,0.20798794776913074
long,1,stka_herr_matbiom,0.02123254912957364,3,34.85686006334509,0.7198644749349469,15,0.20042046066421876
long,98,crg_herr_matbiom + mid_il_capelin + est_abund_herring_recruits,0.01999981024509457,3,34.95094058733019,0.6975694231053361,16,0.18878426504784473
