selector,model_group,rank,level,importance_aicw,importance_rel_top1,n_models,min_aic,mean_aic,mean_r2
sst_col,long,1,sst_wgoa_coastwatch_junjulaug,0.9612717626619502,1,48,37.677118708434236,55.26601368121753,0.48422577661161925
sst_col,long,2,akclim_goa_wgoa_spr_sst,0.02230507269121372,0.023203711538812493,48,44.6179308841055,57.45285591420526,0.4467389788507684
sst_col,long,3,akclim_goa_wgoa_win_sst,0.006612814393808276,0.0068792350411876185,48,47.33880017526006,57.92217146106605,0.43793386068050305
sst_col,long,4,sst_egoa_coastwatch_junjulaug,0.005521206034821679,0.005743647373488196,48,48.7245217351158,57.45283109460383,0.44856992572255394
sst_col,long,5,akclim_goa_egoa_win_sst,0.002162208354601784,0.002249320575707128,48,50.77910192989308,58.67472253617025,0.4218436912649443
sst_col,long,6,akclim_goa_egoa_spr_sst,0.0021269358636042996,0.0022126270074909896,48,50.780510535503694,58.54537140658526,0.4251379205419178
sst_col,short,1,sst_wgoa_coastwatch_junjulaug,0.40449804585425037,1,48,22.74404310239144,37.73900889037344,0.6212070296877822
sst_col,short,2,akclim_goa_wgoa_spr_sst,0.16933895076940558,0.4186397252223616,48,24.817920844568,39.20661566578482,0.5978953162865501
sst_col,short,3,akclim_goa_wgoa_win_sst,0.15525697072618083,0.3838262565602687,48,24.229708383929847,39.90964551057905,0.5877854643772675
sst_col,short,4,sst_egoa_coastwatch_junjulaug,0.1187563366480049,0.2935893952150153,48,25.506984164543415,39.05970736758025,0.6036874328010104
sst_col,short,5,akclim_goa_egoa_spr_sst,0.0818084277654951,0.20224678117474143,48,25.75214809116614,39.94914318772632,0.5882114652741562
sst_col,short,6,akclim_goa_egoa_win_sst,0.07034126823666319,0.17389767134254266,48,25.60995709488924,40.96965894350235,0.5708268630669078
ssl_col,long,1,ssl_west_pup_pred,0.4879562609515262,1,36,37.677118708434236,53.76880311645135,0.5231184489756286
ssl_col,long,2,ssl_cent_pup_pred,0.3233199309943213,0.662600230528531,36,39.127377188837805,53.48205224809704,0.5303750979697264
ssl_col,long,3,ssl_cent_np_pred,0.18416687266565537,0.3774249608080151,36,39.642057463778116,55.8174801738484,0.4827827838242027
ssl_col,long,4,ssl_east_np_pred,0.0023981351261898745,0.004914651820459183,36,49.589235293961295,57.87151385417071,0.44105937907808035
ssl_col,long,5,ssl_west_np_pred,0.0012057334997162515,0.0024709868408390595,36,52.19710039444388,58.16328818240358,0.43551260045196627
ssl_col,long,6,ssl_seak_pup_pred,3.377468592812414e-4,6.921662581449966e-4,36,55.442663306444075,60.69970458741906,0.3725524015479977
ssl_col,long,7,ssl_east_pup_pred,3.0965607766267507e-4,6.345980212628862e-4,36,57.46164306097854,59.82530286720895,0.39683662713347356
ssl_col,long,8,ssl_seak_np_pred,3.056638256470525e-4,6.264164436603412e-4,36,55.82955519034162,60.79047642886515,0.3703628659153333
ssl_col,short,1,ssl_cent_pup_pred,0.30415428031153113,1,36,22.74404310239144,29.63365942840719,0.7782655714086585
ssl_col,short,2,ssl_west_pup_pred,0.25137177409371886,0.82646140582421,36,23.397667090437636,30.31288940382871,0.7712264913584728
ssl_col,short,3,ssl_seak_pup_pred,0.23069762957720666,0.7584888476365145,36,24.229708383929847,43.16704553214575,0.47979073826295576
ssl_col,short,4,ssl_seak_np_pred,0.19846318583558129,0.6525082784707309,36,24.374862874743734,43.41544947263433,0.4734702904201072
ssl_col,short,5,ssl_cent_np_pred,0.014395534058817494,0.0473297105800149,36,27.77593867771814,37.20513836253786,0.6716350553012383
ssl_col,short,6,ssl_east_pup_pred,5.037877382860553e-4,0.00165635590520064,36,36.830595044174245,45.43206134406686,0.4840196417687513
ssl_col,short,7,ssl_east_np_pred,3.597365704279244e-4,0.0011827437380117186,36,38.996927443579395,41.62345238154215,0.589591263947657
ssl_col,short,8,ssl_west_np_pred,5.407181443055092e-5,1.777775883185588e-4,36,42.54176377508023,44.98867682889879,0.5114857095237249
shark_col,long,1,other_sharks_goa,0.8830119046457215,1,96,37.677118708434236,55.697340675219564,0.48160068672503964
shark_col,long,2,pacific_sleeper_shark_goa,0.06701137332204445,0.07588954686735563,96,41.89989705768491,57.835611613986195,0.44135640625718775
shark_col,long,3,salmon_shark_goa,0.04997672203223403,0.056598016141453364,96,42.61731749016098,59.12403075771834,0.40926798385392593
shark_col,short,1,pacific_sleeper_shark_bsai,0.6775463048098799,1,96,22.74404310239144,34.64670547531993,0.6949226373327798
shark_col,short,2,other_sharks_bsai,0.2245198630698402,0.33137198369466525,96,23.397667090437636,41.27019784488732,0.5556963213355564
shark_col,short,3,salmon_shark_bsai,0.0979338321202799,0.14454190278221682,96,25.164885723029734,42.499986462565865,0.5341878270785009
forcing,long,1,T_sst,0.9925293581600603,1,144,37.677118708434236,56.763854489030145,0.45845044866590823
forcing,long,2,T_clim,0.007470641839939801,0.007526872407873952,144,50.76187867042205,58.34080087558592,0.429699602558194
forcing,short,1,T_sst,0.6165787818407386,1,144,22.74404310239144,39.88942565400258,0.5867637129497815
forcing,short,2,T_clim,0.38342121815926145,0.6218527614826334,144,25.476211774892473,39.055167534512826,0.60310747754811
