shark_col,shark_temp_col,Q10,overlap_form,overlap_slope,shark_transform,n,aic,bic,cfi,rmsea,b_hake_cpue,p_hake_cpue,b_cpue_sar,p_cpue_sar,b_shark_sar,p_shark_sar,aic_base,bic_base,b_shark_base,p_shark_base,delta_aic_vs_base,improved_fit,sig_shark_int,sig_shark_base
goa_pacific_sleeper_shark,sst_wgoa_coastwatch_junjulaug,2,logistic,1,log1p,24,92.21547955349686,100.46185636593248,1,0,-0.37201497826753915,1.4367408693582995e-4,0.314701190912361,0.06687204873983621,-0.5829355006582138,2.8918780734521476e-6,105.70933146808414,113.95570828051976,-0.2160424358886811,0.14235485226707967,-13.493851914587282,TRUE,TRUE,FALSE
goa_pacific_sleeper_shark,sst_wgoa_coastwatch_junjulaug,2,linear,0.6,log1p,24,92.86738983859912,101.11376665103475,1,0,-0.37201497826753893,1.436740869455999e-4,0.2902785234923807,0.1013426090793974,-0.584276724013538,5.4926171402236434e-6,105.70933146808414,113.95570828051976,-0.2160424358886811,0.14235485226707967,-12.84194162948502,TRUE,TRUE,FALSE
goa_pacific_sleeper_shark,sst_wgoa_coastwatch_junjulaug,2,logistic,0.8,log1p,24,93.0305479906684,101.27692480310401,1,0,-0.3720149782675389,1.4367408694382355e-4,0.34304600792347417,0.04682704852501729,-0.5649115046805592,6.433221360069297e-6,105.70933146808414,113.95570828051976,-0.2160424358886811,0.14235485226707967,-12.678783477415749,TRUE,TRUE,FALSE
goa_pacific_sleeper_shark,sst_wgoa_coastwatch_junjulaug,2,linear,0.8,log1p,24,93.06524012831892,101.31161694075453,1,0,-0.37201497826753915,1.4367408693871653e-4,0.29964334184641367,0.09067074248226725,-0.5788514678331457,6.652278720986615e-6,105.70933146808414,113.95570828051976,-0.2160424358886811,0.14235485226707967,-12.644091339765225,TRUE,TRUE,FALSE
goa_pacific_sleeper_shark,sst_wgoa_coastwatch_junjulaug,2,linear,0.4,log1p,24,93.32631029081261,101.57268710324823,1,0,-0.37201497826753915,1.436740869276143e-4,0.33522624164758613,0.054931356107069895,-0.5640377600322333,8.546555653632382e-6,105.70933146808414,113.95570828051976,-0.2160424358886811,0.14235485226707967,-12.38302117727153,TRUE,TRUE,FALSE
goa_pacific_sleeper_shark,sst_wgoa_coastwatch_junjulaug,2,linear,1,log1p,24,93.88870429581317,102.13508110824878,1,0,-0.37201497826753915,1.4367408693827244e-4,0.3337314411480514,0.059905216625940394,-0.5579794969315903,1.4540888267688956e-5,105.70933146808414,113.95570828051976,-0.2160424358886811,0.14235485226707967,-11.820627172270974,TRUE,TRUE,FALSE
goa_pacific_sleeper_shark,sst_wgoa_coastwatch_junjulaug,2,logistic,0.6,log1p,24,94.32695813932202,102.57333495175763,1,0,-0.37201497826753915,1.4367408694093697e-4,0.3872032049356863,0.026127204939306425,-0.5362039318267594,2.1831816773065782e-5,105.70933146808414,113.95570828051976,-0.2160424358886811,0.14235485226707967,-11.382373328762128,TRUE,TRUE,FALSE
goa_pacific_sleeper_shark,sst_egoa_coastwatch_junjulaug,2,linear,0.8,log1p,24,96.20029312384708,104.44666993628269,1,0,-0.3720149782675389,1.436740869291686e-4,0.3828183651867744,0.03664579382353006,-0.512513169651563,1.1535841331022922e-4,105.70933146808414,113.95570828051976,-0.2160424358886811,0.14235485226707967,-9.50903834423707,TRUE,TRUE,FALSE
goa_pacific_sleeper_shark,sst_egoa_coastwatch_junjulaug,2,linear,0.6,log1p,24,96.23628534358693,104.48266215602254,1,0,-0.37201497826753915,1.4367408692783634e-4,0.36316896849646946,0.05035249417164378,-0.5181658910940666,1.1897643867775365e-4,105.70933146808414,113.95570828051976,-0.2160424358886811,0.14235485226707967,-9.473046124497216,TRUE,TRUE,FALSE
goa_pacific_sleeper_shark,sst_egoa_coastwatch_junjulaug,2,linear,1,log1p,24,96.41414361127842,104.66052042371405,1,0,-0.37201497826753915,1.4367408691251526e-4,0.4107687077392009,0.023446839746117387,-0.5012124305420198,1.3851015245047726e-4,105.70933146808414,113.95570828051976,-0.2160424358886811,0.14235485226707967,-9.295187856805725,TRUE,TRUE,FALSE
goa_pacific_sleeper_shark,sst_wgoa_coastwatch_junjulaug,2,linear,0.2,log1p,24,96.43579852909522,104.68217534153084,1,0,-0.37201497826753915,1.436740869231734e-4,0.4524130460091314,0.010761225859600598,-0.48990561241641056,1.4108834150095007e-4,105.70933146808414,113.95570828051976,-0.2160424358886811,0.14235485226707967,-9.273532938988922,TRUE,TRUE,FALSE
goa_pacific_sleeper_shark,sst_wgoa_coastwatch_junjulaug,2,logistic,0.4,log1p,24,96.48775504224315,104.73413185467876,1,0,-0.37201497826753893,1.4367408694138106e-4,0.4558675585704123,0.010142190284484487,-0.48828521699602856,1.4746298116263823e-4,105.70933146808414,113.95570828051976,-0.2160424358886811,0.14235485226707967,-9.221576425840993,TRUE,TRUE,FALSE
goa_pacific_sleeper_shark,sst_egoa_coastwatch_junjulaug,2,logistic,1,log1p,24,96.52669911841927,104.7730759308549,1,0,-0.3720149782675391,1.4367408695270534e-4,0.3706323029057034,0.04653646667717526,-0.5116452263852463,1.5242104457446892e-4,105.70933146808414,113.95570828051976,-0.2160424358886811,0.14235485226707967,-9.182632349664871,TRUE,TRUE,FALSE
goa_salmon_shark,sst_egoa_coastwatch_junjulaug,2,linear,1,log1p,24,98.45400986889538,106.700386681331,1,0,-0.3720149782675389,1.4367408694315742e-4,0.4152906073344621,0.029712474199280914,-0.4676587386939495,7.410321222056648e-4,107.4018329733739,115.64820978580951,-0.09456634846648726,0.5421545907741325,-8.947823104478516,TRUE,TRUE,FALSE
goa_pacific_sleeper_shark,sst_wgoa_coastwatch_junjulaug,2,linear,1,raw,24,96.61799625722804,104.86437306966366,0.9998712537057733,0.008675973517348532,-0.37201497826753915,1.4367408693627404e-4,0.49729817726572717,0.0043784114778808725,-0.4771063364015228,1.646779934001419e-4,105.54441217611307,113.79078898854868,-0.22730884019811926,0.126686387307684,-8.926415918885027,TRUE,TRUE,FALSE
goa_pacific_sleeper_shark,sst_egoa_coastwatch_junjulaug,2,linear,0.4,log1p,24,96.88168350937963,105.12806032181524,1,0,-0.37201497826753893,1.436740869300568e-4,0.36732832166200063,0.05125839848918656,-0.5075339062817571,2.056090809015032e-4,105.70933146808414,113.95570828051976,-0.2160424358886811,0.14235485226707967,-8.827647958704517,TRUE,TRUE,FALSE
goa_pacific_sleeper_shark,sst_egoa_coastwatch_junjulaug,2,logistic,0.8,log1p,24,96.90144528999397,105.14782210242959,1,0,-0.3720149782675389,1.4367408693627404e-4,0.38882903582489026,0.03659935535499348,-0.5004615721026036,2.0904083640038706e-4,105.70933146808414,113.95570828051976,-0.2160424358886811,0.14235485226707967,-8.807886178090172,TRUE,TRUE,FALSE
