"","term1_col","term2_col","n_years","aic","bic","cfi","rmsea","b_hake_cpue","p_hake_cpue","b_hake_sar","p_hake_sar","b_term1_sar","p_term1_sar","b_term2_sar","p_term2_sar","model_type","delta_aic_vs_base","contains_new_shark"
"1","x15_sablefish_biomass_pred_ak","x13_ammod_wai",24,108.465038838307,116.711415650742,1,0,-0.613080028879584,0.000143674098828761,-0.761797997493112,6.32860333027452e-08,0.303953414883095,0.0178824047960668,-0.416658402515355,0.000253199490417355,"1 Predator + 1 Prey",-10.1966390745627,FALSE
"2","x15_salmon_shark_go_a_pred_ak","x13_ammod_wai",24,109.576102598333,117.822479410769,1,0,-0.61308002952158,0.00014367407790572,-0.610709367673997,2.60035800692116e-06,-0.244079534255485,0.0388713024242695,-0.476423362589436,6.06440909578509e-05,"1 Predator + 1 Prey",-9.08557531453613,FALSE
"3","x15_dfa_sleeper_shark_bsai_pred_ak","x13_ammod_wai",24,109.839337385047,118.085714197483,0.945288115671279,0.200490691152237,-0.613079843020179,0.000143674762450141,-0.640411724370872,2.46814752857816e-07,0.383222857349939,0.0328274148724659,-0.734302992485342,4.82890667317104e-05,"1 Predator + 1 Prey",-8.82234052782209,FALSE
"4","x15_shark_enso_roll2","x13_gadid_wai",24,111.102687599814,119.34906441225,1,0,-0.613080026512986,0.000143674087540013,-0.707171440315363,1.1228020762033e-06,-0.367650401889518,0.00326788711394155,0.413169371424842,0.00128893573308564,"1 Predator + 1 Prey",-7.55899031305492,TRUE
"5","x10_dfa_ssl_est_wholerange_2yr_lead","x13_ammod_wai",24,111.229182248331,119.475559060767,1,0,-0.613080042743904,0.000143674021148232,-0.537870085379323,0.000134707319361382,-0.287180550359293,0.11552872256744,-0.623679931339075,0.000268271185791091,"1 Predator + 1 Prey",-7.43249566453798,FALSE
"6","x15_shark_enso_roll2","x12_dfa_biomass_euph_shelf_sum",24,111.697749493292,119.944126305728,1,0,-0.613080033147023,0.000143673805742095,-0.419487063004578,0.0067564589598379,-0.413816329236226,0.00168672835787609,-0.446789855454199,0.00204253094320062,"1 Predator + 1 Prey",-6.9639284195768,TRUE
"7","x10_californian_s_l_2yr_lead_ws","x13_ammod_wai",24,111.733104233143,119.979481045578,1,0,-0.613080026502546,0.000143674076477307,-0.629623695697723,2.27744561742682e-06,-0.199456457900534,0.170407033545689,-0.542374299351004,0.000213856795035605,"1 Predator + 1 Prey",-6.92857367972653,FALSE
"8","x15_pacific_cod_biomass_pred_ak","x13_ammod_wai",24,111.876075837724,120.12245265016,1,0,-0.613080026337771,0.000143673997939686,-0.717598452883058,3.50893505207672e-06,-0.185965708944631,0.19430324381638,-0.423220261791801,0.000533792013766909,"1 Predator + 1 Prey",-6.78560207514505,FALSE
"9","x10_northern_f_s_2yr_lead_ws","x13_ammod_wai",24,112.069597392836,120.315974205272,1,0,-0.61308002232004,0.000143674066470201,-0.697345332168358,2.82587087396813e-06,-0.186236810407154,0.221808925403062,-0.519548760019151,0.000284651862908047,"1 Predator + 1 Prey",-6.59208052003308,FALSE
"10","x15_halibut_biomass_age8plus_2yr_lead_pred_ak","x13_ammod_wai",24,112.461724455716,120.708101268152,1,0,-0.613080007569702,0.00014367415052452,-0.571497968339776,6.06486711407506e-05,0.171310961225852,0.294920902483559,-0.527266307621873,0.00064051380126795,"1 Predator + 1 Prey",-6.19995345715299,FALSE
