model_group,overlap_form,T,w_mean,w_q10,w_q90
short,linear,-2.5,0.5,0.5,0.5
short,linear,-2.4748743718592965,0.5050251256281406,0.5050251256281406,0.5050251256281406
short,linear,-2.449748743718593,0.5100502512562815,0.5100502512562815,0.5100502512562815
short,linear,-2.4246231155778895,0.5150753768844221,0.5150753768844221,0.5150753768844221
short,linear,-2.399497487437186,0.5201005025125628,0.5201005025125628,0.5201005025125628
short,linear,-2.3743718592964824,0.5251256281407035,0.5251256281407035,0.5251256281407035
short,linear,-2.349246231155779,0.5301507537688441,0.5301507537688441,0.5301507537688441
short,linear,-2.3241206030150754,0.535175879396985,0.535175879396985,0.535175879396985
short,linear,-2.298994974874372,0.5402010050251256,0.5402010050251256,0.5402010050251256
short,linear,-2.2738693467336684,0.5452261306532663,0.5452261306532663,0.5452261306532663
short,linear,-2.248743718592965,0.550251256281407,0.550251256281407,0.550251256281407
short,linear,-2.2236180904522613,0.5552763819095476,0.5552763819095476,0.5552763819095476
short,linear,-2.198492462311558,0.5603015075376885,0.5603015075376885,0.5603015075376885
short,linear,-2.1733668341708543,0.5653266331658291,0.5653266331658291,0.5653266331658291
short,linear,-2.148241206030151,0.5703517587939698,0.5703517587939698,0.5703517587939698
short,linear,-2.1231155778894473,0.5753768844221105,0.5753768844221105,0.5753768844221105
short,linear,-2.0979899497487438,0.5804020100502512,0.5804020100502512,0.5804020100502512
short,linear,-2.0728643216080402,0.585427135678392,0.585427135678392,0.585427135678392
short,linear,-2.0477386934673367,0.5904522613065326,0.5904522613065326,0.5904522613065326
short,linear,-2.022613065326633,0.5954773869346733,0.5954773869346733,0.5954773869346733
short,linear,-1.9974874371859297,0.6005025125628141,0.6005025125628141,0.6005025125628141
short,linear,-1.9723618090452262,0.6055276381909547,0.6055276381909547,0.6055276381909547
short,linear,-1.9472361809045227,0.6105527638190955,0.6105527638190955,0.6105527638190955
short,linear,-1.9221105527638191,0.6155778894472361,0.6155778894472361,0.6155778894472361
short,linear,-1.8969849246231156,0.6206030150753769,0.6206030150753769,0.6206030150753769
short,linear,-1.8718592964824121,0.6256281407035176,0.6256281407035176,0.6256281407035176
short,linear,-1.8467336683417086,0.6306532663316582,0.6306532663316582,0.6306532663316582
short,linear,-1.821608040201005,0.635678391959799,0.635678391959799,0.635678391959799
short,linear,-1.7964824120603016,0.6407035175879396,0.6407035175879396,0.6407035175879396
short,linear,-1.771356783919598,0.6457286432160804,0.6457286432160804,0.6457286432160804
short,linear,-1.7462311557788945,0.6507537688442211,0.6507537688442211,0.6507537688442211
short,linear,-1.721105527638191,0.6557788944723617,0.6557788944723617,0.6557788944723617
short,linear,-1.6959798994974875,0.6608040201005025,0.6608040201005025,0.6608040201005025
short,linear,-1.670854271356784,0.6658291457286432,0.6658291457286432,0.6658291457286432
short,linear,-1.6457286432160805,0.6708542713567839,0.6708542713567839,0.6708542713567839
short,linear,-1.620603015075377,0.6758793969849246,0.6758793969849246,0.6758793969849246
short,linear,-1.5954773869346734,0.6809045226130652,0.6809045226130652,0.6809045226130652
short,linear,-1.57035175879397,0.6859296482412061,0.6859296482412061,0.6859296482412061
short,linear,-1.5452261306532664,0.6909547738693467,0.6909547738693467,0.6909547738693467
short,linear,-1.520100502512563,0.6959798994974874,0.6959798994974874,0.6959798994974874
short,linear,-1.4949748743718592,0.7010050251256281,0.7010050251256281,0.7010050251256281
short,linear,-1.4698492462311556,0.7060301507537688,0.7060301507537688,0.7060301507537688
short,linear,-1.4447236180904521,0.7110552763819096,0.7110552763819096,0.7110552763819096
short,linear,-1.4195979899497486,0.7160804020100502,0.7160804020100502,0.7160804020100502
short,linear,-1.394472361809045,0.721105527638191,0.721105527638191,0.721105527638191
short,linear,-1.3693467336683416,0.7261306532663316,0.7261306532663316,0.7261306532663316
short,linear,-1.344221105527638,0.7311557788944724,0.7311557788944724,0.7311557788944724
short,linear,-1.3190954773869346,0.7361809045226131,0.7361809045226131,0.7361809045226131
short,linear,-1.293969849246231,0.7412060301507537,0.7412060301507537,0.7412060301507537
short,linear,-1.2688442211055275,0.7462311557788945,0.7462311557788945,0.7462311557788945
short,linear,-1.243718592964824,0.7512562814070352,0.7512562814070352,0.7512562814070352
short,linear,-1.2185929648241205,0.7562814070351759,0.7562814070351759,0.7562814070351759
short,linear,-1.193467336683417,0.7613065326633166,0.7613065326633166,0.7613065326633166
short,linear,-1.1683417085427135,0.7663316582914573,0.7663316582914573,0.7663316582914573
short,linear,-1.14321608040201,0.771356783919598,0.771356783919598,0.771356783919598
short,linear,-1.1180904522613064,0.7763819095477387,0.7763819095477387,0.7763819095477387
short,linear,-1.092964824120603,0.7814070351758794,0.7814070351758794,0.7814070351758794
short,linear,-1.0678391959798994,0.7864321608040201,0.7864321608040201,0.7864321608040201
