model_group,shark_col,shark_temp_col,overlap_form,overlap_slope,shark_transform,aic_weight,delta_aic,n,curve_id,T,O_T,O_T_norm
short,pacific_sleeper_shark_bsai,sst_wgoa_coastwatch_junjulaug,linear,0.2,log1p_z,0.01005309070641592,0.07026542674685743,19,3,-2.5,0.5,0.5
short,pacific_sleeper_shark_bsai,sst_wgoa_coastwatch_junjulaug,linear,0.2,log1p_z,0.01005309070641592,0.07026542674685743,19,3,-2.4748743718592965,0.5050251256281406,0.5050251256281406
short,pacific_sleeper_shark_bsai,sst_wgoa_coastwatch_junjulaug,linear,0.2,log1p_z,0.01005309070641592,0.07026542674685743,19,3,-2.449748743718593,0.5100502512562815,0.5100502512562815
short,pacific_sleeper_shark_bsai,sst_wgoa_coastwatch_junjulaug,linear,0.2,log1p_z,0.01005309070641592,0.07026542674685743,19,3,-2.4246231155778895,0.5150753768844221,0.5150753768844221
short,pacific_sleeper_shark_bsai,sst_wgoa_coastwatch_junjulaug,linear,0.2,log1p_z,0.01005309070641592,0.07026542674685743,19,3,-2.399497487437186,0.5201005025125628,0.5201005025125628
short,pacific_sleeper_shark_bsai,sst_wgoa_coastwatch_junjulaug,linear,0.2,log1p_z,0.01005309070641592,0.07026542674685743,19,3,-2.3743718592964824,0.5251256281407035,0.5251256281407035
short,pacific_sleeper_shark_bsai,sst_wgoa_coastwatch_junjulaug,linear,0.2,log1p_z,0.01005309070641592,0.07026542674685743,19,3,-2.349246231155779,0.5301507537688441,0.5301507537688441
short,pacific_sleeper_shark_bsai,sst_wgoa_coastwatch_junjulaug,linear,0.2,log1p_z,0.01005309070641592,0.07026542674685743,19,3,-2.3241206030150754,0.535175879396985,0.535175879396985
short,pacific_sleeper_shark_bsai,sst_wgoa_coastwatch_junjulaug,linear,0.2,log1p_z,0.01005309070641592,0.07026542674685743,19,3,-2.298994974874372,0.5402010050251256,0.5402010050251256
short,pacific_sleeper_shark_bsai,sst_wgoa_coastwatch_junjulaug,linear,0.2,log1p_z,0.01005309070641592,0.07026542674685743,19,3,-2.2738693467336684,0.5452261306532663,0.5452261306532663
short,pacific_sleeper_shark_bsai,sst_wgoa_coastwatch_junjulaug,linear,0.2,log1p_z,0.01005309070641592,0.07026542674685743,19,3,-2.248743718592965,0.550251256281407,0.550251256281407
short,pacific_sleeper_shark_bsai,sst_wgoa_coastwatch_junjulaug,linear,0.2,log1p_z,0.01005309070641592,0.07026542674685743,19,3,-2.2236180904522613,0.5552763819095476,0.5552763819095476
short,pacific_sleeper_shark_bsai,sst_wgoa_coastwatch_junjulaug,linear,0.2,log1p_z,0.01005309070641592,0.07026542674685743,19,3,-2.198492462311558,0.5603015075376885,0.5603015075376885
short,pacific_sleeper_shark_bsai,sst_wgoa_coastwatch_junjulaug,linear,0.2,log1p_z,0.01005309070641592,0.07026542674685743,19,3,-2.1733668341708543,0.5653266331658291,0.5653266331658291
short,pacific_sleeper_shark_bsai,sst_wgoa_coastwatch_junjulaug,linear,0.2,log1p_z,0.01005309070641592,0.07026542674685743,19,3,-2.148241206030151,0.5703517587939698,0.5703517587939698
short,pacific_sleeper_shark_bsai,sst_wgoa_coastwatch_junjulaug,linear,0.2,log1p_z,0.01005309070641592,0.07026542674685743,19,3,-2.1231155778894473,0.5753768844221105,0.5753768844221105
short,pacific_sleeper_shark_bsai,sst_wgoa_coastwatch_junjulaug,linear,0.2,log1p_z,0.01005309070641592,0.07026542674685743,19,3,-2.0979899497487438,0.5804020100502512,0.5804020100502512
short,pacific_sleeper_shark_bsai,sst_wgoa_coastwatch_junjulaug,linear,0.2,log1p_z,0.01005309070641592,0.07026542674685743,19,3,-2.0728643216080402,0.585427135678392,0.585427135678392
short,pacific_sleeper_shark_bsai,sst_wgoa_coastwatch_junjulaug,linear,0.2,log1p_z,0.01005309070641592,0.07026542674685743,19,3,-2.0477386934673367,0.5904522613065326,0.5904522613065326
short,pacific_sleeper_shark_bsai,sst_wgoa_coastwatch_junjulaug,linear,0.2,log1p_z,0.01005309070641592,0.07026542674685743,19,3,-2.022613065326633,0.5954773869346733,0.5954773869346733
short,pacific_sleeper_shark_bsai,sst_wgoa_coastwatch_junjulaug,linear,0.2,log1p_z,0.01005309070641592,0.07026542674685743,19,3,-1.9974874371859297,0.6005025125628141,0.6005025125628141
short,pacific_sleeper_shark_bsai,sst_wgoa_coastwatch_junjulaug,linear,0.2,log1p_z,0.01005309070641592,0.07026542674685743,19,3,-1.9723618090452262,0.6055276381909547,0.6055276381909547
short,pacific_sleeper_shark_bsai,sst_wgoa_coastwatch_junjulaug,linear,0.2,log1p_z,0.01005309070641592,0.07026542674685743,19,3,-1.9472361809045227,0.6105527638190955,0.6105527638190955
short,pacific_sleeper_shark_bsai,sst_wgoa_coastwatch_junjulaug,linear,0.2,log1p_z,0.01005309070641592,0.07026542674685743,19,3,-1.9221105527638191,0.6155778894472361,0.6155778894472361
short,pacific_sleeper_shark_bsai,sst_wgoa_coastwatch_junjulaug,linear,0.2,log1p_z,0.01005309070641592,0.07026542674685743,19,3,-1.8969849246231156,0.6206030150753769,0.6206030150753769
short,pacific_sleeper_shark_bsai,sst_wgoa_coastwatch_junjulaug,linear,0.2,log1p_z,0.01005309070641592,0.07026542674685743,19,3,-1.8718592964824121,0.6256281407035176,0.6256281407035176
short,pacific_sleeper_shark_bsai,sst_wgoa_coastwatch_junjulaug,linear,0.2,log1p_z,0.01005309070641592,0.07026542674685743,19,3,-1.8467336683417086,0.6306532663316582,0.6306532663316582
