"","term1_col","term2_col","n_years","aic","bic","cfi","rmsea","b_hake_cpue","p_hake_cpue","b_cpue_sar","p_cpue_sar","b_term1_sar","p_term1_sar","b_term2_sar","p_term2_sar","model_type","delta_aic_vs_base","contains_new_shark"
"1","x15_shark_enso_roll2","x21_pdo_djf",24,105.735329999373,112.80365298146,1,0,-0.613080028554731,0.000143674086900969,0.397531242726213,0.000768305953349646,-0.500284228259166,1.53321791882544e-05,-0.575549361763144,2.66686698680019e-06,"1 Predator + 1 Prey",-16.5325005167554,TRUE
"2","x15_shark_enso_roll2","x21_sst_wgoa_coastwatch_junjulaug",24,107.03897121878,114.107294200868,1,0,-0.613080028554731,0.000143674086900969,0.276280744736982,0.0338721716813277,-0.383202050505808,0.000848115578147457,-0.595972150086648,4.99454341817973e-06,"1 Predator + 1 Prey",-15.2288592973478,TRUE
"3","x15_shark_enso_roll2","x12_dfa_biomass_euph_shelf_sum",24,108.721357420439,115.789680402527,0.967662862902541,0.12460794904526,-0.613080028554731,0.000143674086900969,0.475971631890382,0.000105962475087207,-0.563472467656075,1.22092053742584e-05,-0.535322942213337,5.84447439759828e-05,"1 Predator + 1 Prey",-13.5464730956892,TRUE
"4","x15_arrowtooth_flounder_biomass_pred_ak","x21_sst_wgoa_coastwatch_junjulaug",24,110.157789376509,117.226112358597,1,0,-0.613080028554731,0.000143674086900969,0.289864361537922,0.0396074137336559,-0.339316193240861,0.00946591030367183,-0.663067375015824,3.23822545778008e-06,"1 Predator + 1 Prey",-12.110041139619,FALSE
"5","x10_harbour_s_2yr_lead_ws","x21_sst_wgoa_coastwatch_junjulaug",24,110.235743949317,117.304066931405,1,0,-0.613080028554731,0.000143674086900969,0.222214190643943,0.111227783121796,-0.326456709358833,0.0099925701422503,-0.506049482828522,0.000442671995096955,"1 Predator + 1 Prey",-12.0320865668107,FALSE
"6","x15_dfa_sleeper_shark_bsai_pred_ak","x21_sst_wgoa_coastwatch_junjulaug",24,110.308314375425,117.376637357513,1,0,-0.613080028554731,0.000143674086900969,0.287524828558136,0.0392249595534682,-0.317140486114098,0.0096029033624645,-0.551403717542254,7.65072044066617e-05,"1 Predator + 1 Prey",-11.9595161407028,FALSE
"7","x10_harbour_s_2yr_lead_ws","x21_pdo_djf",24,110.895862015944,117.964184998031,0.976872164417181,0.101417153779713,-0.613080028554731,0.000143674086900969,0.318977948114554,0.0153607451312749,-0.405641281616511,0.00110855777189678,-0.436695955551301,0.000919131044925914,"1 Predator + 1 Prey",-11.3719685001845,FALSE
"8","x10_dfa_ssl_est_wholerange_2yr_lead","x21_sst_wgoa_coastwatch_junjulaug",24,112.218648531318,119.286971513406,1,0,-0.613080028554731,0.000143674086900969,0.269261095935497,0.0649092578546571,0.274697668702574,0.039425195350365,-0.640580471668228,1.51230839087191e-05,"1 Predator + 1 Prey",-10.04918198481,FALSE
"9","x15_spiny_dogfish_go_a_pred_ak","x21_sst_wgoa_coastwatch_junjulaug",24,112.312314139506,119.380637121593,1,0,-0.613080028554731,0.000143674086900969,0.278556121754506,0.0581146140903139,0.273974452554362,0.0424227272957494,-0.639271856234223,1.59971306525897e-05,"1 Predator + 1 Prey",-9.95551637662248,FALSE
"10","x15_shark_catch_go_a_pred_ak","x21_sst_wgoa_coastwatch_junjulaug",24,112.522191415087,119.590514397174,1,0,-0.613080028554731,0.000143674086900969,0.27210584004589,0.0653931845875224,0.264415551181861,0.0496357583721996,-0.634031409797794,1.8834201131579e-05,"1 Predator + 1 Prey",-9.74563910104146,FALSE
"11","x15_dfa_sleeper_shark_bsai_pred_ak","x12_dfa_biomass_euph_shelf_sum",24,112.708768995788,119.777091977875,0.98487574606135,0.0792764249795053,-0.613080028554731,0.000143674086900969,0.480885813136228,0.000315097162562505,-0.477058675352668,0.000399803050308511,-0.452750655705033,0.00117617529647052,"1 Predator + 1 Prey",-9.55906152034032,FALSE
"12","x10_californian_s_l_2yr_lead_ws","x21_sst_wgoa_coastwatch_junjulaug",24,112.727345432799,119.795668414886,1,0,-0.613080028554731,0.000143674086900969,0.23896811668811,0.103086714311349,0.245945708692687,0.056349099811118,-0.592382616954524,5.43101134722335e-05,"1 Predator + 1 Prey",-9.5404850833292,FALSE
"13","x15_sablefish_biomass_pred_ak","x21_sst_wgoa_coastwatch_junjulaug",24,112.768467244918,119.836790227006,1,0,-0.613080028554731,0.000143674086900969,0.282330254567697,0.0597192489075542,0.255078802001662,0.0598850152904062,-0.617693752720786,2.90285434225712e-05,"1 Predator + 1 Prey",-9.49936327121009,FALSE
