"","prey_variable","n","aic","bic","cfi","rmsea","b_hake_cpue","p_hake_cpue","b_cpue_sar","p_cpue_sar","b_prey_sar","p_prey_sar","b_shark_sar","p_shark_sar","delta_aic_vs_base","prey_sign","sig_prey"
"1","x12_copepod_biomass_w_go_a",18,86.570656005695,93.6936300688644,1,0,-0.591374340586358,0.000176445296711014,0.241492286239802,0.135502417488464,-0.593311515262076,0.000155116780643505,-0.510321448486619,0.0115289357860671,-8.52956491404743,"Negative",TRUE
"2","x13_pollock_biomass_go_aage3plus_pred_ak",18,87.6992758669643,94.8222499301336,0.980097769523899,0.0933612933012817,-0.591374340586358,0.000176445296823147,0.338255499931792,0.0338026233174822,-0.962802368899882,0.000442063333101705,-1.63824559681301,4.88088172367895e-06,-7.4009450527782,"Negative",TRUE
"3","x12_dfa_biomass_euph_shelf_sum",18,90.0402140784064,97.1631881415757,1,0,-0.591374340586358,0.000176445296674155,0.306501164156831,0.0787821332210004,-0.486517769409115,0.00327994460313152,-0.877776080260301,0.000236553384002969,-5.0600068413361,"Negative",TRUE
"4","x13_stka_herr_matbiom",18,91.7745311278955,98.8975051910649,0.746312801319464,0.346777943314644,-0.591374340586358,0.000176445296945937,0.53290911037171,0.00238533472552604,0.384235159089834,0.0127941223045875,-0.555575954386384,0.0168502747320463,-3.32568979184694,"Positive",TRUE
"5","x13_mid_il_capelin",18,91.8577260876156,98.980700150785,0.976246188843789,0.0925767414951362,-0.591374340586358,0.000176445296737437,0.120893564672841,0.589343201641026,0.482139803800307,0.0136274475925129,-0.548073810846124,0.018821154209373,-3.24249483212682,"Positive",TRUE
"6","x13_egoa_herring",18,92.7310083297876,99.853982392957,0.692211893737516,0.386558658404835,-0.591374340586358,0.000176445296858674,0.535403723918881,0.0030491009186091,0.349234367904697,0.0261642443367092,-0.550029180382968,0.0214671933863693,-2.36921258995483,"Positive",TRUE
"7","x13_wgoa_cap_pcod",18,93.0187891375099,100.141763200679,1,0,-0.591374340586358,0.000176445296717231,0.222421522746436,0.297271069308406,0.395879169233242,0.0323244567598064,-0.530108306845267,0.0287693704169447,-2.08143178223261,"Positive",TRUE
"8","x13_hexagram_eai",18,93.4635805561644,100.586554619334,0.948456268787767,0.132385560698654,-0.591374340586358,0.000176445296812044,0.395797400745473,0.0328650887062323,-0.38361359939345,0.0446966727178439,-0.414037612690632,0.113100793170423,-1.6366403635781,"Negative",TRUE
"9","x12_copepod_com_e_go_a",18,95.4037895087716,102.526763571941,0.723052678231501,0.331302856504983,-0.591374340586358,0.000176445296667271,0.547593016530221,0.00639460235540112,0.255624104169801,0.182279026622402,-0.535784546880555,0.0407424480502474,0.303568589029169,"Positive",FALSE
"10","x14_pink_salmon",18,95.7687975897016,102.891771652871,0.837667024115367,0.232860513883251,-0.591374340586358,0.000176445296784733,0.540304921965332,0.00783797503672456,0.240032390022001,0.239777510177542,-0.536439130492565,0.0436559135531691,0.668576669959094,"Positive",FALSE
"11","x13_gadid_wai",18,95.7942607964661,102.917234859635,0.828046752203408,0.240846141791553,-0.591374340586358,0.000176445296691918,0.517414693611089,0.00913515339423965,0.298937160671573,0.244492461609723,-0.653375118354607,0.0125006909958163,0.69403987672365,"Positive",FALSE
"12","x14_pink_salmon_asia",18,95.8112080294924,102.934182092662,0.859563427428146,0.213510368882376,-0.591374340586358,0.000176445296634631,0.522303010547662,0.00886347779432528,0.224184236738699,0.247689487235634,-0.531002633278365,0.0472195098877306,0.710987109749965,"Positive",FALSE
"13","x13_dfa_wgoa_dfa_seabirds",18,96.4398302389899,103.562804302159,0.892348372985506,0.179600180557619,-0.591374340586358,0.000176445296711014,0.402179164065416,0.0597918516886182,-0.164821794168694,0.412127645013241,-0.532247891014598,0.0570106039088671,1.33960931924744,"Negative",FALSE
"14","x14_pink_salmon_north_america",18,96.7668428808611,103.88981694403,0.904400971108351,0.16620162448858,-0.591374340586358,0.000176445296694583,0.466887530664491,0.0192051179760877,-0.103520388746258,0.56186553619055,-0.58049603189404,0.0318267061941371,1.66662196111866,"Negative",FALSE
"15","x13_hexagram_wai",18,96.8797925847948,104.002766647964,0.838939821227732,0.223086173019019,-0.591374340586358,0.000176445296752092,0.502843173368908,0.0180054592989518,-0.145125340361318,0.637684293250237,-0.664911039162615,0.0227262856304145,1.77957166505232,"Negative",FALSE
"16","x13_ammod_wai",18,96.9045302144216,104.027504277591,0.901075705527106,0.168550768186403,-0.591374340586358,0.000176445296659056,0.469471810855427,0.0189857328863556,0.221435796039325,0.657350262018306,-0.701390950847286,0.0382268288711849,1.80430929467911,"Positive",FALSE
"17","x12_copepod_com_w_go_a",18,96.9332940360462,104.056268099215,0.806025876777401,0.249292872715813,-0.591374340586358,0.000176445296659056,0.414119516369868,0.0855632603108674,-0.0940866744493372,0.682161077686243,-0.623277057646199,0.0206752386109581,1.83307311630369,"Negative",FALSE
"18","x13_dfa_wgoa_dfa_mid_trophic",18,97.0982269242766,104.221200987446,0.707956308585455,0.324451323691034,-0.591374340586358,0.000176445296693251,0.473847676956782,0.0390072707171605,0.0103167383078947,0.964381973445911,-0.603954456452592,0.0385872384675581,1.99800600453412,"Positive",FALSE
