"","prey_variable","n","aic","bic","cfi","rmsea","b_hake_cpue","p_hake_cpue","b_cpue_sar","p_cpue_sar","b_prey_sar","p_prey_sar","b_shark_sar","p_shark_sar","delta_aic_vs_base","prey_sign","sig_prey"
"1","x12_dfa_biomass_euph_shelf_sum",24,112.721357420439,122.145788063222,0.967662862902541,0.124607949045259,-0.613080028554731,0.000143674086872769,0.475971631890382,0.00011103671267132,-0.535322942213337,5.47107801867064e-05,-0.563472467656075,1.20311773497139e-05,-10.4257187327623,"Negative",TRUE
"2","x12_copepod_biomass_w_go_a",24,117.775381742165,127.199812384949,0.985551851047921,0.0760428151970035,-0.613080028554731,0.000143674086879209,0.453046326981353,0.00136142981159981,-0.419097411161546,0.00330815808146867,-0.27381682520154,0.0450922092400878,-5.37169441103563,"Negative",TRUE
"3","x13_pollock_biomass_go_aage3plus_pred_ak",24,118.90489269408,128.329323336863,0.915367468710175,0.187132834626993,-0.613080028554731,0.0001436740868761,0.527689388902786,0.000136110012436408,-0.535537003988863,0.00758405024968156,-0.751418272511856,0.000139046696887357,-4.24218345912138,"Negative",TRUE
"4","x13_stka_herr_matbiom",24,121.158001763993,130.582432406777,0.699779925355643,0.38609354283786,-0.613080028554731,0.000143674086844126,0.645091230187776,7.74153270888256e-06,0.302581993504614,0.0372324827299584,-0.322961939305622,0.0250506377344986,-1.98907438920762,"Positive",TRUE
"5","x13_egoa_herring",24,121.326059761217,130.750490404001,0.657829426133325,0.423696079600129,-0.613080028554731,0.000143674086675594,0.646156618456311,8.23533579930036e-06,0.297863648024471,0.0418319094771924,-0.319227295307642,0.0277152087399675,-1.82101639198353,"Positive",TRUE
"6","x13_wgoa_cap_pcod",24,121.726579969197,131.151010611981,0.955431648310849,0.125856235336877,-0.613080028554731,0.000143674086880763,0.464008868607313,0.00371164669434298,0.308500975997907,0.0551929817944445,-0.299553991435585,0.0438867754802093,-1.42049618400407,"Positive",FALSE
"7","x13_mid_il_capelin",24,121.796193724332,131.220624367115,0.912021667773701,0.180728802670456,-0.613080028554731,0.000143674086802825,0.447423504348253,0.00651221664957391,0.311476912743171,0.057915794813501,-0.312158440181962,0.0342476126888558,-1.35088242886928,"Positive",FALSE
"8","x13_gadid_wai",24,122.145926570971,131.570357213754,0.700819574362701,0.377457351428407,-0.613080028554731,0.000143674086723333,0.636054530014643,1.50779721064254e-05,0.268859745021663,0.073779547210683,-0.441166593918771,0.00342786703932196,-1.00114958223023,"Positive",FALSE
"9","x14_pink_salmon_north_america",24,123.155187779316,132.5796184221,0.848106299650432,0.239293895042843,-0.613080028554731,0.000143674086974688,0.604271197608156,4.72960433890446e-05,-0.218195652852374,0.149545368304007,-0.319801672448031,0.0358831607959886,0.00811162611518057,"Negative",FALSE
"10","x13_dfa_wgoa_dfa_seabirds",24,123.161618338762,132.586048981545,0.903402695518498,0.184870675219762,-0.613080028554731,0.000143674086974688,0.532283146556925,0.000600495345787655,-0.23704594008565,0.150231763962834,-0.276119489427832,0.0884326483011546,0.0145421855606287,"Negative",FALSE
"11","x14_pink_salmon_asia",24,123.393539132714,132.817969775498,0.78484264210281,0.294519197259213,-0.613080028554731,0.000143674086914292,0.637365566528352,2.79953698769653e-05,0.221042961302193,0.177410157236595,-0.288510721193477,0.0728672813385385,0.246462979513382,"Positive",FALSE
"12","x13_hexagram_eai",24,123.552327862177,132.97675850496,0.871747863809729,0.215003159473112,-0.613080028554731,0.000143674086926948,0.547139738218245,0.000402394158430575,-0.207905360298616,0.199105253693612,-0.296227183961627,0.0644776956423052,0.405251708975726,"Negative",FALSE
"13","x12_copepod_com_w_go_a",24,124.020037930856,133.444468573639,0.841450530303397,0.240790689077656,-0.613080028554731,0.00014367408682836,0.505961087319794,0.00350091673837594,-0.202325353385308,0.282730020255605,-0.440704551595778,0.00755339066106409,0.872961777654751,"Negative",FALSE
"14","x14_pink_salmon",24,124.268487710869,133.692918353652,0.775095300022938,0.29712858968623,-0.613080028554731,0.000143674086834578,0.629615193456923,5.30639580258452e-05,0.157480098586245,0.344161497608307,-0.315140774646718,0.0524366718738756,1.12141155766753,"Positive",FALSE
"15","x13_ammod_wai",24,124.463173194423,133.887603837207,0.700606315831926,0.358978637803215,-0.613080028554731,0.000143674086882317,0.570130492217094,0.000255420865601597,-0.188188401902564,0.404895033862767,-0.228883222049308,0.31474180592119,1.31609704122209,"Negative",FALSE
"16","x12_copepod_com_e_go_a",24,124.489179226032,133.913609868815,0.795278093614835,0.27844967328101,-0.613080028554731,0.000143674086888756,0.61592842456844,6.60628967681376e-05,0.126400310333398,0.414100501170969,-0.35328392679151,0.0217275361608464,1.34210307283061,"Positive",FALSE
"17","x13_hexagram_wai",24,124.865294721261,134.289725364045,0.761540718790269,0.30442859689535,-0.613080028554731,0.00014367408682836,0.554805435306488,0.0013450832452786,0.0929052052900124,0.594453961649236,-0.347121962310579,0.0295707177128497,1.71821856806039,"Positive",FALSE
"18","x13_dfa_wgoa_dfa_mid_trophic",24,124.981559431599,134.405990074383,0.747228683639744,0.315554260383476,-0.613080028554731,0.000143674086834578,0.56922240282764,0.000734585712673042,-0.0762072268050294,0.683611485058836,-0.400194580740516,0.0195727634380547,1.8344832783981,"Negative",FALSE
