ssl_variable,herring_variable,capelin_variable,n_years,aic,delta_aic_vs_pdo,beats_pdo,cfi,rmsea,srmr,r2_sar,b_issl_sar,p_issl_sar,b_shark_sar,p_shark_sar
ssl_seak_pup_pred,x13_stka_herr_matbiom,x13_wgoa_cap_pcod,24,103.01540492523753,-2.7195950747624664,TRUE,0.9734276298338232,0.12184773998136664,0.06528700527275529,0.7585380662532146,-0.530885005858709,3.416816269918854e-7,-0.2664513810000858,0.008924854326419762
ssl_seak_pup_pred,x13_stka_herr_matbiom,x13_mid_il_capelin,24,104.2177891751133,-1.5172108248867033,TRUE,0.9298967620734042,0.1993581196354821,0.05531387733838568,0.7327718703343626,-0.5363925990850791,8.213523559064129e-7,-0.26916764885060085,0.012040329264647376
ssl_east_pup_pred,x13_stka_herr_matbiom,x13_wgoa_cap_pcod,24,107.1673973202362,1.4323973202362055,FALSE,0.8834236715346337,0.25330110385129806,0.08095253052161588,0.7155960690781367,-0.4822598908018943,1.4283600852538214e-5,-0.2664861895603937,0.01634407282693684
ssl_east_pup_pred,x13_stka_herr_matbiom,x13_mid_il_capelin,24,108.14116463686236,2.406164636862357,FALSE,0.8443097758459981,0.29523679237168815,0.075684183149305,0.6931789100288448,-0.4767189949079377,3.3682971702475584e-5,-0.2766493881056922,0.016161875466504938
ssl_west_np_pred,x13_stka_herr_matbiom,x13_wgoa_cap_pcod,24,109.65231117888183,3.917311178881832,FALSE,0.8361865176034431,0.2974759099696209,0.08096453330446855,0.677440054259897,-0.4493108318671734,1.2154518922624646e-4,-0.3022107925690319,0.00984793546677487
ssl_seak_pup_pred,x13_egoa_herring,x13_wgoa_cap_pcod,24,109.86511078814124,4.130110788141238,FALSE,0.8878542823547894,0.23808036739102614,0.06917244709870747,0.6678381872325,-0.4503478798245307,1.603710048685425e-4,-0.3018795184276332,0.011060055589391382
ssl_west_np_pred,x13_stka_herr_matbiom,x13_mid_il_capelin,24,110.14633180534801,4.411331805348013,FALSE,0.7958452363048193,0.3378082501775741,0.08046627844629682,0.661897759374624,-0.44707106014943876,1.8537575105903592e-4,-0.30701884027939214,0.010395054203806042
ssl_west_pup_pred,x13_stka_herr_matbiom,x13_wgoa_cap_pcod,24,110.20321664162779,4.468216641627791,FALSE,0.8216588103702097,0.31045514986649264,0.08055755031114187,0.6663254416315967,-0.4442492807634131,1.9375433899604388e-4,-0.2954822625572878,0.013336810626255913
ssl_west_pup_pred,x13_stka_herr_matbiom,x13_mid_il_capelin,24,110.89323685085188,5.158236850851878,FALSE,0.7817177120594491,0.3483094728517545,0.08148408145850741,0.6477583211397417,-0.4383309060189279,3.457552114316531e-4,-0.29847307345788404,0.014999686526580014
ssl_seak_pup_pred,x13_egoa_herring,x13_mid_il_capelin,24,111.57496279549406,5.83996279549406,FALSE,0.8277756718656463,0.2973632784046426,0.07381023232107674,0.626126953629297,-0.43382954751419217,5.817615831726908e-4,-0.30931897714460316,0.014098441642108606
ssl_east_pup_pred,x13_egoa_herring,x13_wgoa_cap_pcod,24,112.65308290057618,6.918082900576181,FALSE,0.8079615234613549,0.31218106984991273,0.08356022119382224,0.629064891491425,-0.40217923020228663,0.00136728492941951,-0.3038501201695129,0.015754292794958324
ssl_east_pup_pred,x13_egoa_herring,x13_mid_il_capelin,24,113.59531026798018,7.860310267980182,FALSE,0.7692916152740429,0.345024950629959,0.08431670043337434,0.6026258446336162,-0.38709702094876053,0.0028784692521759414,-0.3142683660729522,0.01563442537758597
ssl_east_np_pred,x13_stka_herr_matbiom,x13_wgoa_cap_pcod,24,113.74064205502748,8.00564205502748,FALSE,0.971175399221693,0.1082655020703727,0.06818727181272048,0.6205162788194888,-0.37736674738906356,0.004936859106021041,-0.3584752428310756,0.004439350129357367
ssl_east_np_pred,x13_stka_herr_matbiom,x13_mid_il_capelin,24,113.90643430421159,8.171434304211587,FALSE,0.978807363625375,0.09220008973998638,0.054235398193420166,0.6046499636513393,-0.38423975507522234,0.004475482497021899,-0.36825158051283097,0.00420900535113522
ssl_west_np_pred,x13_egoa_herring,x13_wgoa_cap_pcod,24,113.90945988002596,8.174459880025964,FALSE,0.763823987216296,0.3484058744122104,0.08743677782027941,0.6046036815701742,-0.3770032509639382,0.0035202397207629854,-0.32931613031187795,0.010762602923600317
ssl_west_pup_pred,x13_egoa_herring,x13_wgoa_cap_pcod,24,114.08304087772257,8.348040877722568,FALSE,0.7522511353627532,0.35846851236239824,0.08797922918367564,0.599094649343998,-0.3750987609494597,0.00404720981884088,-0.3217079981888939,0.013572963008850136
ssl_west_np_pred,x13_egoa_herring,x13_mid_il_capelin,24,114.4891237227624,8.754123722762401,FALSE,0.7253774419245114,0.381549452139321,0.0896720807573064,0.5856052803841342,-0.3669899598189703,0.00560747543609752,-0.33435010138819055,0.011398231686788662
ssl_cent_pup_pred,x05_herring_ncc,x13_mid_il_capelin,24,114.72188239771359,8.986882397713586,FALSE,0.7644506726417506,0.34276594582620795,0.0998673206459584,0.6103015130525757,-0.35684643464462623,0.005367567265425199,-0.35296780455445065,0.005704557079194483
ssl_cent_pup_pred,x05_herring_ncc,x13_wgoa_cap_pcod,24,114.79708491912686,9.06208491912686,FALSE,0.7858035453619946,0.32194743563537037,0.09998193852159913,0.6112435565257264,-0.35298145436145567,0.005712372581723635,-0.35005792702314903,0.006060698776327644
ssl_west_pup_pred,x13_egoa_herring,x13_mid_il_capelin,24,114.79906163981337,9.064061639813374,FALSE,0.7149900963734805,0.3893140765110859,0.09076388097844593,0.5778762653144224,-0.36141970789813327,0.007092628193722694,-0.3255120421484962,0.014938817480645739
ssl_cent_pup_pred,x13_stka_herr_matbiom,x13_mid_il_capelin,24,115.14716501811455,9.41216501811455,FALSE,0.7034635434066221,0.39779520149476366,0.09504021160680876,0.5844467452638233,-0.3522076982493853,0.008450053104787303,-0.333186683495219,0.011845778501762494
ssl_cent_pup_pred,x13_stka_herr_matbiom,x13_wgoa_cap_pcod,24,115.29532852482279,9.560328524822793,FALSE,0.7273951901588953,0.3740496001713337,0.09336284115395892,0.5831591352103469,-0.3471280222352966,0.009377672752581834,-0.33085972775887446,0.01263381088803106
ssl_model_eric,x13_stka_herr_matbiom,x13_mid_il_capelin,24,115.93317459881479,10.198174598814788,FALSE,0.687640410381628,0.4068922948202295,0.09498792342670878,0.5637470584187612,-0.3334116399494689,0.015512303626371127,-0.32743900672745335,0.01608985365317661
ssl_model_eric,x13_stka_herr_matbiom,x13_wgoa_cap_pcod,24,116.02739284003852,10.292392840038517,FALSE,0.7084396538842168,0.3866023583470997,0.09357193803579439,0.5640994537971878,-0.3293939223426807,0.016394001194690144,-0.3292813639256054,0.01537872682979513
ssl_cent_np_pred,x05_herring_gam,x13_wgoa_cap_pcod,24,116.37709142712441,10.642091427124413,FALSE,1,0,0.0391662660732215,0.5461485425271619,0.35997704940078357,0.021185158839225116,-0.3683128660937189,0.007571561179076092
ssl_cent_np_pred,x05_herring_ncc,x13_mid_il_capelin,24,116.46717637223367,10.732176372233667,FALSE,0.7390613155284758,0.35505645636819094,0.10236319478236414,0.5803112964831023,-0.32025101087045327,0.018245161964502543,-0.41514698689439317,0.002014942644475104
ssl_cent_np_pred,x05_herring_ncc,x13_wgoa_cap_pcod,24,116.86372753485244,11.128727534852445,FALSE,0.7554375012600553,0.33735600246653696,0.10053439734470955,0.5719936590181622,-0.30720500511916254,0.02487758143244978,-0.41677467913907257,0.002192716700134989
ssl_cent_pup_pred,x13_egoa_herring,x13_mid_il_capelin,24,116.87645359086952,11.141453590869517,FALSE,0.6622289291670084,0.4233413858503817,0.09776670077373066,0.5479051542744338,-0.30633256507774886,0.029662546952971658,-0.34603171991255716,0.012061774225665234
ssl_cent_pup_pred,x13_egoa_herring,x13_wgoa_cap_pcod,24,116.94869032672253,11.213690326722528,FALSE,0.6844920460027697,0.4018681729891298,0.09628978267698125,0.5478612486860088,-0.30294783946093984,0.030965063622887312,-0.34382627436773927,0.012661595143355742
ssl_model_eric,x13_egoa_herring,x13_mid_il_capelin,24,116.96204137345137,11.227041373451371,FALSE,0.6610289594200305,0.42375882889804944,0.0971831555649217,0.5424788610250104,-0.30426798128430516,0.03229957379644355,-0.3336475771479594,0.016560686947360015
ssl_model_eric,x13_egoa_herring,x13_wgoa_cap_pcod,24,117.00011734037349,11.265117340373493,FALSE,0.679911466927726,0.40572185711610315,0.0959691405296658,0.5437597311418882,-0.3019932970439395,0.03275893042482214,-0.3350076326486923,0.015902311750847442
ssl_west_np_pred,x05_herring_ncc,x13_wgoa_cap_pcod,24,117.10873067431709,11.373730674317088,FALSE,0.8349929231338149,0.2622953248312325,0.08374906112535216,0.5543876590116401,-0.2890873954687508,0.03516323877302785,-0.3950977264237068,0.0040528200261615854
ssl_cent_np_pred,x13_stka_herr_matbiom,x13_mid_il_capelin,24,117.15778714900236,11.42278714900236,FALSE,0.6772764403455385,0.40689994212218505,0.09625704275537227,0.5416534432803364,-0.2952853292957284,0.03633276136743602,-0.3642341602525645,0.008520837013425764
ssl_west_np_pred,x05_herring_ncc,x13_mid_il_capelin,24,117.18167046092319,11.446670460923187,FALSE,0.8162080379197798,0.27958295967582375,0.08262932593913537,0.545823919056557,-0.2885117821142425,0.03729751684026916,-0.396809821534873,0.004248272713250456
ssl_cent_np_pred,x05_herring_gam,x13_mid_il_capelin,24,117.62207253189644,11.887072531896436,FALSE,0.9682033090238952,0.10582668110223609,0.04391075636281838,0.5219593535245228,0.3151723026962283,0.04995851916937699,-0.36887667974388766,0.009170774192966524
ssl_cent_np_pred,x13_stka_herr_matbiom,x13_wgoa_cap_pcod,24,117.6739790825925,11.938979082592496,FALSE,0.7027149114475866,0.3794241128613226,0.09390400856036998,0.5305374138360901,-0.2759300206125619,0.05237337194822378,-0.36521793183260887,0.00914796998433376
ssl_east_pup_pred,x05_herring_ncc,x13_wgoa_cap_pcod,24,117.69934585368372,11.964345853683724,FALSE,0.8358789625988479,0.2583529611793177,0.08266986974826623,0.5401982988005015,-0.2689775605494855,0.05340409978217164,-0.3904637204733191,0.005119517194015488
ssl_east_pup_pred,x05_herring_ncc,x13_mid_il_capelin,24,117.76058072601336,12.02558072601336,FALSE,0.8173499302990761,0.2752738590983371,0.08174656169499722,0.5310294057011039,-0.2687206931100311,0.05615312931081906,-0.3938277673124973,0.005207180537731393
ssl_west_pup_pred,x05_herring_ncc,x13_wgoa_cap_pcod,24,117.78135647049157,12.046356470491574,FALSE,0.8317884808775048,0.26175538188637354,0.0825180590524367,0.5372278026386899,-0.2665491552616654,0.056525551064467106,-0.39220788587655386,0.00509499810773173
ssl_cent_np_pred,x13_egoa_herring,x13_mid_il_capelin,24,117.89379723663362,12.158797236633617,FALSE,0.6400125858722743,0.43553230795251585,0.09885085660802274,0.526396468162037,-0.27224547617940165,0.06079257510357383,-0.36603098034042286,0.009300437162941488
ssl_east_np_pred,x13_egoa_herring,x13_wgoa_cap_pcod,24,117.98891815779581,12.253918157795809,FALSE,0.9097181859878036,0.18258510471039968,0.0680598823256662,0.5312361659044631,-0.26083996451420355,0.07160477910931307,-0.37598537286778544,0.007389652396947444
ssl_west_pup_pred,x05_herring_ncc,x13_mid_il_capelin,24,117.99331073114641,12.258310731146409,FALSE,0.8128001257260464,0.2781250456863688,0.08240191537465176,0.5259221588199225,-0.2600564813760418,0.06592027395562083,-0.3919334821755006,0.005659953370106274
ssl_east_np_pred,x13_egoa_herring,x13_mid_il_capelin,24,118.19366075963168,12.458660759631684,FALSE,0.8966161663068258,0.19597273523299732,0.06713498082649078,0.5155798049797371,-0.2580772734211303,0.07682494669389817,-0.38156437838832497,0.007549676759970536
ssl_cent_np_pred,x13_egoa_herring,x13_wgoa_cap_pcod,24,118.28214961959438,12.547149619594379,FALSE,0.6645890888502699,0.4092435879537765,0.09675512694610085,0.5176780917505595,-0.25542417735134276,0.08008604863058633,-0.36689967501858956,0.009784283033452246
ssl_model_eric,x05_herring_ncc,x13_mid_il_capelin,24,118.60208493132637,12.867084931326374,FALSE,0.7430700385582278,0.3364612761057773,0.09342992000404808,0.5219431773972028,-0.24229565251776988,0.0947364792381562,-0.40319039098378084,0.004896955570206529
ssl_east_np_pred,x05_herring_ncc,x13_mid_il_capelin,24,118.66575058984489,12.930750589844891,FALSE,0.8489975009123458,0.24098731921023575,0.07691544734893964,0.5110616722567433,-0.24242675864404967,0.10645258615609032,-0.4357052114258244,0.003682236670327521
ssl_model_eric,x05_herring_ncc,x13_wgoa_cap_pcod,24,118.72324176084601,12.988241760846009,FALSE,0.7593656653493204,0.321275032135862,0.09321053142739458,0.5217568451999008,-0.23683377473262843,0.10237914179927965,-0.4056735593730644,0.004771121927728883
