"Year","07.Cond2NCC_DFA1","06.Cond1NCC_DFA1","06.Cond1NCC_0_smoothed","06.Cond1NCC_1_smoothed","06.Cond1NCC_2_smoothed","10.PredMammalNCC_DFA1","10.PredMammalNCC_0_smoothed","10.PredMammalNCC_1_smoothed","10.PredMammalNCC_2_smoothed","10.PredMammalNCC_3_smoothed","15.PredFishAK_0_smoothed","15.PredFishAK_1_smoothed","15.PredFishAK_2_smoothed","15.PredFishAK_3_smoothed","15.PredFishAK_4_smoothed","15.PredFishAK_5_smoothed","15.PredFishAK_b_DFA1","15.PredFishAK_b_0_smoothed","15.PredFishAK_b_1_smoothed","15.PredFishAK_b_2_smoothed","15.PredFishAK_b_3_smoothed","08.PredBirdNCC_DFA1","08.PredBirdNCC_b_0_smoothed","08.PredBirdNCC_b_1_smoothed","08.PredBirdNCC_b_2_smoothed","09.PredFishNCC_DFA1","09.PredFishNCC_b_DFA1","09.PredFishNCC_b_0_smoothed","09.PredFishNCC_b_1_smoothed","11.PredMammalSmolt_DFA1","11.PredMammalSmolt_0_smoothed","12.ZooPreyAK_DFA1","12.ZooPreyAK_0_smoothed","12.ZooPreyAK_1_smoothed","12.ZooPreyAK_2_smoothed","13.FishPreyAK_DFA1","13.FishPreyAK_b_DFA1","13.FishPreyAK_b_0_smoothed","13.FishPreyAK_b_1_smoothed","13.FishPreyAK_b_2_smoothed","13.FishPreyAK_b_3_smoothed","13.FishPreyAK_b_4_smoothed","14.CompAK_smoothed","14.CompAK_0_smoothed","14.CompAK_1_smoothed","01.ZooPreyNCC_JSOES_DFA1","01.ZooPreyNCC_JSOES_0_smoothed","01.ZooPreyNCC_JSOES_1_smoothed","01.ZooPreyNCC_NHL_DFA1","01.ZooPreyNCC_NHL_0_smoothed","01.ZooPreyNCC_NHL_1_smoothed","01.ZooPreyNCC_NHL_2_smoothed","01.ZooPreyNCC_WPbirds_smoothed","01.ZooPreyNCC_WPbirds_0_smoothed","01.ZooPreyNCC_WPbirds_1_smoothed","02.CompJellyNCC_DFA1","03.FishPreyNCC_DFA1","03.FishPreyNCC_0_smoothed","04.CompFishNCC_smoothed","04.CompFishNCC_0_smoothed","04.CompFishNCC_1_smoothed","04.CompFishNCC_2_smoothed","05.ForageFishNCC_DFA1","05.ForageFishNCC_0_smoothed","05.ForageFishNCC_1_smoothed","05.ForageFishNCC_2_smoothed","SAR_DFA1"
1998,-0.423244996021839,-2.28005892583571,0.198032169235063,NA,NA,-3.01607721214393,-0.77101916411431,-0.527832154359247,-0.800743042267625,0.581172376082835,0.227604033068666,-0.39216809378613,-0.468840572531193,0.934689552536976,-0.366897570469929,2.27667112573738,1.71420526803208,NA,NA,0.165821755500073,0.965534429610281,-2.92084345594086,NA,0.0427713640020485,0.827024107385041,-2.6337716161635,-0.316190715211455,NA,NA,-1.82367303884392,-0.765489087315457,-0.0750442778630624,0.741590438361252,-0.394766190689262,0.368068972647255,-1.81998922638414,0.171204519516333,-0.16196684575459,-0.364417499558323,0.321273367176934,1.46874341305101,-0.469262407281949,-0.343690498346382,-0.340408230170362,-0.0488139106898657,NA,-1.19086226267457,-0.694074818686734,-1.15355371662664,NA,NA,NA,-0.727347420825266,0.745597415056447,0.817533147858756,-0.901669114955482,2.03792019000309,-0.268958145265542,-0.359478641006709,-0.557169919389107,-0.419093615925512,-0.45502259998062,2.40153769490581,-0.80354181189346,-0.807057224523905,1.0502047134623,0.552567235335073
1999,1.76786303555477,-1.54539760714521,0.0131061599634247,1.26323865174886,-0.312620188163979,-3.11630744929152,-0.681362063767363,-0.812494938957431,-0.455085779435694,-0.312378976783084,0.367666248391776,-0.284173417480328,-0.126866669618791,0.662835153681413,-0.693354792018867,1.89841120215678,3.34027037883408,NA,NA,0.321749402575631,0.0625093025870425,-3.83040911576074,NA,-0.177702741694853,0.5932418421825,-2.26878309901769,-0.925852570237421,NA,NA,-1.72530527089615,-0.613925090901291,-0.285027274428046,0.105611509910783,0.0657264154967148,-0.367961707232592,-2.32591885527114,0.836819919904959,0.107047899004363,0.0654096738508474,-0.153820097118188,1.63973795373434,-0.701800295977547,-0.479320884912788,-0.286125644239568,0.287380853167413,-2.05048544442344,-0.0220815525882299,0.412554178019369,-0.159767916187226,NA,NA,NA,-0.515881876612398,-0.249452843460825,0.607100405192724,-0.78069529420498,0.0530481600075636,0.111303161899168,-0.682073722668812,-0.474211626460376,-0.417583933694292,-0.448816186994759,1.42696470299299,-0.716292071739328,-0.705677338021807,0.29976131475583,1.05874918856411
2000,0.199069810430342,-1.34642845574118,-0.643649009554078,1.4122805506669,-0.0334747340785695,-3.21554187610809,-0.0434849469465175,-0.863926457384346,0.163883604211234,-0.735162949681531,0.564240303655323,-0.214710516351341,-0.256749573962088,0.368204721083219,-0.777753080518306,1.57772919816924,3.78289992146696,NA,NA,-0.0824068648762014,-0.31707847687191,-2.00599372526641,NA,-0.102656494460565,0.282730098391024,-1.06466565073255,-1.06151661350356,NA,NA,-1.20733713280466,-0.516304505806444,-0.510393968099295,0.0599850093632092,0.163190211739129,-1.23950870298156,-2.44970781643474,1.21682197422872,0.609665234377076,-0.318740350655826,-0.24979575328098,0.660007184820763,-0.817779933363908,-0.573880431718475,-0.585789964513032,-0.114279935940498,-1.97230942648973,-0.343492567987071,0.353886081581308,0.653337192731517,NA,NA,NA,-0.518393666084381,-0.472986671479466,-0.0600571183298664,-0.355432442588898,-0.406733560708759,0.824150662070345,-0.9195208847612,-0.426649754750276,-0.41380972811624,-0.433300154530107,1.57808128038456,-0.583484530576036,-0.982512234638984,-0.128904379561173,0.577567680378659
2001,-0.402123290264787,-2.00304925818669,-1.86084925239111,1.16554053872959,0.00155292443580354,-2.90268689711999,-0.256779538670166,-0.724696141582769,1.09109771193402,-0.620478540033558,0.746714569023261,-0.144395057715511,-0.222402897529924,0.18637651266233,-0.816248106815546,1.27080181166051,2.8697456233159,NA,NA,-0.227300261795316,-0.663939471545007,-1.30253314478132,NA,-0.251963582368594,-0.0837997625538432,0.701123352435266,-0.780851250187636,NA,NA,-0.393217887419419,-0.728216739622808,0.261446788819212,0.0795762464397997,0.589436289884213,-0.364742316986232,-2.0110487386484,2.78541015354418,1.68566294948345,-0.442299639555416,-0.232039982322081,-0.107577044156254,-0.795770006723271,-0.760885538862979,-0.634950570776873,0.115568247898768,-1.82369201760268,-0.453035210125248,0.647967572775821,0.796273856171245,0.354919585923314,-0.0260141063832959,-0.536076553985425,-0.524924318711534,0.0122761012892328,-0.135616837244319,0.205779777636348,-0.195770285390446,-0.0358643853053122,-0.750941101095682,-0.152831383932301,-0.403996793613306,-0.392958470122011,1.44082136643906,-0.527323497640822,-0.282390292328959,-0.247589234712057,-1.55029462214721
2002,-0.0214500060963019,-1.85727139643373,-1.03614227902783,1.54871382386467,-0.119192438547573,-2.63621261310942,-0.91187806064895,-0.803546023353871,1.6453881117204,-0.572572395923613,0.904633119430891,-0.00291158293700808,0.0105200361098641,0.128078825973912,-0.975057619891098,0.944846056996383,2.56706551629875,NA,NA,-0.192744235499126,-0.958229491151073,0.308315612211448,NA,-0.0534324468602769,-0.066465120290113,-0.499398172931436,-0.211565835410734,NA,NA,0.898149226055027,-0.747162864488141,0.143058087365215,0.705346474035942,0.410291027070192,-0.0278251223152827,-1.32013738146576,2.93507237548835,0.474569728275021,-0.428827481747515,-0.346324807490352,-0.213770040224199,-0.610096297412219,-0.734992997394074,-0.634465206960596,0.0718308119900949,-1.41318187510412,-0.0375540934279314,0.54712222975617,0.733175797850403,0.95613752577287,-0.0377475917236064,-0.873414652010061,-0.426728069460539,0.0851690517565037,0.243268493706916,0.739943924581141,0.000921124385611399,-0.301751129790284,-0.781442499237556,-0.188582855308951,-0.378332195682556,-0.297083268060626,1.70705596177233,-0.393755906107093,-0.252969780640417,0.0811115108562812,-0.136530211865745
2003,0.051527075595113,-2.44086453558819,-0.349965734696829,0.579844577198848,0.152539338241282,-2.37159173341373,-1.24927256303543,-0.601813348585534,0.612965106484861,-0.314092290986724,1.01765103219712,0.0404115088276147,-0.346350229235544,0.0818382504260009,-0.911413357283084,0.636265362846879,2.92226134942382,0.163987518992354,2.14530287656517,-0.269582507699939,-0.902509734119965,1.17250420841508,-0.401681682795276,-0.0108396359256328,0.0539386469397974,-0.79297061895555,0.667638840021022,-0.343754134004756,-0.334659813332348,1.83771651179587,-0.582499593701621,0.651092944491012,0.48443597346875,-0.309184352205068,0.0977345675865141,-1.04815574520776,1.99685171161152,0.105320256194289,-0.264851719424221,-0.0669389823066447,-0.708428045044528,-0.456171464408474,-0.670067747626209,-0.440494714153872,0.325411874467359,-1.3260058876381,-0.385995632298644,-0.333691131009194,-0.177393124242632,0.56509521487385,0.113002244705952,-0.49234582762743,-0.0763919822234582,0.0321575989721318,0.147460057514833,1.24450686657974,0.954776382675651,-0.46564630461507,-0.612756334365156,-0.178326368123202,-0.311151336393238,-0.0401655275863155,2.6945349305531,-0.17653944216013,-0.308745213584376,1.06434693879994,-1.04702937113385
2004,-0.392808619824459,-2.69655753001314,-0.345600900689424,-0.377542684984262,0.224204170700974,-1.80515627360147,-0.876238078886396,-0.328375449607977,0.48924550780917,-0.450355135834343,1.08191343531046,0.00884493037942818,-0.519167384454025,-0.0121456528484271,-0.88097786309167,0.4212312016364,3.34002121441814,-0.107840315961929,0.436118227940018,-0.23528558243075,-0.841102463370689,0.342093681702699,-0.320696526152937,-0.435425765209006,-0.323396292901054,-0.624049948124997,1.96007143574538,-0.053797909486596,-0.286652218587058,2.69591498307265,-0.662508938317359,0.180748643468301,0.683931880558985,-0.337043524952892,-0.229481443052487,-1.1207646029175,0.985306688693348,0.208665061160526,0.213603409737759,0.405506264677184,-0.70382518612076,-0.548332020987342,-0.674418206566294,-0.491645663615787,0.236518146001792,-2.10912663983448,0.0557658659832155,-0.689705805319628,-1.03270080283433,0.586933403193329,-0.173954922731902,-0.633879230414835,0.731846012594529,-0.827138836309392,0.00642873563340873,2.33251546253952,0.610555175827181,-0.399813714702627,-0.901942153406027,-0.204351309006719,-0.344885281034453,0.019101507709478,4.09638341239344,0.426662447948522,-0.869499385246465,0.489823207369815,-1.42537141677445
2005,-0.41363739791231,-2.28606715072354,-0.607978369626515,-0.644067671920811,-0.419420431761647,-1.43203285531026,-0.690688829922994,0.437907013958717,0.744968382380006,0.235658215711647,1.12241783430924,-0.0690207598390981,-0.571324400139136,-0.155881802962477,-0.62181820826201,0.281496234564401,3.26380358818771,-0.171396141950834,-0.0104345751187295,-0.133652473944411,-0.475075458808589,0.120963131798921,0.0448385356211274,-0.948793276234246,-0.918895836083712,-0.963074862685086,1.26065845372429,0.235881812399358,-0.166633231723832,1.09134277804163,-0.442290255889943,-0.96634692850486,0.857896856536532,-0.579842978997665,-0.131500426693732,-1.47492751684313,0.475491698634326,0.887948948139967,0.435638614499668,1.06345912670939,-0.567857254105511,-0.694755893512502,-0.321382839265021,-0.0426590320635309,0.473837348459343,-3.25337237049941,0.122358773499,-0.693045092536642,-1.22967712656952,0.580807819188965,-0.00828432274966129,0.0883911962654669,0.66386254483456,-1.09056983817248,-0.564662560637957,1.52760837192666,0.955286034285417,-0.440136139942721,-1.03464942909675,-0.411020525235876,-0.378306115923865,-0.0842897060706533,4.12638813150645,0.974829182944664,-0.920226678736817,-0.136197182588818,-1.43330971998827
2006,-0.24247539756601,-2.55636700359808,-0.296845968709613,-0.609012937018369,0.012866671668175,-1.3470845217702,-0.696365799970993,NA,0.210915015585545,-0.0174637621897228,1.10738266414002,-0.180815546710506,-0.627927748392604,-0.253788730611375,-0.22069044523164,0.132968665033414,2.3505306991421,-0.398242665661668,-0.105385706702113,-0.110353882241038,-0.146809459533225,-0.0209414804433842,0.16325816677636,0.161986447066072,-0.0415363593986406,-0.978313009553429,0.261064010715534,1.38295834077285,0.145416134120555,1.21789303789898,-0.145934266557175,-1.779634985117,1.00828182836427,-0.312477004061247,-0.134829303110262,-2.46276829140423,-0.321901741994323,0.301982827329451,1.54003279656692,0.946058872831659,-0.41288875003446,-0.778037930309194,-0.339600609239689,-0.413336813126464,-0.19330405059011,-2.86312444454012,-0.399350638222051,-0.1437998756332,-0.123870682433607,0.0364264034667325,0.115086085131234,0.212620296891218,0.967979261890885,-1.0215664084802,-0.0838039333039273,1.37928639785314,0.668791640549012,-0.224916536325996,-0.934656708119116,-0.478754852660441,-0.37018460969602,-0.0284119642937314,3.60771338007402,0.512289465173051,-1.03346993461838,-0.370419983261197,0.131148634524312
2007,-0.189477341237093,-2.32937375214503,-0.205873608002172,-0.360081311845518,0.0925266536607532,-1.31083642198876,-0.236744579918925,0.825307520529086,-0.107504730836518,0.449563368378821,1.01422987142815,-0.297967564361341,-0.599681864634667,-0.23199718683338,-0.26764835679349,-0.0432712037968684,1.38090513427776,-0.399212649408462,-0.297573819180025,0.196324522311576,-0.226722966390437,0.97128765932955,0.977308708599856,0.91644248456245,0.282040724711329,-0.906349203394098,-1.56021669979439,0.233808258482738,0.324825730581617,1.49335075990777,0.68273854511631,-2.52807014494843,-0.134024698556426,-0.247750868801506,-0.338711623383256,-2.97508161264151,-0.955594250116045,-0.0678451826980544,0.341511518346591,1.10295690922919,-0.357116846192568,-0.714734882047773,-0.0875093881265888,-0.101655623384926,-0.0406629852816324,-2.35607047204825,-0.489121867715874,0.583418741211257,0.342932326540003,-0.15230027385729,0.312743292702896,0.0149725977103776,0.948452833753192,-0.685136782796423,-0.393182735950757,1.29621589997241,0.905581152514776,-0.215860669788885,-0.876314882919475,-0.583666922077809,-0.400129010875211,-0.0316099788812006,3.11209808487027,-0.19865324192079,0.0625681304641426,0.109694018921484,-0.0577397814141334
