Dataset: ,Multivariate seabird breeding index (PC1).
Region: ,Eastern Bering Sea
Source: ,Stephani Zador (NOAA/REFM)
,
Year,Value
1961,null
1962,null
1963,null
1964,null
1965,null
1966,null
1967,null
1968,null
1969,null
1970,null
1971,null
1972,null
1973,null
1974,null
1975,null
1976,null
1977,null
1978,null
1979,null
1980,null
1981,null
1982,null
1983,null
1984,null
1985,null
1986,null
1987,null
1988,null
1989,null
1990,null
1991,null
1992,null
1993,null
1994,null
1995,null
1996,-1.666487524
1997,-1.167642655
1998,-2.459080466
1999,-0.277677738
2000,3.974711253
2001,1.610173361
2002,3.004482851
2003,1.290620698
2004,0.522797007
2005,-2.924633497
2006,-1.006788349
2007,-0.245950942
2008,2.257302776
2009,2.243020685
2010,3.160399657
2011,-0.053100732
2012,2.123451203
2013,2.7176398
2014,3.820418209
2015,-1.401813327
2016,-6.743921613
2017,-4.283866691
2018,-6.838896306
2019,1.460902539
2020,null
2021,null
2022,1.252080212
2023,-0.368140411
