"csl_term","n","sar_r2","aic","bic","cfi","rmsea","csl_est","csl_p","delta_r2_vs_base","delta_aic_vs_base","delta_bic_vs_base"
"hake_z",22,0.790448421979698,99.5928959397902,109.412278020015,1,0,-0.357122578128866,0.00076439741602119,0.0899693017653608,-11.4848141603059,-11.0898627228647
"ocean3_lowpressure_z",22,0.782551255226662,100.37363875097,110.193020831195,1,0,0.359086444479661,0.00143224115891893,0.0820721350123255,-10.7040713491265,-10.3091199116852
"csl_log_z",22,0.77755003947578,102.09283307815,111.912215158375,0.978616220401665,0.0938672500615472,-0.498047571032708,0.00538297566823887,0.0770709192614435,-8.98487702194629,-8.58992558450501
"ocean_risk_z",22,0.764129434529837,101.852751042069,111.672133122293,0.999783196342344,0.00938258880655167,0.334095942152214,0.0044943199541061,0.0636503143155005,-9.22495905802754,-8.83000762058626
"anch_z",22,0.759436772350576,102.942101739103,112.761483819328,1,0,-0.323493181445518,0.0100859440504648,0.0589576521362392,-8.13560836099305,-7.74065692355177
"estuary_risk_eul_heavy_z",22,0.748496284708183,102.469736804599,112.289118884824,0.827352259489621,0.288532334245131,0.315061679284579,0.0071265434459522,0.0480171644938463,-8.60797329549692,-8.21302185805564
"idxE_csl_ocean3_estuary",22,0.746670468667294,102.666069210423,112.485451290648,0.903332309034754,0.206043257520498,0.384554531579782,0.008237934367612,0.0461913484529571,-8.41164088967327,-8.01668945223199
"idxG_mult_plus_estuary",22,0.744540376573572,104.633552127497,114.452934207722,0.979460709112336,0.0886022311905072,-0.253300333955496,0.0338608145042911,0.0440612563592353,-6.44415797259924,-6.04920653515796
"idxF_mult_buffer",22,0.742767423480026,104.828642904994,114.648024985219,0.980224324507377,0.0866480149472897,-0.252884816439885,0.0388424182431668,0.0422883032656896,-6.24906719510187,-5.85411575766059
"idxA_csl_only",22,0.737632458798427,105.319299223815,115.13868130404,0.977403633580838,0.0920576749630783,-0.313328156247252,0.0547923924296803,0.0371533385840903,-5.75841087628146,-5.36345943884018
"csl_z",22,0.737632458798427,105.319299223815,115.13868130404,0.977403633580838,0.0920576749630783,-0.313328156247252,0.0547923924296803,0.0371533385840903,-5.75841087628146,-5.36345943884018
"idxH_hake_only",22,0.712975038405447,106.041360192645,115.86074227287,0.955848256819159,0.128659332842232,0.219471493010177,0.0908661731335374,0.0124959181911097,-5.03634990745078,-4.64139847000951
"idxJ_hake_anch",22,0.705492996516079,106.731573269911,116.550955350135,0.966553341819092,0.11013362073663,0.193254184489955,0.1481535359832,0.00501387630174244,-4.34613683018557,-3.95118539274429
"BASE_NO_CSL",24,0.700479120214337,111.077710100096,120.50214074288,0.961606449965987,0.139509076993068,NA,NA,0,0,0
"idxD_csl_ocean3",22,0.697192928402468,107.416002817088,117.235384897313,0.955203341093835,0.126782371635674,0.189624866039349,0.244717365388625,-0.00328619181186918,-3.66170728300821,-3.26675584556693
"sard_z",22,0.696364453465708,108.089141963325,117.90852404355,0.930443869392934,0.158272482949553,0.222253600386931,0.420295346027267,-0.00411466674862848,-2.98856813677142,-2.59361669933014
"idxB_csl_oceanrisk",22,0.689851159628192,107.886436585215,117.70581866544,0.908380831972161,0.184471626769941,0.159590219886057,0.35397853772656,-0.0106279605861452,-3.19127351488117,-2.7963220774399
"idxC_csl_estuary_eul",22,0.684903501813027,107.911636794682,117.731018874907,0.755815833770454,0.330017341057626,0.162503946669494,0.361413977235893,-0.0155756184013096,-3.1660733054139,-2.77112186797262
"idxI_hake_sard",22,0.682549200283907,108.679171110574,118.498553190799,0.90201879513379,0.188867589560494,0.0430875930194531,0.822864133041755,-0.0179299199304295,-2.39853898952177,-2.00358755208049
