"year","sar_obs","sar_hat","sar_resid","sar_resid_sign","csl_during_chinook","csl_weekly_avg_chin","csl_annual_peak","chinook_estuary_total","eulachon_during_chinook","shad_during_chinook","csl_threat_tier","eulachon_buffer_tier","shad_buffer_tier","overall_chinook_risk","x09_dfa_hake_age5plus_doug","x05_dfa_abund_sardine_doug","sitka_herring_e_go_a_doug","x05_herring_ncc_doug","x05_anchovy_gam_doug","hake_age5plus_tier","sardine_tier","sitka_herring_tier","ncc_herring_tier","ncc_anchovy_tier","ocean_buffer_score","integrated_csl_risk","ocean_risk_factor","csl_log","eulachon_log","shad_log","csl_z","csl_log_z","ocean_buffer_z","ocean_risk_z","eulachon_z","shad_z","ocean5_mean","ocean5_mean_z","idx1_csl_only","idx2_csl_oceanrisk","idx3_csl_minus_buffer","idx4_csl_buffer_mult","idx5_csl_estuary_prey","idx6_full_quant","idx7_with_ocean5"
1998,0.631838427980099,0.957585050243519,-0.32574662226342,-1,581.840380873951,44.7569523749193,114,51112,161162.937694586,1852775,"Low CSL Exposure (<1k)","Substantial Buffer (>50k)","Major Late Buffer (>100k)","LOW RISK",-0.316712571640036,2.40153770387274,-0.777814892413131,0.860026613689546,-0.867154257409658,"Moderate Biomass","High Biomass (Buffer)","Low Biomass (Upper Risk)","High Biomass (Buffer)","Low Biomass (Upper Risk)",3,"LOW RISK",2,6.36791335962487,11.9901773724555,14.432195612909,-0.77439941940444,-0.925509143055241,-0.295163026345124,0.295163026345124,-0.324167856500759,-0.630250878248568,0.259976519219892,0.405670308123807,-0.77439941940444,-0.479236393059316,-0.479236393059316,-1.00297349563576,-0.297190052029776,-0.00202702568465274,-0.977234573466343
1999,1.19475354409111,0.29885513859486,0.89589840549625,1,238.126738282663,19.8438948568886,31.4890274106404,50744,166092.830043825,1521323,"Low CSL Exposure (<1k)","Substantial Buffer (>50k)","Major Late Buffer (>100k)","LOW RISK",-0.926183208938443,1.42696471881483,-0.721459995799431,0.180339012402128,-0.79814255227969,"Low Biomass (Upper Risk)","Moderate Biomass","Low Biomass (Upper Risk)","High Biomass (Buffer)","Low Biomass (Upper Risk)",2,"LOW RISK",3,5.47699369708125,12.0203081488779,14.2350915663078,-0.896164880967266,-1.73566560568497,-1.18065210538049,1.18065210538049,-0.32145846869611,-0.814054834660678,-0.167696405160121,-0.311652949315352,-0.896164880967266,0.284487224413229,0.284487224413229,-1.95422383444933,-0.328408229288871,0.852243876091623,-0.74033840630959
2000,0.659640937200882,0.0206941118792731,0.638946825321609,1,280.304727647764,28.0304727647764,44,182233,279253.788152383,454228,"Low CSL Exposure (<1k)","Substantial Buffer (>50k)","Major Late Buffer (>100k)","LOW RISK",-1.0616334974394,1.57808129650838,-0.804212890153068,-0.207909799059202,-0.69309610906936,"Low Biomass (Upper Risk)","Moderate Biomass","Low Biomass (Upper Risk)","Moderate Biomass","Low Biomass (Upper Risk)",2,"LOW RISK",3,5.63943852178105,12.5398798632567,13.0263567551402,-0.881222726492063,-1.58794664730487,-1.18065210538049,1.18065210538049,-0.259267066097022,-1.40580351280285,-0.23775419984253,-0.429158834363935,-0.881222726492063,0.299429378888431,0.299429378888431,-1.92164019383406,-0.0486874370421251,1.13196466833837,-0.666643309310096
2001,-1.70671338945261,0.148589429923816,-1.85530281937643,-1,865.68712459713,78.69882950883,111,405879,2043469.46015214,1539014,"Low CSL Exposure (<1k)","Substantial Buffer (>50k)","Major Late Buffer (>100k)","LOW RISK",-0.780622267246462,1.44082138482464,-0.577802419373063,-0.315404414841075,-0.648674559339324,"Moderate Biomass","Moderate Biomass","Low Biomass (Upper Risk)","Moderate Biomass","Moderate Biomass",4,"LOW RISK",1,6.76467804036724,14.5301601263655,14.2466531593622,-0.673842660871416,-0.564711774043399,0.590326052690247,-0.590326052690247,0.710316869589544,-0.804244437399878,-0.176336455195057,-0.326144651927767,-0.673842660871416,-1.26416871356166,-1.26416871356166,-0.2760557827449,-0.626878876966249,-1.2172049296565,-0.510770334907533
2002,-0.134493455315907,-0.183486250721849,0.0489927954059421,1,1183.3938449299,98.6161537441587,190,346306,3531401.01685939,3069988,"Moderate CSL Exposure (1k-3k)","Substantial Buffer (>50k)","Major Late Buffer (>100k)","LOW-MODERATE RISK",-0.211217149623046,1.70705598177676,-0.543500673680899,-0.0176953259907733,-0.543026940269272,"Moderate Biomass","Moderate Biomass","Low Biomass (Upper Risk)","Moderate Biomass","Moderate Biomass",4,"LOW RISK",1,7.07698639943067,15.0772055219724,14.9371845364951,-0.561290522552796,-0.280714634833183,0.590326052690247,-0.590326052690247,1.528059596673,0.0447444912053915,0.0783231784425539,0.100988485396768,-0.561290522552796,-1.15161657524304,-1.15161657524304,-0.229946103961758,-1.34769256649199,-1.93801861918224,-0.61178476525118
2003,-1.14704188121537,-0.800102739622821,-0.346939141592546,-1,1897.16848409977,135.512034578555,299,263723,8295186.85450449,4462176,"Moderate CSL Exposure (1k-3k)","Substantial Buffer (>50k)","Major Late Buffer (>100k)","LOW-MODERATE RISK",0.668019350968991,2.69453495012126,-0.135686121520874,0.872835430200231,-0.371215783895814,"Moderate Biomass","High Biomass (Buffer)","Moderate Biomass","High Biomass (Buffer)","Moderate Biomass",5,"LOW RISK",0,7.54864474451345,15.9311861280657,15.311147321498,-0.308425673386167,0.148187175831873,1.47581513172562,-1.47581513172562,4.14615799277006,0.816770795072808,0.745697565174759,1.22035597801089,-0.308425673386167,-1.78424080511178,-1.78424080511178,0.146753602409801,-2.7898900673076,-4.26570519903322,-0.918603662391614
2004,-1.56778871976712,-1.598728924771,0.0309402050038787,1,652,54.3333333333333,89,231201,1178616.65549298,5206649,"Low CSL Exposure (<1k)","Substantial Buffer (>50k)","Major Late Buffer (>100k)","LOW RISK",1.96012166292918,4.0963834319773,0.30512296123267,0.352480846353672,0.105897287109326,"High Biomass (Buffer)","High Biomass (Buffer)","High Biomass (Buffer)","High Biomass (Buffer)","High Biomass (Buffer)",5,"LOW RISK",0,6.48157712927643,13.9798528313289,15.4654472126783,-0.749544373379647,-0.822149164123851,1.47581513172562,-1.47581513172562,0.235007983357686,1.22961212003688,1.36400123792043,2.25741860072306,-0.749544373379647,-2.22535950510527,-2.22535950510527,0.356644554753833,-1.48185442507693,-2.95766955680255,-1.87825367374118
2005,-1.57661675254274,-1.34525587486417,-0.231360877678576,-1,841,76.4545454545455,139,125579,44592.3719210762,4094470,"Low CSL Exposure (<1k)","Moderate Buffer (10k-50k)","Major Late Buffer (>100k)","LOW RISK",1.26060965931115,4.1263881589629,-0.0165633451670172,-0.21451502900538,0.539479351204367,"High Biomass (Buffer)","High Biomass (Buffer)","Moderate Biomass","Moderate Biomass","High Biomass (Buffer)",5,"LOW RISK",0,6.73578001424233,10.7053405153293,15.2251480849954,-0.682588426964859,-0.590990150878749,1.47581513172562,-1.47581513172562,-0.388233123430269,0.612862483774425,1.1390797590612,1.88016439853754,-0.682588426964859,-2.15840355869048,-2.15840355869048,0.324785902290667,-0.794903107136937,-2.27071823886256,-1.62267062623363
2006,0.163186989306217,-0.926839613435397,1.09002660274161,1,535,59.4444444444444,88,163287,12157.1462582829,3790099,"Low CSL Exposure (<1k)","Moderate Buffer (10k-50k)","Major Late Buffer (>100k)","LOW RISK",0.260820538707465,3.60771341563814,-0.269271789604814,-0.426654108394354,0.173625528324673,"Moderate Biomass","High Biomass (Buffer)","Moderate Biomass","Low Biomass (Upper Risk)","High Biomass (Buffer)",4,"LOW RISK",1,6.2841341610708,9.40575469803421,15.1479029619348,-0.790993292588802,-1.00169363195599,0.590326052690247,-0.590326052690247,-0.406058990330865,0.444076071210584,0.669246716934222,1.09212721166243,-0.790993292588802,-1.38131934527905,-1.38131934527905,-0.324049344470393,-0.810001833028662,-1.40032788571891,-1.33705689842002
2007,-0.0468721483397219,-0.246079058742404,0.199206910402682,1,804,67,91,98562,105591.287744799,2480456,"Low CSL Exposure (<1k)","Substantial Buffer (>50k)","Major Late Buffer (>100k)","LOW RISK",-1.56020325266284,3.112098118076,-0.291856562986562,0.00819205725407124,-0.388706908355377,"Low Biomass (Upper Risk)","High Biomass (Buffer)","Moderate Biomass","Moderate Biomass","Moderate Biomass",4,"LOW RISK",1,6.69084227741856,11.5673406148676,14.7239533753583,-0.695696204834421,-0.631854214648296,0.590326052690247,-0.590326052690247,-0.354709121906159,-0.282175587815233,0.175904690265058,0.264659094257103,-0.695696204834421,-1.28602225752467,-1.28602225752467,-0.285008610362931,-0.377253849973725,-0.967579902663972,-0.828025751962972
