"","node","indNames","total_count","percent_occurrence","node_id","Lisaname"
"1","AbundanceIndNames","07.Cond2NCC_DFA1",20,100,"X07","X07.Cond2NCC_DFA1_cpue_IntSprJunHW"
"2","GrowthIndNames","06.Cond1NCC_DFA1",20,100,"X06","X06.Cond1NCC_DFA1_IGF_mu"
"3","PredAKindNames","10.PredMammalNCC_0_smoothed",11,55,"X10","X10.PredMammalNCC_0_Harbor_seal_CR_2yrLead"
"4","PredAKindNames","10.PredMammalNCC_1_smoothed",6,30,"X10","X10.PredMammalNCC_1_Harbour_s_2yrLead_WS"
"5","PredAKindNames","10.PredMammalNCC_2_smoothed",2,10,"X10","X10.PredMammalNCC_2_Northern_f_s_2yrLead_WS"
"6","PredAKindNames","10.PredMammalNCC_DFA1",1,5,"X10","X10.PredMammalNCC_DFA1_ssl.est.wholerange_2yrLead"
"7","PredNCCindNames","09.PredFishNCC_b_DFA1",11,55,"X09","X09.PredFishNCC_b_DFA_HakeAge5Plus"
"8","PredNCCindNames","08.PredBirdNCC_0_smoothed",9,45,"X08","X08.PredBirdNCC_0_commonMurre_JSOES"
"9","PreyAKindNames","12.ZooPreyAK_DFA1",8,40,"X12","X12.ZooPreyAK_DFA1_biomassEuphShelfSum"
"10","PreyAKindNames","12.ZooPreyAK_0_smoothed",4,20,"X12","X12.ZooPreyAK_0_copepodBiomass_WGoA"
"11","PreyAKindNames","13.FishPreyAK_DFA1",2,10,"X13","X13.FishPreyAK_DFA1_WGOA_DFA_midTrophic"
"12","PreyAKindNames","13.FishPreyAK_b_2_smoothed",2,10,"X13","X13.FishPreyAK_b_hexagram_EAI"
"13","PreyAKindNames","12.ZooPreyAK_1_smoothed",1,5,"X12","X12.ZooPreyAK_1_copepodCom_EGoA"
"14","PreyAKindNames","13.FishPreyAK_1_smoothed",1,5,"X13","X13.FishPreyAK_1_WGOA_DFA_seabirds"
"15","PreyAKindNames","14.CompAK_0_smoothed",1,5,"X14","X14.CompAK_0_pinkSalmon"
"16","PreyAKindNames","14.CompAK_smoothed",1,5,"X14","X14.CompAK_smoothed_pinkSalmonAsia"
"17","PreyNCCindNames","05.ForageFishNCC_DFA1",12,60,"X05","X05.ForageFishNCC_DFA1_abundSardine"
"18","PreyNCCindNames","01.ZooPreyNCC_JSOES_DFA1",8,40,"X01","X01.ZooPreyNCC_JSOES_DFA_sumPreyOfPrey_planktonJun"
