"variable","importance","expected_sign","prop_sign_met_aic_wtd","prop_sign_met_unwtd","n_models","in_any_index_model_weight","var_group","times_in_models","n_sign_met"
"x15_icsl_cslchin_ratio",0.863528558827446,"Negative",0.99961101283065,0.949579831932773,31,0.863528558827446,"Index",595,565
"x15_dfa_sleeper_shark_bsai_pred_ak",0.850977599240651,"Negative",0.999854437576237,0.981512605042017,31,0.835269458906989,"Predator",595,584
"x12_copepod_biomass_w_go_a",0.0360343300815411,"Positive",0,0,31,0.0044027445611318,"Prey",595,0
"x12_dfa_biomass_euph_shelf_sum",0.0290632190861095,"Positive",0.00853523328750074,0.00504201680672269,31,0.000107223557946545,"Prey",595,3
"x10_harbour_s_2yr_lead_ws",0.0211863099563734,"Negative",1,1,31,0.00128768843245992,"Predator",595,595
"x13_ammod_wai",0.0169556330245357,"Positive",0,0,31,0.00165902592932033,"Prey",595,0
"x13_wgoa_cap_pcod",0.0165846261978074,"Positive",0.995288435408901,0.988235294117647,31,0.000212390674374684,"Prey",595,588
"x10_californian_s_l_2yr_lead_ws",0.0165384912769289,"Negative",0.00487456778195054,0.152941176470588,31,0.0128768847661774,"Predator",595,91
"x13_dfa_wgoa_dfa_seabirds",0.0158279793454452,"Positive",0.00177409772464563,0.0151260504201681,31,0.000268944013463452,"Prey",595,9
"x13_egoa_herring",0.014229397409521,"Positive",0.999818098811084,0.983193277310924,31,0.00034471328711903,"Prey",595,585
"x13_stka_herr_matbiom",0.0121292147479984,"Positive",0.999650375329159,0.981512605042017,31,0.000259674415010698,"Prey",595,584
"x13_hexagram_eai",0.0118255864704233,"Positive",0.000283999105373367,0.00168067226890756,31,0.000156083146690515,"Prey",595,1
"x10_dfa_ssl_est_wholerange_2yr_lead",0.00958516458591946,"Negative",0.0456672008496822,0.384873949579832,31,0.00653428912523057,"Predator",595,229
"x13_mid_il_capelin",0.00870123709661916,"Positive",0.997943978833663,0.959663865546219,31,0.000207850073942528,"Prey",595,571
"x15_sablefish_biomass_pred_ak",0.0083081182086553,"Negative",0.249251729126604,0.147899159663866,31,4.93955888751998e-05,"Predator",595,88
"x14_pink_salmon_north_america",0.00772730087289381,"Negative",0.999753771268497,0.998316498316498,31,9.11515769402042e-05,"Competitor",594,593
"x13_hexagram_wai",0.00744804999328881,"Positive",0.999004563389002,0.988235294117647,31,3.07033798766602e-05,"Prey",595,588
"x14_pink_salmon_asia",0.00575123954836326,"Negative",0.0107055584389365,0.0336700336700337,31,0.000722997462469192,"Competitor",594,20
"x13_pollock_biomass_go_aage3plus_pred_ak",0.00571367921459272,"Positive",0.292438629434617,0.364705882352941,31,2.26714463654141e-05,"Prey",595,217
"x13_gadid_wai",0.00450225344207261,"Positive",0.938548513147933,0.900840336134454,31,2.5956333732748e-05,"Prey",595,536
"x12_copepod_com_e_go_a",0.00424125723431362,"Positive",0.999830916696301,0.988235294117647,31,6.89545721974778e-05,"Prey",595,588
"x10_northern_f_s_2yr_lead_ws",0.00418759553054619,"Negative",0.541404723847505,0.038655462184874,31,6.93447855786616e-05,"Predator",595,23
"x15_arrowtooth_flounder_biomass_pred_ak",0.0038642131568108,"Negative",0.999634279945899,0.836974789915966,31,0.000666119585856036,"Predator",595,498
"x14_pink_salmon",0.00318385638425243,"Negative",0.0396011429067291,0.185185185185185,31,0.000526084542478545,"Competitor",594,110
"x15_pacific_cod_biomass_pred_ak",0.00312584381146927,"Negative",0.0889796893671388,0.263865546218487,31,1.81846530055865e-05,"Predator",595,157
"x15_salmon_shark_go_a_pred_ak",0.00285973871855484,"Negative",0.769085625476731,0.857142857142857,31,3.11486595471156e-05,"Predator",595,510
"x15_halibut_biomass_age8plus_2yr_lead_pred_ak",0.00278436335312494,"Negative",0.102326224997115,0.431932773109244,31,7.61400172832121e-05,"Predator",595,257
"x15_icsl_risk_eulachon75_shad25",0.00273873417220014,"Negative",0.382818011878143,0.184873949579832,31,0.00273873417220014,"Index",595,110
"x12_copepod_com_w_go_a",0.00271128985619856,"Positive",0.591634382757977,0.302521008403361,31,1.86223557994736e-05,"Prey",595,180
"x15_sablefish_recruitment_pred_ak",0.0027080232903006,"Negative",0.151614908614113,0.478991596638655,31,2.38730995751478e-05,"Predator",595,285
"x15_spiny_dogfish_go_a_pred_ak",0.00258081768262101,"Negative",0.0453755472625093,0.310924369747899,31,0.00018214278259242,"Predator",595,185
"x13_dfa_wgoa_dfa_mid_trophic",0.00239627818242178,"Positive",0.860664622575806,0.510924369747899,31,3.49628446373882e-05,"Prey",595,304
